ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
14	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567190	118567249	118566907	118566979	118568963	118569039	14	275,273,225,248,213	0,0,2,0,0	199,208,242	0,0,0	58	-1	nan	nan	1.0,1.0,2.064,1.0,1.0	1.0,1.0,1.0	0.213
15	"ENSMUSG00000038708"	"Golga4"	chr9	+	118572917	118573021	118568963	118569039	118577141	118577228	15	644,584,560,631,475	1,0,2,1,0	437,384,475	0,0,2	103	-1	nan	nan	1.19,1.0,1.582,1.195,1.0	1.0,1.0,1.766	-0.062
16	"ENSMUSG00000038708"	"Golga4"	chr9	+	118576222	118576356	118572917	118573021	118577141	118577228	16	5,7,4,5,6	366,350,344,376,268	0,2,1	254,211,275	133	-1	1	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
17	"ENSMUSG00000038708"	"Golga4"	chr9	+	118577141	118577228	118572771	118573021	118581848	118581873	17	834,847,734,807,660	0,3,2,3,4	539,426,542	0,0,2	86	-1	nan	nan	1.0,1.438,1.306,1.47,2.089	1.0,1.0,1.465	0.306
18	"ENSMUSG00000038708"	"Golga4"	chr9	+	118579541	118579606	118577141	118577228	118581848	118582519	18	1,0,0,0,1	505,538,434,473,422	0,1,1	313,246,293	64	-1	nan	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
20	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58534484	58534652	58527020	58530259	58535389	58535549	20	0,1,0,2,1	0,0,0,0,0	3,0,0	0,5,1	167	-1	1	nan	NA,1.0,NA,1.0,1.0	1.0,-0.0,-0.0	0.667
21	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58556508	58556564	58552149	58552329	58557271	58557373	21	0,2,0,0,0	0,1,0,0,0	0,0,0	3,2,0	55	-1	1	nan	NA,-0.038,NA,NA,NA	-0.0,-0.0,NA	-0.038
25	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048524	75047352	75047469	75048784	75048803	25	218,237,264,193,200	1,0,0,0,0	164,125,180	0,0,0	82	-1	nan	nan	1.603,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.121
26	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	75048441	75048539	75047352	75047469	75048784	75048813	26	219,231,258,198,196	1,0,0,0,0	164,123,178	0,0,0	97	-1	nan	nan	1.795,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.159
30	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94358762	94359174	94370088	94370192	30	1,1,1,1,33	0,0,0,3,0	0,0,1	0,0,0	118	-1	1	nan	1.0,1.0,1.0,-0.003,1.0	NA,NA,1.0	-0.201
31	"ENSMUSG00000022940"	"Pigp"	chr16	-	94367560	94367633	94365354	94365473	94370088	94370192	31	277,269,228,264,291	0,1,1,1,33	170,137,224	0,0,0	72	-1	nan	nan	1.0,1.365,1.462,1.375,-0.14	1.0,1.0,1.0	0.012
35	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740032	59734452	59737868	59750577	59750638	35	1,1,1,0,1	0,0,0,0,0	7,10,3	0,2,0	92	-1	1	nan	1.0,1.0,1.0,NA,1.0	1.0,-0.057,1.0	0.352
37	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740051	59737261	59737868	59750577	59750622	37	1,1,1,0,1	0,0,0,0,0	6,10,3	0,2,0	111	-1	1	nan	1.0,1.0,1.0,NA,1.0	1.0,-0.047,1.0	0.349
50	"ENSMUSG00000047714"	"Ppp1r2"	chr16	-	31258336	31258504	31251536	31254733	31260573	31260668	50	173,216,222,211,195	1,1,0,0,0	214,273,189	0,0,0	167	-1	nan	nan	28.833,4.408,1.0,1.0,1.0	1.0,1.0,1.0	6.248
51	"ENSMUSG00000047714"	"Ppp1r2"	chr16	-	31265304	31265412	31261229	31261307	31274845	31274992	51	108,100,114,138,123	2,0,0,0,0	117,208,119	0,0,0	107	-1	nan	nan	-1.019,1.0,1.0,1.0,1.0	1.0,1.0,1.0	-0.404
52	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121564637	121564724	121560385	121560462	121566274	121566346	52	23,21,23,21,25	7,8,5,12,8	72,135,68	10,13,5	86	-1	nan	nan	-0.04,-0.031,-0.057,-0.021,-0.038	-0.091,-0.137,-0.188	0.101
53	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121566274	121566346	121560385	121560462	121578457	121578747	53	21,29,21,23,17	0,1,0,0,0	29,53,23	0,1,0	71	-1	nan	nan	1.0,-0.69,1.0,1.0,1.0	1.0,-2.944,1.0	0.977
57	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43514710	43516003	43518401	43518464	57	50271,52044,49892,60806,53169	15,7,9,12,11	38351,34541,23428	5,5,2	69	-1	nan	nan	1.021,1.009,1.013,1.014,1.014	1.009,1.01,1.006	0.006
58	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43518229	43518299	43518643	43518719	58	44938,46530,43276,52387,45370	0,1,0,0,1	33625,27991,20580	0,0,0	62	-1	nan	nan	1.0,1.001,1.0,1.0,1.001	1.0,1.0,1.0	0.0
59	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519002	43519078	59	18849,19117,17506,21530,18733	94,154,250,115,130	13462,11973,8320	52,35,62	75	-1	nan	nan	1.598,2.526,-14.072,1.668,2.085	1.408,1.281,2.267	-2.891
60	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519226	43519297	60	47062,49065,44482,54477,46878	7,4,2,2,0	37594,33925,23005	9,6,7	75	-1	nan	nan	1.011,1.006,1.003,1.003,1.0	1.018,1.013,1.023	-0.013
61	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519002	43519078	43518401	43518464	43519226	43519297	61	200,291,465,239,269	7,4,2,2,0	122,93,143	9,6,7	75	-1	nan	nan	-0.615,-32.333,1.476,2.685,1.0	-0.221,-0.261,-0.374	-5.272
62	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519002	43519078	43518643	43518719	43519226	43519297	62	115,145,230,127,143	28322,30048,27067,33076,28247	72,62,84	24241,22100,14737	75	-1	nan	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.0,-0.0,-0.0	0.0
63	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519388	43519506	43519226	43519297	43519610	43519669	63	47366,48465,45259,52833,44354	1,0,0,1,0	41927,40676,25574	0,0,0	117	-1	1	nan	1.002,1.0,1.0,1.002,1.0	1.0,1.0,1.0	0.001
71	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72304665	72304861	72303326	72303462	72306563	72306652	71	19,17,25,24,11	1,4,2,6,3	15,1,5	2,5,3	195	-1	1	nan	-0.108,-0.022,-0.068,-0.021,-0.019	-0.04,-0.001,-0.009	-0.031
72	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72304665	72304861	72303326	72303462	72308606	72308924	72	12,11,12,17,5	6,6,6,4,1	10,1,2	1,0,2	195	-1	nan	nan	-0.01,-0.009,-0.01,-0.022,-0.026	-0.054,1.0,-0.005	-0.329
73	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72306563	72306652	72303326	72303462	72308606	72308749	73	14,20,29,32,30	6,6,6,4,1	12,8,15	1,0,2	88	-1	nan	nan	-0.027,-0.039,-0.058,-0.1,-0.517	-0.158,1.0,-0.093	-0.398
74	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72306563	72306652	72304665	72304861	72308606	72308749	74	20,22,41,33,33	0,0,1,0,0	15,3,15	0,0,0	88	-1	nan	nan	1.0,1.0,-0.872,1.0,1.0	1.0,1.0,1.0	-0.374
75	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72308606	72308924	72303326	72303462	72311955	72312081	75	26,52,50,41,23	1,2,4,0,2	11,17,15	2,0,2	317	-1	nan	nan	-0.089,-0.089,-0.041,1.0,-0.038	-0.018,1.0,-0.024	-0.171
76	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711389	120711478	120710941	120711306	120711702	120711756	76	116,116,146,136,135	1,0,0,0,0	92,43,69	0,0,0	88	-1	nan	nan	4.143,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.629
77	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711389	120711501	120710941	120711306	120711702	120711983	77	80,77,87,88,89	1,0,0,0,0	55,18,44	0,0,0	111	-1	nan	nan	-2.581,1.0,1.0,1.0,1.0	1.0,1.0,1.0	-0.716
78	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711843	120711895	120711702	120711756	120713692	120713738	78	22,10,30,22,25	0,0,3,0,1	17,8,17	1,0,1	51	-1	nan	nan	1.0,1.0,-0.244,1.0,-0.962	-0.5,1.0,-0.5	0.359
79	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712539	120711843	120711895	120713692	120713732	79	16,24,11,21,13	2,2,1,5,9	5,13,6	4,0,4	99	-1	nan	nan	-0.088,-0.138,-0.125,-0.044,-0.015	-0.013,1.0,-0.015	-0.406
80	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712712	120711843	120711895	120713692	120713732	80	18,24,11,21,13	2,2,1,5,9	6,13,9	4,0,4	272	-1	nan	nan	-0.034,-0.046,-0.042,-0.016,-0.005	-0.006,1.0,-0.008	-0.357
82	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56691744	56691882	56686005	56686061	56692520	56692721	82	0,0,1,0,0	0,0,1,0,0	0,0,0	1,0,1	137	-1	1	nan	NA,NA,-0.007,NA,NA	-0.0,NA,-0.0	-0.007
83	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56692520	56692721	56686005	56686061	56696601	56696638	83	0,5,3,0,2	5,9,8,6,1	2,8,7	7,14,14	200	-1	1	nan	-0.0,-0.003,-0.002,-0.0,-0.01	-0.001,-0.003,-0.003	-0.001
84	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701022	56701088	56696717	56696789	56702762	56702890	84	8,3,12,7,5	1,0,0,2,0	18,16,17	0,0,1	65	-1	nan	nan	-0.14,1.0,1.0,-0.057,1.0	1.0,1.0,-0.354	0.012
85	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701448	56701541	56701022	56701088	56702762	56702890	85	33,24,32,37,21	0,1,3,0,0	47,75,55	2,0,0	92	-1	nan	nan	1.0,-0.353,-0.131,1.0,1.0	-0.343,1.0,1.0	-0.049
87	"ENSMUSG00000033707"	"Lrrc24"	chr15	-	76718651	76718899	76718221	76718500	76719795	76719924	87	0,1,0,0,3	0,0,0,0,0	0,1,0	1,0,1	247	-1	1	nan	NA,1.0,NA,NA,1.0	-0.0,1.0,-0.0	0.667
95	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144893584	144893709	144893136	144893375	144918650	144918794	95	42,43,61,53,24	0,0,0,0,0	10,23,35	0,1,0	124	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,-0.228,1.0	0.409
96	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144918650	144918794	144919840	144919972	96	57,73,66,70,30	0,1,1,0,1	50,38,49	0,0,0	274	-1	nan	nan	1.0,-0.363,-0.317,1.0,-0.123	1.0,1.0,1.0	-0.761
97	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144918650	144918794	144923905	144924031	97	1,0,6,4,2	0,0,0,0,0	3,0,0	2,0,0	274	-1	1	nan	1.0,NA,1.0,1.0,1.0	-0.006,NA,NA	1.006
98	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144918650	144918794	144919840	144919898	98	100,125,124,104,57	0,1,1,0,1	72,75,79	0,0,0	119	-1	nan	nan	1.0,20.833,24.8,1.0,-0.919	1.0,1.0,1.0	8.343
99	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144918650	144918794	144923905	144924031	99	44,52,64,38,29	0,0,0,0,0	25,37,30	2,0,0	119	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	-0.117,1.0,1.0	0.372
100	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144918650	144918794	144923905	144924031	100	95,106,124,104,59	0,0,0,0,0	54,26,42	2,0,0	238	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	-0.128,1.0,1.0	0.376
101	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144919229	144919504	144923905	144924031	101	151,177,183,170,87	0,0,0,0,1	101,64,91	0,0,0	238	-1	nan	nan	1.0,1.0,1.0,1.0,-0.576	1.0,1.0,1.0	-0.315
102	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144919229	144919504	144927134	144927639	102	56,72,60,66,33	0,0,0,0,0	47,38,49	0,0,1	238	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,1.0,-0.259	0.42
103	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144923905	144924031	144919229	144919504	144927134	144927639	103	132,186,264,157,104	0,0,0,0,0	50,64,77	0,0,1	125	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,1.0,-1.604	0.868
104	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144923905	144924031	144919840	144920079	144927134	144927639	104	227,291,387,261,161	0,0,0,0,4	104,90,119	0,0,0	125	-1	nan	nan	1.0,1.0,1.0,1.0,-0.475	1.0,1.0,1.0	-0.295
106	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96655853	96656012	96655549	96655707	96656562	96656757	106	12,6,11,11,11	0,0,0,0,0	19,14,18	0,1,0	158	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,-0.097,1.0	0.366
108	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75646874	75647101	75646111	75646687	75648056	75648221	108	61,58,63,56,46	1,0,0,0,0	18,21,26	1,0,1	226	-1	nan	nan	-0.37,1.0,1.0,1.0,1.0	-0.087,1.0,-0.13	0.465
110	"ENSMUSG00000057841"	"Rpl32"	chr6	-	115806985	115807167	115805504	115805688	115807801	115807902	110	2330,2729,2968,2867,3226	0,0,0,1,0	1672,895,2020	0,0,0	181	-1	1	nan	1.0,1.0,1.0,1.067,1.0	1.0,1.0,1.0	0.013
112	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67390977	67391022	67384550	67384698	67392891	67392975	112	387,388,354,439,329	8,22,13,25,22	799,673,674	30,27,35	44	-1	nan	nan	11.057,-0.669,-1.624,-0.664,-0.515	-1.534,-1.307,-0.778	2.723
113	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67392839	67392975	67384550	67384698	67393934	67394063	113	260,285,262,413,310	1,0,0,0,0	613,539,573	0,0,0	135	-1	nan	nan	2.08,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.216
114	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67392891	67392975	67384550	67384698	67393934	67394063	114	260,301,263,421,322	1,0,0,0,0	622,538,571	0,0,0	83	-1	1	nan	1.469,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.094
115	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48490847	48490938	48488700	48489988	48493406	48493494	115	19,31,27,30,19	0,0,1,0,0	27,28,22	0,2,0	90	-1	nan	nan	1.0,1.0,-0.429,1.0,1.0	1.0,-0.184,1.0	0.109
116	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48494282	48494387	48494018	48494181	48495154	48495294	116	3,6,3,6,5	7,6,3,5,8	5,0,1	3,17,7	104	-1	1	nan	-0.004,-0.01,-0.01,-0.012,-0.006	-0.016,-0.0,-0.001	-0.003
117	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38362208	38363147	38373818	38374194	117	56,32,42,39,62	3,0,0,1,0	163,166,161	1,1,0	108	-1	nan	nan	-0.209,1.0,1.0,-0.565,1.0	2.964,2.862,1.0	-1.83
118	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374236	38369483	38369592	38377654	38378216	118	21,14,18,17,21	0,0,3,2,0	66,70,79	0,0,1	417	-1	nan	nan	1.0,1.0,-0.015,-0.021,1.0	1.0,1.0,-0.234	0.004
119	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374377	38369425	38369592	38377654	38377763	119	90,46,56,67,64	0,0,3,2,0	181,170,185	0,0,1	558	-1	nan	nan	1.0,1.0,-0.035,-0.064,1.0	1.0,1.0,-0.496	0.079
122	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	26011996	26012131	26008854	26008890	26013773	26013917	122	33,49,27,36,20	0,5,3,4,1	58,148,48	2,3,3	134	-1	nan	nan	1.0,-0.079,-0.072,-0.072,-0.175	-0.276,-0.583,-0.136	0.452
124	"ENSMUSG00000079334"	"Naa80"	chr9	+	107579099	107579385	107578886	107578970	107582816	107583519	124	6,7,5,5,3	0,0,0,1,0	3,5,7	0,0,0	285	-1	nan	nan	1.0,1.0,1.0,-0.018,1.0	1.0,1.0,1.0	-0.204
125	"ENSMUSG00000079334"	"Naa80"	chr9	+	107579099	107580935	107578886	107578970	107582816	107583519	125	13,18,15,20,13	0,0,0,1,0	13,15,17	0,0,0	1835	-1	nan	nan	1.0,1.0,1.0,-0.011,1.0	1.0,1.0,1.0	-0.202
127	"ENSMUSG00000002416"	"Ndufb2"	chr6	+	39598265	39598361	39596450	39596595	39599391	39599422	127	3121,3581,3898,3942,4131	0,0,0,0,0	1523,1325,1649	2,0,0	95	-1	1	nan	1.0,1.0,1.0,1.0,1.0	1.143,1.0,1.0	-0.048
128	"ENSMUSG00000002416"	"Ndufb2"	chr6	+	39598265	39598365	39596450	39596595	39599391	39599471	128	2517,2980,3085,3161,3368	0,0,0,0,0	1279,1089,1361	2,0,0	99	-1	1	nan	1.0,1.0,1.0,1.0,1.0	1.183,1.0,1.0	-0.061
129	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64798360	64798459	64779697	64779860	64811679	64811801	129	0,0,0,0,0	1,9,2,3,0	1,0,0	1,0,10	98	-1	1	nan	-0.0,-0.0,-0.0,-0.0,NA	-0.01,NA,-0.0	0.005
130	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64822990	64823097	64811679	64811801	64834442	64834568	130	10,7,5,4,9	0,0,0,0,0	3,7,7	0,0,1	106	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,1.0,-0.071	0.357
134	"ENSMUSG00000033209"	"Ttc28"	chr5	+	111281879	111281903	111280674	111280751	111282770	111282900	134	0,1,2,0,0	1,0,1,3,1	3,14,1	1,3,1	23	-1	nan	nan	-0.0,1.0,-0.095,-0.0,-0.0	-0.15,-0.255,-0.045	0.331
135	"ENSMUSG00000059743"	"Fdps"	chr3	-	89095353	89095476	89095013	89095102	89095598	89095679	135	77,103,149,109,107	0,0,1,0,0	101,140,115	0,0,0	122	-1	nan	nan	1.0,1.0,5.519,1.0,1.0	1.0,1.0,1.0	0.904
136	"ENSMUSG00000059743"	"Fdps"	chr3	-	89100920	89101136	89100668	89100831	89101861	89101888	136	3,1,5,1,4	0,0,1,3,1	5,18,5	2,6,2	215	-1	nan	nan	1.0,1.0,-0.024,-0.002,-0.019	-0.012,-0.014,-0.012	0.404
138	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124873332	124873479	124870775	124870958	124874218	124874348	138	25,37,26,16,19	0,0,0,0,0	60,128,83	0,1,0	146	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,-7.111,1.0	2.704
139	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124873332	124873509	124870775	124870958	124874218	124874348	139	58,67,51,53,37	0,0,0,0,0	155,238,150	0,1,0	176	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,3.839,1.0	-0.946
140	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124883355	124883598	124880128	124880352	124884964	124885044	140	162,184,176,164,169	1,1,0,1,0	257,362,201	0,0,0	242	-1	nan	nan	-2.025,-3.172,1.0,-2.103,1.0	1.0,1.0,1.0	-2.06
141	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886852	124886946	124886682	124886779	124887757	124887819	141	429,440,521,571,408	2,1,0,0,0	443,480,439	0,0,0	93	-1	nan	nan	1.765,1.268,1.0,1.0,1.0	1.0,1.0,1.0	0.207
143	"ENSMUSG00000018166"	"Erbb3"	chr10	-	128583116	128583258	128581989	128582103	128583365	128583484	143	2,1,2,0,1	0,0,0,0,0	3,6,1	1,0,0	141	-1	1	nan	1.0,1.0,1.0,NA,1.0	-0.022,1.0,1.0	0.341
144	"ENSMUSG00000036879"	"Phkb"	chr8	+	85843003	85843112	85841001	85841103	85875633	85875723	144	0,0,0,0,0	1,0,0,0,0	4,4,0	20,61,20	108	-1	1	nan	-0.0,NA,NA,NA,NA	-0.002,-0.001,-0.0	0.001
145	"ENSMUSG00000036879"	"Phkb"	chr8	+	85843020	85843112	85840958	85841103	85875633	85875723	145	0,0,0,0,0	1,0,0,0,0	4,2,0	20,61,20	91	-1	1	nan	-0.0,NA,NA,NA,NA	-0.002,-0.0,-0.0	0.001
148	"ENSMUSG00000036879"	"Phkb"	chr8	+	86026456	86026547	86024280	86024338	86029481	86029684	148	22,11,6,17,6	0,0,0,0,0	26,34,38	0,1,0	90	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,-0.607,1.0	0.536
149	"ENSMUSG00000036879"	"Phkb"	chr8	+	86049689	86049819	86043709	86043844	86056447	86056555	149	65,52,38,56,47	0,0,0,1,0	481,781,511	0,0,0	129	-1	nan	nan	1.0,1.0,1.0,-0.767,1.0	1.0,1.0,1.0	-0.353
150	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100589678	100589778	100584981	100585055	100589897	100589989	150	5,9,8,16,3	168,132,152,163,110	7,9,5	174,162,171	99	-1	1	nan	-0.0,-0.001,-0.001,-0.001,-0.0	-0.0,-0.001,-0.0	-0.0
151	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100591411	100591565	100590886	100591051	100596165	100596240	151	126,104,113,150,123	0,2,0,0,0	150,195,124	0,0,0	153	-1	nan	nan	1.0,-0.515,1.0,1.0,1.0	1.0,1.0,1.0	-0.303
152	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100592854	100592973	100591411	100591565	100596165	100596240	152	139,115,147,153,91	0,1,0,0,0	189,202,183	0,0,1	118	-1	nan	nan	1.0,-38.333,1.0,1.0,1.0	1.0,1.0,2.815	-8.472
159	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50143718	50143784	50110240	50110464	50145773	50145892	159	37,29,14,23,19	1,3,1,1,2	26,82,32	4,11,0	65	-1	nan	nan	-1.321,-0.175,-0.275,-0.548,-0.171	-0.111,-0.13,1.0	-0.751
160	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50143718	50143784	50110382	50110454	50145773	50145892	160	14,11,5,11,13	1,0,0,0,2	16,41,18	0,3,0	65	-1	nan	nan	-0.275,1.0,1.0,1.0,-0.111	1.0,-0.266,1.0	-0.055
161	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50145773	50145892	50110277	50110464	50158681	50158834	161	7,15,6,6,6	0,0,0,0,0	16,62,28	2,1,0	118	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	-0.073,-1.107,1.0	1.06
162	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50151938	50152023	50145773	50145892	50158681	50158834	162	0,0,0,0,0	6,12,5,5,4	1,1,0	12,51,28	84	-1	nan	nan	-0.0,-0.0,-0.0,-0.0,-0.0	-0.001,-0.0,-0.0	0.0
163	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50176876	50176918	50163421	50163649	50178388	50178520	163	54,66,65,81,39	1,0,3,2,0	112,134,114	4,2,0	41	-1	nan	nan	4.154,1.0,-1.121,-81.0,1.0	-2.154,2.577,1.0	-15.668
164	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50178388	50178520	50176876	50176918	50180175	50180275	164	97,124,114,132,103	0,0,0,0,0	182,227,166	0,0,1	131	-1	nan	nan	1.0,1.0,1.0,1.0,1.0	1.0,1.0,4.743	-1.248
