"","ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"958",1451,"ENSMUSG00000019763","Rmnd1","chr10","-",4428368,4428465,4427522,4427691,4429076,4429171,1451,"0,17,17,15,3","6,1,3,1,5","0,0,12,0,23","13,19,28,18,11",-2,-1,0.000484660718413,0.0218752530619,"0.0,0.895,0.739,0.882,0.231","0.0,0.0,0.176,0.0,0.511",0.412,52,16,35,89
"1213",1864,"ENSMUSG00000027288","Zfp106","chr2","-",120539294,120539492,120531594,120532222,120545842,120545901,1864,"80,98,94,92,99","3,1,6,3,0","80,95,104,75,36","16,15,21,17,6",-2,-1,2.91988655476e-14,5.0992449579e-11,"0.93,0.98,0.887,0.939,1.0","0.714,0.76,0.712,0.688,0.75",0.222,463,13,390,75
"1422",2153,"ENSMUSG00000032340","Neo1","chr9","-",58884469,58884628,58880591,58880855,58888400,58888493,2153,"19,18,48,23,14","1,1,1,2,0","71,58,91,43,47","5,11,5,5,4",-2,-1,0.000267939893455,0.0137506719964,"0.905,0.9,0.96,0.852,1.0","0.877,0.725,0.901,0.811,0.855",0.09,122,5,310,30
"1445",2187,"ENSMUSG00000060450","Rnf14","chr18","+",38298308,38298395,38297465,38297575,38299753,38299923,2187,"9,13,3,4,3","0,1,0,0,0","31,38,41,37,17","2,1,2,3,1",-2,-1,0.00110284925738,0.0418516722645,"1.0,0.867,1.0,1.0,1.0","0.886,0.95,0.911,0.86,0.895",0.073,32,1,164,9
"1470",2219,"ENSMUSG00000022812","Gsk3b","chr16","+",38217112,38217151,38207994,38208090,38219971,38220158,2219,"5,5,9,1,10","41,37,32,38,23","4,0,2,2,6","60,36,60,67,45",-2,-1,0.000147994530939,0.00877263664728,"0.057,0.063,0.123,0.013,0.179","0.032,0.0,0.016,0.015,0.063",0.062,30,171,14,268
"1701",2608,"ENSMUSG00000003992","Ssbp2","chr13","+",91642301,91642391,91564609,91564694,91664117,91664177,2608,"7,15,9,11,13","1,0,0,0,1","31,20,34,44,40","2,1,8,5,0",-2,-1,1.49967442369e-05,0.00147390079831,"0.778,1.0,1.0,1.0,0.867","0.886,0.909,0.68,0.815,1.0",0.071,55,2,169,16
"1755",2678,"ENSMUSG00000005610","Eif4g2","chr7","-",111076279,111076393,111075586,111075712,111076695,111076856,2678,"251,255,235,307,247","15,5,9,7,18","1148,1039,1661,1262,948","99,74,103,98,73",-2,-1,4.03821810565e-05,0.00319441343737,"0.893,0.962,0.929,0.956,0.873","0.853,0.875,0.89,0.866,0.867",0.052,1295,54,6058,447
"1812",2769,"ENSMUSG00000024908","Ppp6r3","chr19","-",3478277,3478364,3473768,3473815,3484830,3484852,2769,"9,6,6,12,8","0,0,0,0,0","36,28,67,37,46","3,1,8,2,1",-2,-1,2.48814294734e-06,0.00034869326749,"1.0,1.0,1.0,1.0,1.0","0.857,0.933,0.807,0.902,0.958",0.109,41,0,214,15
"1876",2874,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54564514,54564621,54559197,54559324,54565181,54565303,2874,"5,7,8,10,4","1,0,2,0,0","16,15,15,26,14","2,6,2,5,1",-2,-1,5.95378910695e-05,0.00419779112097,"0.714,1.0,0.667,1.0,1.0","0.8,0.556,0.789,0.722,0.875",0.128,34,3,86,16
"1878",2876,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54564514,54564621,54564184,54564272,54565181,54565303,2876,"18,14,15,30,12","3,0,1,3,1","42,39,31,63,29","14,8,9,13,7",-2,-1,0.000383122896893,0.0180832414307,"0.75,1.0,0.882,0.833,0.857","0.6,0.709,0.633,0.708,0.674",0.2,89,8,204,51
"2017",3105,"ENSMUSG00000024330","Col11a2","chr17","+",34047097,34047277,34044818,34045010,34049618,34049678,3105,"1,2,1,4,4","0,0,0,0,0","14,9,42,8,6","4,5,4,2,1",-2,-1,3.86753740145e-10,2.43901948959e-07,"1.0,1.0,1.0,1.0,1.0","0.636,0.474,0.84,0.667,0.75",0.327,12,0,79,16
"2225",3452,"ENSMUSG00000027936","Crtc2","chr3","+",90262913,90262980,90262450,90262714,90263170,90263357,3452,"5,13,4,1,1","31,33,28,33,35","0,0,0,4,2","33,39,26,48,36",-2,-1,2.48640383689e-05,0.00219645238556,"0.075,0.165,0.067,0.015,0.014","0.0,0.0,0.0,0.04,0.027",0.054,24,160,6,182
"2530",3902,"ENSMUSG00000050530","Fam171a1","chr2","+",3223469,3223584,3220252,3220369,3224817,3227250,3902,"10,6,3,9,3","0,0,0,1,0","18,10,41,30,25","9,1,4,5,3",-2,-1,1.31524948599e-07,3.39319421369e-05,"1.0,1.0,1.0,0.818,1.0","0.5,0.833,0.837,0.75,0.806",0.218,31,1,124,22
"2733",4217,"ENSMUSG00000064179","Tnnt1","chr7","-",4513580,4513613,4512264,4512283,4513810,4513837,4217,"7306,8368,6845,6727,7424","472,511,384,431,592","5430,7310,5741,4348,4564","748,919,794,366,481",-2,-1,0,0,"0.886,0.891,0.899,0.886,0.862","0.784,0.799,0.783,0.856,0.826",0.075,36670,2390,27393,3308
"2735",4219,"ENSMUSG00000064179","Tnnt1","chr7","-",4513580,4513613,4512264,4512286,4513810,4513837,4219,"6534,7570,6010,5886,6331","325,341,290,361,421","4524,6336,4773,3499,3819","490,676,609,285,324",-2,-1,0,0,"0.91,0.917,0.912,0.891,0.883","0.822,0.824,0.797,0.86,0.855",0.071,32331,1738,22951,2384
"2871",4427,"ENSMUSG00000026490","Cdc42bpa","chr1","+",179999361,179999453,179960471,179961287,180031504,180031588,4427,"1,1,4,5,4","0,0,0,0,0","29,13,25,22,17","8,2,0,0,0",-2,-1,0.0013412797144,0.0484118813291,"1.0,1.0,1.0,1.0,1.0","0.644,0.765,1.0,1.0,1.0",0.118,15,0,106,10
"2874",4439,"ENSMUSG00000026490","Cdc42bpa","chr1","+",180155794,180155980,180151159,180151277,180159605,180159723,4439,"26,28,21,47,23","3,6,6,16,6","11,2,9,11,9","15,10,16,13,5",-2,-1,5.54121829532e-08,1.69429205817e-05,"0.813,0.7,0.636,0.595,0.657","0.268,0.091,0.22,0.297,0.474",0.41,145,37,42,59
"2933",4529,"ENSMUSG00000023942","Slc29a1","chr17","-",45593331,45593432,45592178,45592261,45599472,45599604,4529,"7,8,4,7,11","0,0,0,0,1","41,31,28,29,17","3,4,9,0,1",-2,-1,1.44508474642e-06,0.000224710678068,"1.0,1.0,1.0,1.0,0.846","0.872,0.795,0.609,1.0,0.895",0.135,37,1,146,17
"3095",4780,"ENSMUSG00000022629","Kif21a","chr15","-",90952710,90952818,90949005,90949044,90956294,90956509,4780,"4,5,3,6,3","1,0,1,0,0","18,20,18,9,9","2,1,3,1,3",-2,-1,0.000266222828788,0.0137506719964,"0.667,1.0,0.6,1.0,1.0","0.818,0.909,0.75,0.818,0.6",0.074,21,2,74,10
"3221",4968,"ENSMUSG00000033278","Ptprm","chr17","-",66814270,66814297,66810368,66810380,66814466,66814541,4968,"2,2,5,3,1","0,0,0,0,0","10,24,24,11,3","0,7,6,2,9",-2,-1,3.68452934829e-10,2.38999627984e-07,"1.0,1.0,1.0,1.0,1.0","1.0,0.632,0.667,0.733,0.143",0.365,13,0,72,24
"3251",5015,"ENSMUSG00000038773","Kdm3b","chr18","+",34803449,34804049,34799284,34799359,34808240,34809489,5015,"3,13,17,8,9","1,0,0,0,0","21,20,43,35,8","7,1,2,5,2",-2,-1,6.86308715969e-07,0.000118039899838,"0.6,1.0,1.0,1.0,1.0","0.6,0.909,0.915,0.778,0.667",0.146,50,1,127,17
"3464",5355,"ENSMUSG00000028256","Odf2l","chr3","+",145127022,145127151,145126092,145126225,145127830,145127890,5355,"7,4,3,2,1","0,0,0,0,1","14,9,25,22,6","1,2,4,8,0",-2,-1,3.61243077318e-06,0.00046864580482,"1.0,1.0,1.0,1.0,0.333","0.875,0.692,0.758,0.579,1.0",0.086,17,1,76,15
"3500",5423,"ENSMUSG00000028799","Zfp362","chr4","-",128794850,128794976,128790249,128790313,128806011,128806045,5423,"14,8,10,10,3","1,0,0,2,0","13,23,19,16,11","1,1,9,2,1",-2,-1,4.82894477507e-05,0.00364224362885,"0.875,1.0,1.0,0.714,1.0","0.867,0.92,0.514,0.8,0.846",0.128,45,3,82,14
"3553",5510,"ENSMUSG00000058239","Usf2","chr7","-",30956381,30956428,30956148,30956267,30956695,30956757,5510,"98,67,108,97,98","2,5,2,1,7","75,93,85,74,88","4,19,6,9,6",-2,-1,0.000159840424051,0.00928096457092,"0.961,0.87,0.964,0.98,0.875","0.904,0.71,0.876,0.804,0.88",0.095,468,17,415,44
"3579",5555,"ENSMUSG00000019863","Qrsl1","chr10","-",43876471,43876677,43874187,43874706,43881472,43881590,5555,"64,70,78,88,50","2,0,1,1,2","41,35,50,45,65","3,0,9,4,1",-2,-1,0.000361089627641,0.0171862008728,"0.941,1.0,0.975,0.978,0.926","0.872,1.0,0.735,0.849,0.97",0.079,350,6,236,17
"3706",5763,"ENSMUSG00000018474","Chd3","chr11","-",69348709,69348811,69348392,69348521,69348920,69349056,5763,"8,17,8,13,16","0,4,0,0,0","14,7,27,18,9","2,1,5,7,1",-2,-1,4.26465879972e-05,0.00333639107843,"1.0,0.68,1.0,1.0,1.0","0.778,0.778,0.73,0.563,0.818",0.203,62,4,75,16
"3747",5839,"ENSMUSG00000035064","Eef2k","chr7","+",120891595,120891730,120889688,120889751,120891864,120892053,5839,"32,35,25,42,50","0,1,1,0,4","89,58,82,96,80","5,3,14,11,6",-2,-1,7.35369690429e-05,0.00493937813071,"1.0,0.946,0.926,1.0,0.862","0.899,0.906,0.745,0.814,0.87",0.1,184,6,405,39
"3771",5870,"ENSMUSG00000039033","Tasp1","chr2","-",139985128,139985208,139976531,139977713,139996072,139996157,5870,"4,4,6,5,2","0,0,0,2,1","9,13,21,9,11","3,1,5,0,4",-2,-1,0.000338105123332,0.0163319162021,"1.0,1.0,1.0,0.556,0.5","0.6,0.867,0.677,1.0,0.579",0.067,21,3,63,13
"3859",6006,"ENSMUSG00000024587","Nars","chr18","-",64510452,64510531,64507771,64507858,64511610,64511700,6006,"73,134,86,85,88","1,1,0,0,1","120,97,137,128,81","0,0,12,8,3",-2,-1,5.25469235124e-06,0.000631841869638,"0.973,0.985,1.0,1.0,0.978","1.0,1.0,0.851,0.889,0.931",0.053,466,3,563,23
"3959",6146,"ENSMUSG00000032468","Armc8","chr9","-",99523138,99523339,99518803,99520582,99525352,99525413,6146,"19,27,24,28,14","0,1,2,0,0","83,43,136,88,79","5,2,5,6,6",-2,-1,0.000156036911467,0.00910669923145,"1.0,0.931,0.857,1.0,1.0","0.892,0.915,0.932,0.88,0.868",0.06,112,3,429,24
"4061",6301,"ENSMUSG00000032198","Dock6","chr9","-",21825782,21825875,21825434,21825530,21829473,21829578,6301,"3,2,4,4,3","12,6,1,4,2","5,0,2,1,0","26,6,12,14,20",-2,-1,0.000191857670382,0.0106758448301,"0.111,0.143,0.667,0.333,0.429","0.088,0.0,0.077,0.034,0.0",0.297,16,25,8,78
"4343",6705,"ENSMUSG00000036893","Ehmt1","chr2","-",24840635,24840779,24839529,24839756,24847943,24848089,6705,"8,7,7,9,5","0,0,0,0,0","17,22,39,33,17","2,2,2,4,1",-2,-1,3.63160118729e-05,0.00295513411308,"1.0,1.0,1.0,1.0,1.0","0.81,0.846,0.907,0.805,0.895",0.147,36,0,128,11
"4439",6857,"ENSMUSG00000045679","Pqlc3","chr12","-",16993452,16993573,16992277,16992319,16995613,16995671,6857,"2,2,7,5,5","0,0,1,0,0","13,4,16,22,13","2,8,0,2,0",-2,-1,0.000224822863139,0.0121777416784,"1.0,1.0,0.778,1.0,1.0","0.765,0.2,1.0,0.846,1.0",0.193,21,1,68,12
"4452",6884,"ENSMUSG00000022995","Enah","chr1","-",181911596,181911659,181908297,181908376,181913306,181913373,6884,"124,53,65,82,153","2,2,5,5,4","281,145,137,86,88","20,11,14,16,6",-2,-1,0.000180976198052,0.0102701606569,"0.969,0.93,0.867,0.891,0.95","0.875,0.868,0.83,0.729,0.88",0.085,477,18,737,67
"4599",7165,"ENSMUSG00000017561","Crlf3","chr11","-",80048591,80048704,80046492,80047737,80056451,80056584,7165,"8,11,11,8,10","0,0,0,0,0","33,17,18,27,15","0,3,1,1,5",-2,-1,0.000245630050677,0.0130292968236,"1.0,1.0,1.0,1.0,1.0","1.0,0.739,0.9,0.931,0.6",0.166,48,0,110,10
"4691",7310,"ENSMUSG00000040957","Cables1","chr18","+",11905924,11906002,11888736,11888829,11923359,11923456,7310,"1,1,4,3,13","0,0,0,1,2","6,12,14,16,12","2,4,7,4,1",-2,-1,3.28760520905e-05,0.00273322702523,"1.0,1.0,1.0,0.6,0.765","0.6,0.6,0.5,0.667,0.857",0.228,22,3,60,18
"4823",7520,"ENSMUSG00000021271","Zfp839","chr12","+",110860795,110861023,110854999,110855872,110863963,110864056,7520,"5,5,4,0,1","0,0,0,1,0","11,4,14,23,9","2,6,5,3,1",-2,-1,4.76391065118e-06,0.000584621964939,"1.0,1.0,1.0,0.0,1.0","0.733,0.25,0.583,0.793,0.818",0.165,15,1,61,17
"4970",7730,"ENSMUSG00000038957","Edc3","chr9","+",57715947,57716267,57713380,57713561,57727185,57727521,7730,"2,6,9,7,7","0,1,0,0,0","27,25,24,35,26","3,6,2,0,5",-2,-1,1.08389740427e-06,0.000177033976756,"1.0,0.75,1.0,1.0,1.0","0.818,0.676,0.857,1.0,0.722",0.135,31,1,137,16
"5001",7775,"ENSMUSG00000055204","Ankrd17","chr5","-",90282850,90283603,90278242,90278388,90285040,90285143,7775,"1,1,1,1,1","0,0,0,1,0","10,16,21,15,9","0,0,10,6,1",-2,-1,1.11317526947e-05,0.00115399169602,"1.0,1.0,1.0,0.333,1.0","1.0,1.0,0.512,0.556,0.818",0.089,5,1,71,17
"5063",7866,"ENSMUSG00000032845","Alpk2","chr18","-",65294211,65294339,65294079,65294115,65300013,65300161,7866,"91,63,44,68,19","0,0,0,0,0","195,123,226,108,138","6,5,1,3,4",-2,-1,0.000295168990585,0.0147279595456,"1.0,1.0,1.0,1.0,1.0","0.942,0.925,0.991,0.947,0.945",0.05,285,0,790,19
"5182",8057,"ENSMUSG00000007817","Zmiz1","chr14","+",25661266,25661521,25658106,25658273,25662939,25664719,8057,"4,12,6,10,8","1,1,1,0,0","63,32,53,40,42","11,1,7,10,4",-2,-1,5.13101153948e-05,0.00375398721064,"0.667,0.857,0.75,1.0,1.0","0.741,0.941,0.791,0.667,0.84",0.059,40,3,230,33
"5207",8097,"ENSMUSG00000027259","Adal","chr2","+",121142523,121142654,121142092,121142303,121143148,121143209,8097,"1,3,4,4,1","0,1,0,0,0","22,5,13,16,10","0,3,1,5,0",-2,-1,0.00132874367384,0.0481892454108,"1.0,0.6,1.0,1.0,1.0","1.0,0.455,0.867,0.615,1.0",0.133,13,1,66,9
"5209",8099,"ENSMUSG00000027259","Adal","chr2","+",121148240,121148322,121146032,121146120,121150219,121150346,8099,"3,2,2,7,3","0,0,0,0,0","23,12,15,20,23","0,0,8,4,0",-2,-1,7.49959559022e-05,0.00499305919897,"1.0,1.0,1.0,1.0,1.0","1.0,1.0,0.484,0.714,1.0",0.16,17,0,93,12
"5371",8337,"ENSMUSG00000028906","Epb41","chr4","-",131962923,131962986,131957619,131957819,131967787,131967975,8337,"15,29,29,16,27","2,3,1,5,1","62,48,67,54,32","11,12,13,21,16",-2,-1,0.00124602706166,0.0458485451878,"0.789,0.829,0.935,0.615,0.931","0.738,0.667,0.72,0.563,0.5",0.182,116,12,263,73
"5397",8380,"ENSMUSG00000024074","Crim1","chr17","+",78279972,78280215,78237741,78237915,78281245,78281366,8380,"5,2,1,1,2","0,0,0,0,0","47,30,67,53,41","4,4,3,5,4",-2,-1,6.07787401852e-07,0.000110388779074,"1.0,1.0,1.0,1.0,1.0","0.855,0.789,0.918,0.841,0.837",0.152,11,0,238,20
"5457",8462,"ENSMUSG00000022519","Srl","chr16","-",4496404,4497715,4493778,4493880,4522992,4523075,8462,"64,116,90,79,88","3,3,5,3,3","455,384,433,446,293","101,180,180,138,78",-2,-1,0,0,"0.914,0.951,0.9,0.929,0.936","0.693,0.516,0.546,0.618,0.653",0.321,437,17,2011,677
"5521",8567,"ENSMUSG00000004980","Hnrnpa2b1","chr6","-",51464427,51464451,51464088,51464211,51465178,51465241,8567,"151,194,164,184,235","120,114,117,159,181","86,52,155,95,102","180,109,161,118,87",-2,-1,7.22335622383e-06,0.000805070593848,"0.386,0.46,0.412,0.367,0.394","0.193,0.193,0.325,0.287,0.37",0.13,928,691,490,655
"5522",8568,"ENSMUSG00000004980","Hnrnpa2b1","chr6","-",51464427,51464547,51464088,51464211,51465178,51465241,8568,"911,1065,994,1108,1208","120,114,117,159,181","674,452,875,668,495","180,109,161,118,87",-2,-1,3.35802495477e-07,6.8682198692e-05,"0.791,0.824,0.809,0.777,0.769","0.652,0.675,0.731,0.739,0.74",0.087,5286,691,3164,655
"5742",8884,"ENSMUSG00000028559","Osbpl9","chr4","-",109091660,109091699,109087394,109087485,109098502,109098553,8884,"14,10,10,3,11","2,0,0,0,0","36,23,44,30,30","19,1,25,17,11",-2,-1,1.2152000517e-09,6.41597366831e-07,"0.778,1.0,1.0,1.0,1.0","0.486,0.92,0.468,0.469,0.577",0.372,48,2,163,73
"5863",9051,"ENSMUSG00000043962","Thrap3","chr4","-",126173136,126173329,126171693,126171881,126173443,126173527,9051,"13,17,17,13,12","29,29,30,24,23","4,6,20,9,4","69,49,86,51,66",-2,-1,4.39715597267e-10,2.69807113642e-07,"0.183,0.227,0.221,0.213,0.207","0.028,0.058,0.104,0.081,0.029",0.15,72,135,43,321
"5889",9089,"ENSMUSG00000046034","Otulin","chr15","-",27623281,27623358,27619528,27619623,27630457,27630693,9089,"451,335,332,375,425","10,7,9,11,10","224,220,192,156,145","15,16,13,5,8",-2,-1,2.42823141476e-05,0.00216188775723,"0.958,0.96,0.949,0.945,0.955","0.882,0.873,0.881,0.94,0.901",0.058,1918,47,937,57
"5940",9177,"ENSMUSG00000017119","Nbr1","chr11","+",101577193,101577251,101576302,101576409,101577931,101578037,9177,"61,49,58,69,32","0,1,1,2,2","142,120,203,112,137","7,9,16,9,4",-2,-1,5.09732629003e-05,0.00374513264604,"1.0,0.961,0.967,0.945,0.889","0.91,0.87,0.864,0.862,0.945",0.062,269,6,714,45
"5960",9208,"ENSMUSG00000020184","Mdm2","chr10","-",117709653,117709784,117705154,117705229,117709945,117710028,9208,"3,4,5,6,1","0,0,0,0,0","30,41,54,35,23","2,10,4,1,0",-2,-1,5.82730338206e-07,0.000106763697285,"1.0,1.0,1.0,1.0,1.0","0.882,0.672,0.871,0.946,1.0",0.126,19,0,183,17
"5961",9209,"ENSMUSG00000020184","Mdm2","chr10","-",117709699,117709784,117705154,117705229,117709945,117710022,9209,"9,3,10,18,2","0,0,0,0,0","60,74,90,84,61","2,10,4,1,0",-2,-1,2.92475420072e-05,0.00250568658939,"1.0,1.0,1.0,1.0,1.0","0.938,0.787,0.918,0.977,1.0",0.076,42,0,369,17
"6035",9342,"ENSMUSG00000032411","Tfdp2","chr9","+",96232681,96232748,96223093,96223198,96273838,96273942,9342,"3,1,4,7,1","0,0,0,0,0","16,10,37,22,33","3,2,1,5,1",-2,-1,3.61048653397e-06,0.00046864580482,"1.0,1.0,1.0,1.0,1.0","0.727,0.714,0.949,0.688,0.943",0.196,16,0,118,12
"6117",9454,"ENSMUSG00000031078","Cttn","chr7","-",144452026,144452137,144449559,144449615,144452547,144452587,9454,"21,13,14,25,21","0,0,1,3,0","66,53,78,73,60","9,8,4,4,2",-2,-1,0.00026842947404,0.0137506719964,"1.0,1.0,0.875,0.806,1.0","0.786,0.768,0.907,0.901,0.938",0.076,94,4,330,27
"6175",9554,"ENSMUSG00000040712","Camta2","chr11","-",70683278,70683350,70682893,70683047,70683889,70684025,9554,"7,5,6,6,5","1,0,0,2,0","38,38,37,44,33","7,11,9,9,2",-2,-1,3.98500208004e-05,0.00316333923857,"0.778,1.0,1.0,0.6,1.0","0.731,0.633,0.673,0.71,0.892",0.148,29,3,190,38
"6176",9555,"ENSMUSG00000040712","Camta2","chr11","-",70683278,70683365,70682893,70683047,70683889,70684025,9555,"7,5,3,3,2","1,0,0,2,0","23,23,22,29,21","7,11,9,9,2",-2,-1,4.29117823592e-05,0.00333639107843,"0.778,1.0,1.0,0.429,1.0","0.622,0.511,0.55,0.617,0.84",0.213,20,3,118,38
"6177",9556,"ENSMUSG00000040712","Camta2","chr11","-",70683278,70683417,70682893,70683047,70683889,70684025,9556,"7,5,3,3,2","1,0,0,2,0","26,23,25,31,20","7,11,9,9,2",-2,-1,5.0869252376e-05,0.00374513264604,"0.778,1.0,1.0,0.429,1.0","0.65,0.511,0.581,0.633,0.833",0.2,20,3,125,38
"6215",9615,"ENSMUSG00000020176","Grb10","chr11","-",11954743,11954908,11951502,11951659,11967531,11967685,9615,"13,6,12,16,10","0,0,0,0,1","223,156,347,195,140","9,8,15,11,5",-2,-1,1.71336760536e-05,0.00166946715642,"1.0,1.0,1.0,1.0,0.833","0.925,0.907,0.92,0.899,0.933",0.05,57,1,1061,48
"6271",9680,"ENSMUSG00000051747","Ttn","chr2","-",76832100,76832184,76831787,76831874,76847387,76847471,9680,"49,68,67,40,35","66,64,43,52,48","2,0,0,2,4","6,3,7,7,16",-2,-1,1.58752289092e-07,3.87543356909e-05,"0.271,0.347,0.438,0.278,0.267","0.143,0.0,0.0,0.125,0.111",0.244,259,273,8,39
"6282",9698,"ENSMUSG00000051747","Ttn","chr2","-",76838811,76838895,76831787,76831874,76841767,76841836,9698,"103,104,107,76,47","20,19,14,13,24","1,1,2,2,0","5,0,3,6,4",-2,-1,2.4437957884e-06,0.000344605563876,"0.72,0.732,0.793,0.745,0.495","0.091,1.0,0.25,0.143,0.0",0.4,437,90,6,18
"6295",9713,"ENSMUSG00000051747","Ttn","chr2","-",76840232,76840313,76831787,76831874,76847387,76847471,9713,"676,800,580,580,414","66,64,43,52,48","17,4,1,5,8","6,3,7,7,16",-2,-1,6.60804744257e-13,8.82485300522e-10,"0.837,0.862,0.871,0.848,0.812","0.586,0.4,0.067,0.263,0.2",0.543,3050,273,35,39
"6328",9749,"ENSMUSG00000051747","Ttn","chr2","-",76844204,76844279,76831787,76831874,76847387,76847471,9749,"318,366,301,385,275","66,64,43,52,48","19,6,9,11,20","6,3,7,7,16",-2,-1,1.75736768337e-06,0.00026598345677,"0.707,0.741,0.778,0.787,0.741","0.613,0.5,0.391,0.44,0.385",0.285,1645,273,65,39
"6339",9761,"ENSMUSG00000051747","Ttn","chr2","-",76847112,76847196,76831787,76831874,76847387,76847471,9761,"704,706,732,533,430","66,64,43,52,48","28,9,12,14,17","6,3,7,7,16",-2,-1,1.16782924442e-08,4.41887122268e-06,"0.842,0.847,0.895,0.837,0.817","0.7,0.6,0.462,0.5,0.347",0.326,3105,273,80,39
"6384",9808,"ENSMUSG00000051747","Ttn","chr2","-",76965090,76965228,76954794,76955088,76967053,76967185,9808,"427,407,535,421,349","27,54,33,36,57","71,19,61,32,61","28,8,12,7,18",-2,-1,1.10996569713e-07,2.96465308493e-05,"0.888,0.79,0.89,0.854,0.754","0.559,0.543,0.718,0.696,0.629",0.206,2139,207,244,73
