"","ID","GeneID","geneSymbol","chr","strand","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"482",565,"ENSMUSG00000024381","Bin1","chr18","+",32431670,32431742,32431982,32432093,32424819,32424967,32432323,32432425,565,"419,279,322,271,310","1509,979,1327,1103,1157","160,206,160","1004,1338,1284",-2,-2,5.22302201489e-11,1.66878777463e-09,"0.217,0.222,0.195,0.197,0.211","0.137,0.133,0.111",0.081,1601,6075,526,3626
"505",594,"ENSMUSG00000025858","Get4","chr5","+",139262480,139262559,139262869,139262951,139252323,139252619,139263478,139263628,594,"68,84,96,67,64","42,27,35,38,24","27,8,20","16,27,21",-2,-2,0.00512277692961,0.0333109213413,"0.618,0.757,0.733,0.638,0.727","0.628,0.229,0.488",0.246,379,166,55,64
"543",651,"ENSMUSG00000044477","Zfand3","chr17","+",30135322,30135505,30153302,30153368,30005047,30005308,30192562,30192730,651,"39,55,40,27,25","143,147,194,136,150","10,15,13","134,129,124",-2,-2,3.05540867607e-06,5.73727931565e-05,"0.214,0.272,0.171,0.166,0.143","0.069,0.104,0.095",0.104,186,770,38,387
"596",710,"ENSMUSG00000019088","Dnase1l1","chrX","-",74273777,74274026,74274367,74274468,74273216,74273691,74276478,74276556,710,"206,117,148,125,98","116,67,124,89,80","177,60,80","146,112,88",-2,-2,0.0050313929693,0.0330488451892,"0.64,0.636,0.544,0.584,0.551","0.548,0.349,0.476",0.133,694,476,317,346
"615",737,"ENSMUSG00000035069","Oma1","chr4","+",103321639,103321868,103325018,103325192,103319021,103319528,103325292,103325400,737,"32,40,48,60,27","41,23,49,35,31","21,21,25","31,47,35",-2,-2,0.00442447144073,0.0295388702052,"0.438,0.635,0.495,0.632,0.466","0.404,0.309,0.417",0.157,207,179,67,113
"617",739,"ENSMUSG00000038975","Rabggtb","chr3","-",153909348,153909459,153909545,153909598,153908789,153908899,153910260,153910366,739,"70,81,120,70,72","16,7,17,8,11","58,22,31","22,10,5",-2,-2,0.00415130673556,0.0283471816138,"0.814,0.92,0.876,0.897,0.867","0.725,0.688,0.861",0.117,413,59,111,37
"654",780,"ENSMUSG00000062077","Trim54","chr5","+",31136887,31137012,31137120,31137213,31136752,31136775,31137476,31137628,780,"749,684,844,619,639","267,179,262,194,194","541,649,702","181,348,349",-2,-2,0.000296120664211,0.00343659317927,"0.737,0.793,0.763,0.761,0.767","0.749,0.651,0.668",0.075,3535,1096,1892,878
"656",783,"ENSMUSG00000017119","Nbr1","chr11","+",101577193,101577251,101577931,101578037,101576302,101576409,101580584,101581951,783,"56,73,96,56,70","102,52,120,93,75","23,18,19","76,66,83",-2,-2,2.98307110125e-08,7.42325770196e-07,"0.354,0.584,0.444,0.376,0.483","0.232,0.214,0.186",0.238,351,442,60,225
"705",836,"ENSMUSG00000051747","Ttn","chr2","-",76857903,76857987,76862111,76862189,76831787,76831874,76862349,76862427,836,"22,13,38,12,29","0,0,0,0,0","38,8,6","4,0,3",-2,-2,0.00426663673646,0.0286891348035,"1.0,1.0,1.0,1.0,1.0","0.905,1.0,0.667",0.143,114,0,52,7
"796",949,"ENSMUSG00000034908","Sidt2","chr9","-",45947540,45947552,45947628,45947697,45946983,45947055,45947835,45947888,949,"8,4,11,14,7","43,45,45,37,33","4,0,1","42,36,33",-2,-2,1.86826327515e-05,0.000302191584756,"0.157,0.082,0.196,0.275,0.175","0.087,0.0,0.029",0.138,44,203,5,111
"801",954,"ENSMUSG00000021493","Pdlim7","chr13","-",55507863,55507880,55508207,55508326,55507487,55507624,55508779,55508810,954,"94,95,86,76,68","350,318,329,329,284","51,78,64","562,492,416",-2,-2,8.0165046823e-09,2.11701164467e-07,"0.212,0.23,0.207,0.188,0.193","0.083,0.137,0.133",0.088,419,1610,193,1470
"806",960,"ENSMUSG00000027763","Mbnl1","chr3","+",60615619,60615773,60625123,60625198,60613262,60613520,60626379,60626795,960,"107,53,120,119,61","106,36,100,102,63","94,93,132","132,145,134",-2,-2,0.00582634644827,0.0370481194303,"0.502,0.596,0.545,0.538,0.492","0.416,0.391,0.496",0.1,460,407,319,411
"827",983,"ENSMUSG00000031782","Coq9","chr8","+",94853114,94853270,94853604,94853658,94851850,94851955,94854113,94854895,983,"488,487,591,473,380","26,22,36,222,28","416,647,646","179,288,164",-2,-2,1.82975856688e-12,6.66959883251e-11,"0.949,0.957,0.943,0.681,0.931","0.699,0.692,0.798",0.163,2419,334,1709,631
"831",987,"ENSMUSG00000020076","Ddx50","chr10","-",62640744,62640862,62642775,62642954,62640446,62640632,62643296,62643372,987,"58,48,96,61,55","90,50,127,87,78","22,6,10","63,24,24",-2,-2,0.000194716220769,0.00245817355781,"0.392,0.49,0.43,0.412,0.414","0.259,0.2,0.294",0.177,318,432,38,111
"854",1015,"ENSMUSG00000054752","Fsd1l","chr4","+",53659512,53659634,53679793,53680003,53649791,53649893,53682099,53682198,1015,"2,0,4,5,0","24,9,23,20,12","0,0,0","3,4,6",-2,-2,0.00114927089075,0.00996397801043,"0.077,0.0,0.148,0.2,0.0","0.0,0.0,0.0",0.085,11,88,0,13
"861",1022,"ENSMUSG00000026305","Lrrfip1","chr1","+",91087058,91087124,91088633,91088711,91084945,91085005,91091601,91091667,1022,"64,56,87,51,36","75,40,66,51,53","29,30,29","46,58,46",-2,-2,0.00344932238069,0.0241919954505,"0.46,0.583,0.569,0.5,0.404","0.387,0.341,0.387",0.132,294,285,88,150
"876",1040,"ENSMUSG00000050199","Lgr4","chr2","+",109970691,109970763,109989704,109989776,109917646,109918305,109991103,109991175,1040,"16,10,12,16,9","10,9,18,17,5","5,0,1","19,6,8",-2,-2,1.39275981811e-05,0.000234852867143,"0.615,0.526,0.4,0.485,0.643","0.208,0.0,0.111",0.427,63,59,6,33
"906",1085,"ENSMUSG00000057531","Dtnbp1","chr13","-",44930995,44931151,44953171,44953194,44923148,44923292,44970045,44970178,1085,"8,4,17,6,4","93,111,95,65,56","0,2,1","37,41,37",-2,-2,0.000298821397673,0.0034410359416,"0.079,0.035,0.152,0.085,0.067","0.0,0.047,0.026",0.059,39,420,3,115
"951",1140,"ENSMUSG00000032479","Map4","chr9","+",110071025,110071139,110072612,110072705,110068692,110068985,110078002,110078084,1140,"56,38,57,32,47","437,188,359,231,276","18,10,21","223,227,217",-2,-2,6.69819780519e-06,0.000117127945404,"0.114,0.168,0.137,0.122,0.146","0.075,0.042,0.088",0.069,230,1491,49,667
"960",1150,"ENSMUSG00000020594","Pum2","chr12","+",8744614,8744743,8747156,8747294,8744336,8744466,8748110,8748236,1150,"73,47,96,67,53","55,32,91,52,50","33,23,23","55,61,38",-2,-2,3.59703603636e-06,6.50988060287e-05,"0.57,0.595,0.513,0.563,0.515","0.375,0.274,0.377",0.209,336,280,79,154
"972",1165,"ENSMUSG00000053768","Chchd3","chr6","-",32892291,32892375,32968200,32968318,32851442,32852215,33008482,33008564,1165,"576,789,745,667,571","469,621,651,502,472","517,183,194","403,332,337",-2,-2,0.00718180564569,0.0439162276568,"0.551,0.56,0.534,0.571,0.547","0.562,0.355,0.365",0.125,3348,2715,894,1072
"983",1180,"ENSMUSG00000025404","R3hdm2","chr10","+",127476519,127476698,127481692,127481794,127471767,127472000,127483975,127484218,1180,"93,102,126,76,61","76,47,74,38,57","87,66,65","64,83,87",-2,-2,0.00690250949001,0.0425326060956,"0.55,0.685,0.63,0.667,0.517","0.576,0.443,0.428",0.127,458,292,218,234
"1072",1281,"ENSMUSG00000020671","Rab10","chr12","-",3256866,3257005,3264688,3264749,3253268,3253358,3309291,3309969,1281,"105,89,163,148,85","282,245,438,319,224","101,104,63","275,490,409",-2,-2,0.000167766245986,0.0022151992072,"0.271,0.266,0.271,0.317,0.275","0.269,0.175,0.133",0.088,590,1508,268,1174
"1092",1307,"ENSMUSG00000028797","Tmem234","chr4","+",129601406,129601625,129601869,129601961,129600982,129601134,129602194,129602261,1307,"19,12,16,5,8","0,1,0,8,1","5,0,0","3,4,3",-2,-2,1.07622065889e-05,0.000183240727974,"1.0,0.923,1.0,0.385,0.889","0.625,0.0,0.0",0.631,60,10,5,10
"1093",1308,"ENSMUSG00000028797","Tmem234","chr4","+",129601406,129601625,129601869,129601961,129600982,129601243,129602194,129602261,1308,"20,11,21,7,10","0,1,2,11,2","4,2,4","3,4,3",-2,-2,0.00665169238592,0.0414809154091,"1.0,0.917,0.913,0.389,0.833","0.571,0.333,0.571",0.319,69,16,10,10
"1107",1336,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142504249,142504264,1336,"199,219,199,136,127","3494,1695,1531,1464,2053","192,598,430","10190,19867,20165",-2,-2,0,0,"0.054,0.114,0.115,0.085,0.058","0.018,0.029,0.021",0.063,880,10237,1220,50222
"1108",1337,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142505287,142505299,1337,"200,219,199,134,126","124,4,24,8,58","194,598,429","745,1806,1415",-2,-2,0,0,"0.617,0.982,0.892,0.944,0.685","0.207,0.249,0.233",0.594,878,218,1221,3966
"1109",1338,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504249,142504264,142501828,142501842,142505287,142505299,1338,"200,219,199,134,126","758,316,226,323,520","194,598,429","2866,2558,2534",-2,-2,2.20605300694e-09,6.07368636379e-08,"0.209,0.409,0.468,0.293,0.195","0.063,0.189,0.145",0.182,878,2143,1221,7958
"1110",1339,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142505515,142505530,1339,"200,220,201,135,126","607,792,737,586,502","192,603,430","2143,3154,2155",-2,-2,7.50332285193e-09,2.00191747843e-07,"0.248,0.217,0.214,0.187,0.201","0.082,0.161,0.166",0.077,882,3224,1225,7452
"1112",1341,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142508334,142508353,1341,"203,224,203,142,130","129,19,30,16,61","195,606,440","428,1313,1101",-2,-2,0,0,"0.611,0.922,0.871,0.899,0.681","0.313,0.316,0.286",0.492,902,255,1241,2842
"1116",1345,"ENSMUSG00000061723","Tnnt3","chr7","+",142504047,142504065,142504249,142504264,142502739,142502757,142505287,142505299,1345,"457,616,520,556,359","758,316,226,325,521","791,2125,1513","2866,2551,2531",-2,-2,0.000783078270848,0.00716115393977,"0.376,0.661,0.697,0.631,0.408","0.216,0.454,0.374",0.207,2508,2146,4429,7948
"1120",1349,"ENSMUSG00000061723","Tnnt3","chr7","+",142504047,142504065,142505287,142505299,142502739,142502757,142508334,142508353,1349,"513,756,633,633,399","757,99,89,111,397","607,1783,1348","3434,2276,2564",-2,-2,1.53746968712e-07,3.61724686388e-06,"0.404,0.884,0.877,0.851,0.501","0.15,0.439,0.345",0.392,2934,1453,3738,8274
"1122",1351,"ENSMUSG00000061723","Tnnt3","chr7","+",142504249,142504264,142505287,142505299,142502739,142502757,142505515,142505530,1351,"547,729,667,631,505","237,183,85,184,195","43,43,43","372,316,194",-2,-2,0,0,"0.698,0.799,0.887,0.774,0.721","0.104,0.12,0.181",0.641,3079,884,129,882
"1124",1355,"ENSMUSG00000061723","Tnnt3","chr7","+",142504249,142504264,142505287,142505299,142504047,142504065,142505515,142505530,1355,"4912,7193,6565,6060,4250","250,202,97,212,218","907,2104,1826","512,536,316",-2,-2,0,0,"0.952,0.973,0.985,0.966,0.951","0.639,0.797,0.852",0.203,28980,979,4837,1364
"1126",1357,"ENSMUSG00000061723","Tnnt3","chr7","+",142504249,142504264,142505287,142505299,142504047,142504065,142508334,142508353,1357,"413,384,415,456,268","796,109,104,123,428","471,1531,1362","3933,3189,3213",-2,-2,2.33688687734e-07,5.30514319172e-06,"0.342,0.779,0.8,0.788,0.385","0.107,0.324,0.298",0.376,1936,1560,3364,10335
"1157",1390,"ENSMUSG00000020124","Usp15","chr10","-",123146793,123146938,123163592,123163654,123132955,123133129,123168226,123168372,1390,"91,86,125,80,74","171,87,229,147,131","58,51,42","145,133,109",-2,-2,0.0027308527545,0.0204853534164,"0.347,0.497,0.353,0.352,0.361","0.286,0.277,0.278",0.102,456,765,151,387
"1180",1427,"ENSMUSG00000063077","Kif1b","chr4","-",149276846,149276923,149291301,149291476,149274915,149275095,149307428,149307506,1427,"170,175,340,200,128","116,102,187,123,85","207,36,41","133,178,126",-2,-2,0.000734666540707,0.00686503278108,"0.594,0.632,0.645,0.619,0.601","0.609,0.168,0.246",0.277,1013,613,284,437
"1214",1464,"ENSMUSG00000039361","Picalm","chr7","+",90189149,90189257,90191155,90191272,90177499,90177603,90191358,90191389,1464,"206,138,244,168,150","343,269,443,265,305","53,54,38","165,137,107",-2,-2,0.000309226397395,0.00354105272769,"0.375,0.339,0.355,0.388,0.33","0.243,0.283,0.262",0.095,906,1625,145,409
"1278",1532,"ENSMUSG00000024236","Svil","chr18","+",5054017,5054098,5055979,5056849,5048884,5049494,5058124,5058159,1532,"71,24,55,47,19","2,0,2,1,0","30,48,33","3,3,3",-2,-2,0.00314076185652,0.0225013896033,"0.973,1.0,0.965,0.979,1.0","0.909,0.941,0.917",0.061,216,5,111,9
"1302",1561,"ENSMUSG00000034254","Agpat1","chr17","+",34610871,34610926,34610959,34611005,34610444,34610644,34611273,34611449,1561,"37,35,40,29,22","1,0,2,1,3","36,19,22","3,7,2",-2,-2,0.00158281193848,0.0131292221051,"0.974,1.0,0.952,0.967,0.88","0.923,0.731,0.917",0.098,163,7,77,12
"1317",1577,"ENSMUSG00000021012","Zc3h14","chr12","+",98774244,98774319,98779107,98779267,98763822,98763978,98783581,98783702,1577,"86,93,112,110,75","2,1,0,8,0","57,30,24","8,4,3",-2,-2,1.69271999547e-05,0.000277263249891,"0.977,0.989,1.0,0.932,1.0","0.877,0.882,0.889",0.097,476,11,111,15
"1328",1589,"ENSMUSG00000000538","Tom1l2","chr11","-",60232897,60232957,60239009,60239072,60231100,60231137,60241817,60241893,1589,"11,8,23,9,21","37,22,70,43,51","13,2,1","52,41,46",-2,-2,0.000322908853977,0.00368144543653,"0.229,0.267,0.247,0.173,0.292","0.2,0.047,0.021",0.152,72,223,16,139
"1364",1634,"ENSMUSG00000021536","Adcy2","chr13","-",68678477,68678615,68689260,68689345,68671892,68672012,68709992,68710090,1634,"45,48,38,46,16","27,21,27,34,20","38,21,16","38,27,35",-2,-2,0.00734837442699,0.0445376885645,"0.625,0.696,0.585,0.575,0.444","0.5,0.438,0.314",0.168,193,129,75,100
"1389",1660,"ENSMUSG00000032355","Mlip","chr9","-",77216976,77217048,77229484,77231029,77181351,77181396,77239391,77239784,1660,"4,2,8,7,6","22,18,18,9,11","2,1,1","13,15,5",-2,-2,0.00775590340454,0.0463563002562,"0.154,0.1,0.308,0.438,0.353","0.133,0.063,0.167",0.15,27,78,4,33
"1402",1674,"ENSMUSG00000022892","App","chr16","-",84971407,84971461,84978063,84978285,84965669,84965770,85013626,85013726,1674,"383,282,520,455,319","79,65,95,60,60","155,181,192","39,57,46",-2,-2,0.00576825308861,0.0367690615599,"0.829,0.813,0.846,0.883,0.842","0.799,0.761,0.807",0.054,1959,359,528,142
"1411",1683,"ENSMUSG00000067653","Ankrd23","chr1","-",36531908,36532007,36532111,36532210,36531722,36531821,36532301,36532400,1683,"4242,2918,3906,3465,2216","2433,1697,2029,2040,1453","6134,4334,3963","3665,3761,3375",-2,-2,0.00285704093014,0.021175247138,"0.636,0.632,0.658,0.629,0.604","0.626,0.535,0.54",0.065,16747,9652,14431,10801
"1412",1684,"ENSMUSG00000067653","Ankrd23","chr1","-",36532111,36532210,36532301,36532400,36531908,36532007,36532580,36532706,1684,"1906,1224,1609,1498,929","2568,1557,2105,1996,1305","2661,1000,845","3483,2527,2443",-2,-2,0.002082657829,0.0163827308859,"0.426,0.44,0.433,0.429,0.416","0.433,0.284,0.257",0.104,7166,9531,4506,8453
"1479",1761,"ENSMUSG00000060126","Tpt1","chr14","+",75846693,75846799,75847243,75847360,75846202,75846393,75848098,75848297,1761,"9115,11092,10050,8466,8145","7053,5230,6720,5252,5406","5633,2359,2286","3892,2607,2368",-2,-2,0.000529800126083,0.00527354894732,"0.564,0.68,0.599,0.617,0.601","0.591,0.475,0.491",0.093,46868,29661,10278,8867
"1538",1830,"ENSMUSG00000019787","Trdn","chr10","+",33363977,33364022,33398380,33398431,33337512,33337539,33399094,33399145,1830,"127,76,77,83,69","394,144,255,220,255","48,7,4","250,39,28",-2,-2,0.000232586503528,0.00283931071288,"0.244,0.345,0.232,0.274,0.213","0.161,0.152,0.125",0.116,432,1268,59,317
"1554",1849,"ENSMUSG00000026950","Neb","chr2","-",52150536,52150629,52150966,52151059,52149589,52149697,52151363,52151456,1849,"1360,456,833,514,1018","1880,636,1218,749,1627","238,305,258","646,677,533",-2,-2,9.95027065187e-08,2.40666359318e-06,"0.42,0.418,0.406,0.407,0.385","0.269,0.311,0.326",0.105,4181,6110,801,1856
"1555",1850,"ENSMUSG00000026950","Neb","chr2","-",52150536,52150629,52153055,52153148,52149589,52149697,52153682,52153775,1850,"1133,439,798,421,882","1867,634,1216,744,1615","80,55,42","575,577,446",-2,-2,0,0,"0.378,0.409,0.396,0.361,0.353","0.122,0.087,0.086",0.281,3673,6076,177,1598
"1564",1859,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52153055,52153148,52149589,52149697,52153682,52153775,1859,"1133,439,798,421,882","10,5,5,4,7","80,55,42","6,16,5",-2,-2,3.33066907388e-16,1.32611870203e-14,"0.991,0.989,0.994,0.991,0.992","0.93,0.775,0.894",0.125,3673,31,177,27
"1565",1860,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52156354,52156447,52149589,52149697,52157831,52157924,1860,"23,5,8,3,11","7,5,6,2,6","1,2,1","6,17,9",-2,-2,2.15981765805e-09,6.01033128928e-08,"0.767,0.5,0.571,0.6,0.647","0.143,0.105,0.1",0.501,50,26,4,32
"1569",1864,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52153055,52153148,52150536,52150629,52153682,52153775,1864,"1134,436,798,421,882","1746,576,1238,715,1333","80,55,42","327,251,193",-2,-2,0,0,"0.394,0.431,0.392,0.371,0.398","0.197,0.18,0.179",0.212,3671,5608,177,771
"1571",1866,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153055,52153148,52149589,52149697,52157290,52157383,1866,"18,12,8,13,18","75,2,9,0,54","37,43,23","355,435,464",-2,-2,1.22025661353e-07,2.89726983102e-06,"0.194,0.857,0.471,1.0,0.25","0.094,0.09,0.047",0.477,69,140,103,1254
"1572",1867,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52156354,52156447,52149589,52149697,52157290,52157383,1867,"1032,362,708,416,722","75,2,9,0,54","55,19,8","355,435,464",-2,-2,0,0,"0.932,0.995,0.987,1.0,0.93","0.134,0.042,0.017",0.904,3240,140,82,1254
"1573",1868,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52156354,52156447,52149589,52149697,52157831,52157924,1868,"23,5,8,3,11","91,6,9,3,58","1,2,1","392,534,545",-2,-2,0,0,"0.202,0.455,0.471,0.5,0.159","0.003,0.004,0.002",0.354,50,167,4,1471
"1575",1870,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157831,52157924,52149589,52149697,52159476,52159569,1870,"1137,428,834,497,862","154,3,13,0,100","284,395,331","713,1173,1078",-2,-2,0,0,"0.881,0.993,0.985,1.0,0.896","0.285,0.252,0.235",0.694,3758,270,1010,2964
"1576",1871,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52159476,52159569,52149589,52149697,52160655,52160748,1871,"1487,405,897,500,1005","74,2,8,0,53","1151,1339,1357","347,435,458",-2,-2,0,0,"0.953,0.995,0.991,1.0,0.95","0.768,0.755,0.748",0.221,4294,137,3847,1240
"1577",1872,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52161370,52161475,52149589,52149697,52162067,52162172,1872,"1459,489,906,610,1053","75,4,8,0,57","636,906,772","348,433,461",-2,-2,0,0,"0.951,0.992,0.991,1.0,0.949","0.646,0.677,0.626",0.327,4517,144,2314,1242
"1578",1873,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52154569,52154662,52150536,52150629,52156354,52156447,1873,"619,164,324,285,430","21,2,2,6,15","42,12,8","74,113,101",-2,-2,0,0,"0.967,0.988,0.994,0.979,0.966","0.362,0.096,0.073",0.802,1822,46,62,288
"1579",1874,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153055,52153148,52150536,52150629,52157290,52157383,1874,"19,9,8,13,18","14,2,3,6,14","37,43,23","80,102,93",-2,-2,1.57761109731e-08,4.04243318796e-07,"0.576,0.818,0.727,0.684,0.563","0.316,0.297,0.198",0.403,67,39,103,275
"1580",1875,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153682,52153775,52150536,52150629,52157290,52157383,1875,"21,25,27,8,45","14,2,3,6,14","9,11,7","80,102,93",-2,-2,0,0,"0.6,0.926,0.9,0.571,0.763","0.101,0.097,0.07",0.663,126,39,27,275
"1581",1876,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52156354,52156447,52150536,52150629,52157290,52157383,1876,"1086,383,798,459,832","14,2,3,6,14","58,20,9","80,102,93",-2,-2,0,0,"0.987,0.995,0.996,0.987,0.983","0.42,0.164,0.088",0.766,3558,39,87,275
"1582",1877,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157831,52157924,52150536,52150629,52159476,52159569,1877,"1144,428,833,497,862","93,3,7,6,60","287,400,335","438,840,707",-2,-2,0,0,"0.925,0.993,0.992,0.988,0.935","0.396,0.323,0.321",0.62,3764,169,1022,1985
"1583",1878,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52159476,52159569,52150536,52150629,52160655,52160748,1878,"1422,405,894,500,998","13,2,2,6,13","1058,1334,1291","72,102,87",-2,-2,0,0,"0.991,0.995,0.998,0.988,0.987","0.936,0.929,0.937",0.058,4219,36,3683,261
"1586",1881,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157831,52157924,52150966,52151059,52159476,52159569,1881,"1135,428,835,497,862","1602,507,942,584,1186","281,392,332","631,1050,892",-2,-2,1.11022302463e-16,4.48946435585e-15,"0.415,0.458,0.47,0.46,0.421","0.308,0.272,0.271",0.161,3757,4821,1005,2573
