"","ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"1017",1793,"ENSMUSG00000029769","Ccdc136","chr6","+",29419986,29420265,29417931,29418153,29426624,29426857,1793,"4,5,5,7,10","25,14,12,17,20","2,0,0","8,2,6",-2,-1,0.000653619389054,0.017526096901,"0.074,0.152,0.172,0.171,0.2","0.111,0.0,0.0",0.117,31,88,2,16
"1091",1913,"ENSMUSG00000061981","Flot2","chr11","+",78054784,78054875,78053362,78053453,78055756,78055880,1913,"21,27,20,19,14","0,0,1,0,0","37,100,40","4,3,2",-2,-1,0.00034175298531,0.0103719690268,"1.0,1.0,0.909,1.0,1.0","0.822,0.943,0.909",0.09,101,1,177,9
"1262",2239,"ENSMUSG00000003992","Ssbp2","chr13","+",91642301,91642391,91564609,91564694,91664117,91664177,2239,"7,15,9,11,13","1,0,0,0,1","15,24,9","1,7,0",-2,-1,0.00014473907886,0.00507991174993,"0.778,1.0,1.0,1.0,0.867","0.882,0.632,1.0",0.091,55,2,48,8
"1357",2404,"ENSMUSG00000032637","Atxn2l","chr7","-",126492443,126492608,126491785,126492215,126492811,126493001,2404,"6,4,4,9,10","18,17,17,23,34","2,2,1","15,24,16",-2,-1,0.00145826452379,0.0341882016133,"0.143,0.105,0.105,0.164,0.128","0.063,0.04,0.03",0.085,33,109,5,55
"1383",2460,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54564184,54564272,54561570,54561871,54564514,54564621,2460,"17,10,18,23,9","0,1,1,0,0","14,48,29","1,3,7",-2,-1,2.21049266957e-06,0.000137953422801,"1.0,0.833,0.9,1.0,1.0","0.875,0.889,0.674",0.134,77,2,91,11
"1388",2465,"ENSMUSG00000025871","4833439L19Rik","chr13","-",54564514,54564621,54564184,54564272,54565181,54565303,2465,"18,14,15,30,12","3,0,1,3,1","25,55,34","9,21,8",-2,-1,4.87696233038e-05,0.0019780155685,"0.75,1.0,0.882,0.833,0.857","0.581,0.567,0.68",0.255,89,8,114,38
"1640",2961,"ENSMUSG00000027936","Crtc2","chr3","+",90262913,90262980,90262450,90262714,90263170,90263357,2961,"5,13,4,1,1","31,33,28,33,35","0,0,1","16,24,24",-2,-1,0.000133627274005,0.0047943518309,"0.075,0.165,0.067,0.015,0.014","0.0,0.0,0.02",0.061,24,160,1,64
"1679",3026,"ENSMUSG00000035297","Cops4","chr5","+",100543838,100543923,100537297,100537468,100547303,100547780,3026,"159,190,213,183,195","3,1,1,3,2","149,123,156","5,8,3",-2,-1,0.000533321444553,0.0149120690809,"0.964,0.99,0.991,0.968,0.98","0.937,0.885,0.963",0.05,940,10,428,16
"1704",3064,"ENSMUSG00000037960","Card19","chr13","-",49203928,49203988,49203717,49203789,49205191,49205345,3064,"188,220,202,269,177","72,71,68,79,79","94,75,105","80,68,68",-2,-1,2.18567963728e-09,2.43641420699e-07,"0.566,0.608,0.598,0.63,0.528","0.37,0.355,0.436",0.199,1056,369,274,216
"1725",3093,"ENSMUSG00000047454","Gphn","chr12","+",78493949,78494057,78492037,78492310,78504616,78504751,3093,"12,15,4,15,4","0,1,0,1,0","32,65,36","1,5,2",-2,-1,0.00105194167697,0.0265214996908,"1.0,0.882,1.0,0.882,1.0","0.941,0.867,0.9",0.05,50,2,133,8
"2183",3884,"ENSMUSG00000023942","Slc29a1","chr17","-",45586093,45586305,45585199,45585782,45587227,45587313,3884,"128,173,191,192,264","1,1,1,1,3","100,110,72","11,16,14",-2,-1,0,0,"0.985,0.989,0.99,0.99,0.978","0.82,0.775,0.72",0.215,948,7,282,41
"2294",4087,"ENSMUSG00000027940","Tpm3","chr3","+",90089047,90089123,90088400,90088476,90089796,90089859,4087,"8588,10441,7835,8263,10531","16,30,29,34,23","16,13,276","15,23,12",-2,-1,1.23567822641e-13,2.16843177078e-11,"0.996,0.994,0.993,0.992,0.996","0.348,0.22,0.92",0.498,45658,132,305,50
"2297",4090,"ENSMUSG00000027940","Tpm3","chr3","+",90091012,90091091,90090009,90090079,90099527,90100896,4090,"17846,21073,15782,17591,21741","24,18,18,16,11","31,32,588","13,10,20",-2,-1,0,0,"0.997,0.998,0.998,0.998,0.999","0.544,0.615,0.936",0.3,94033,87,651,43
"2617",4648,"ENSMUSG00000056260","Lrif1","chr3","+",106731662,106733142,106721892,106722106,106734357,106734639,4648,"8,23,12,8,10","6,23,13,8,4","0,2,3","14,16,9",-2,-1,8.21079808588e-08,7.13373457226e-06,"0.4,0.333,0.316,0.333,0.556","0.0,0.059,0.143",0.32,61,54,5,39
"2824",5055,"ENSMUSG00000035064","Eef2k","chr7","+",120891595,120891730,120889688,120889751,120891864,120892053,5055,"32,35,25,42,50","0,1,1,0,4","44,97,77","9,11,7",-2,-1,1.11473421678e-05,0.000572682587194,"1.0,0.946,0.926,1.0,0.862","0.71,0.815,0.846",0.156,184,6,218,27
"2949",5262,"ENSMUSG00000026004","Kansl1l","chr1","-",66762047,66762252,66738050,66738213,66772905,66773027,5262,"9,11,6,11,12","0,0,0,0,0","18,45,22","1,6,0",-2,-1,0.00143652939415,0.0337679668195,"1.0,1.0,1.0,1.0,1.0","0.9,0.789,1.0",0.104,49,0,85,7
"2990",5320,"ENSMUSG00000024780","Cdc37l1","chr19","+",29012787,29012910,29011897,29012053,29024803,29026681,5320,"14,12,14,8,12","2,1,1,1,0","13,12,6","2,6,2",-2,-1,0.000338370453971,0.0103046012477,"0.778,0.857,0.875,0.8,1.0","0.765,0.5,0.6",0.24,60,5,31,10
"2999",5334,"ENSMUSG00000032468","Armc8","chr9","-",99502511,99502598,99499292,99499385,99520486,99520582,5334,"18,10,8,10,17","0,0,0,0,0","16,32,30","4,2,3",-2,-1,3.84185083058e-06,0.000224729254525,"1.0,1.0,1.0,1.0,1.0","0.667,0.889,0.833",0.204,63,0,78,9
"3148",5558,"ENSMUSG00000039599","Fam149b","chr14","+",20358023,20358140,20356354,20356497,20363262,20363450,5558,"10,10,11,9,16","1,1,1,0,0","27,48,22","3,14,9",-2,-1,3.91537083422e-07,2.90359969313e-05,"0.833,0.833,0.846,1.0,1.0","0.818,0.632,0.55",0.236,56,3,97,26
"3221",5678,"ENSMUSG00000024381","Bin1","chr18","+",32431670,32431742,32424819,32424967,32431982,32432093,5678,"721,794,659,744,781","203,272,279,276,238","447,518,646","398,470,436",-2,-1,0,0,"0.64,0.593,0.541,0.574,0.621","0.36,0.355,0.426",0.213,3699,1268,1611,1304
"3316",5830,"ENSMUSG00000036893","Ehmt1","chr2","-",24840635,24840779,24839529,24839756,24847943,24848089,5830,"8,7,7,9,5","0,0,0,0,0","15,25,12","3,6,0",-2,-1,2.00759768876e-06,0.000126628688383,"1.0,1.0,1.0,1.0,1.0","0.714,0.676,1.0",0.203,36,0,52,9
"3401",5985,"ENSMUSG00000022995","Enah","chr1","-",181911596,181911659,181908297,181908376,181913306,181913373,5985,"124,53,65,82,153","2,2,5,5,4","52,40,49","2,12,11",-2,-1,8.58347783476e-05,0.00324378595188,"0.969,0.93,0.867,0.891,0.95","0.929,0.625,0.69",0.173,477,18,141,25
"3541",6266,"ENSMUSG00000024583","Txnl1","chr18","-",63665651,63665694,63663366,63664332,63671581,63671686,6266,"142,175,178,174,158","176,219,257,289,300","26,15,43","116,69,98",-2,-1,2.58405705722e-08,2.42327128477e-06,"0.287,0.285,0.257,0.231,0.208","0.101,0.098,0.18",0.127,827,1241,84,283
"3574",6329,"ENSMUSG00000025086","Trub1","chr19","+",57458089,57458188,57452911,57453196,57464369,57464425,6329,"12,7,13,9,13","1,0,0,0,0","12,22,11","1,5,0",-2,-1,0.00198868502237,0.0444482387598,"0.857,1.0,1.0,1.0,1.0","0.857,0.688,1.0",0.123,54,1,45,6
"3601",6383,"ENSMUSG00000011257","Pabpc4","chr4","+",123295749,123295836,123295201,123295273,123295929,123296057,6383,"161,156,153,167,133","9,6,6,2,2","90,129,103","9,14,7",-2,-1,0.00014849505086,0.00519117609752,"0.899,0.929,0.927,0.977,0.971","0.833,0.822,0.88",0.096,770,25,322,30
"3602",6384,"ENSMUSG00000011257","Pabpc4","chr4","+",123295749,123295836,123295201,123295321,123295929,123296057,6384,"258,297,255,287,251","99,115,128,118,132","190,207,219","196,228,193",-2,-1,5.21804821574e-15,1.00526833235e-12,"0.566,0.564,0.499,0.549,0.487","0.326,0.312,0.362",0.2,1348,592,616,617
"3800",6734,"ENSMUSG00000029095","Ablim2","chr5","+",35856100,35856220,35849515,35849569,35857127,35857180,6734,"6,12,9,3,3","38,45,33,52,42","0,5,0","29,43,30",-2,-1,0.0012525187282,0.0304654153663,"0.073,0.118,0.12,0.028,0.034","0.0,0.055,0.0",0.056,33,210,5,102
"3937",6978,"ENSMUSG00000007817","Zmiz1","chr14","+",25661266,25661521,25658106,25658273,25662939,25664719,6978,"4,12,6,10,8","1,1,1,0,0","16,67,20","4,6,4",-2,-1,0.000110722939516,0.00403796991766,"0.667,0.857,0.75,1.0,1.0","0.667,0.848,0.714",0.112,40,3,103,14
"4065",7193,"ENSMUSG00000057672","Pkn1","chr8","-",83671716,83671793,83671298,83671441,83671906,83671969,7193,"50,65,57,84,46","1,0,1,1,0","56,57,47","3,4,1",-2,-1,0.00133542944767,0.0319359893154,"0.962,1.0,0.966,0.977,1.0","0.903,0.877,0.959",0.068,302,3,160,8
"4074",7209,"ENSMUSG00000039275","Foxk2","chr11","+",121299583,121299793,121298558,121298855,121306767,121309896,7209,"8,16,7,12,5","0,0,1,1,1","29,52,27","3,9,5",-2,-1,2.39863801053e-05,0.00110138497665,"1.0,1.0,0.778,0.857,0.714","0.829,0.743,0.73",0.102,48,3,108,17
"4157",7337,"ENSMUSG00000022519","Srl","chr16","-",4496404,4497715,4493778,4493877,4522992,4523075,7337,"6,9,9,11,18","3,0,0,0,3","54,169,51","11,44,13",-2,-1,0.00229379826039,0.0496401469684,"0.5,1.0,1.0,1.0,0.75","0.711,0.658,0.662",0.173,53,6,274,68
"4158",7338,"ENSMUSG00000022519","Srl","chr16","-",4496404,4497715,4493778,4493880,4522992,4523075,7338,"64,116,90,79,88","3,3,5,3,3","237,523,191","132,369,126",-2,-1,0,0,"0.914,0.951,0.9,0.929,0.936","0.473,0.415,0.431",0.486,437,17,951,627
"4302",7558,"ENSMUSG00000021552","Gkap1","chr13","-",58273633,58273821,58263941,58264199,58274073,58274113,7558,"3,3,4,2,6","33,32,42,30,20","0,0,0","7,5,19",-2,-1,0.00211861376491,0.0468208358719,"0.043,0.045,0.045,0.032,0.13","0.0,0.0,0.0",0.059,18,157,0,31
"4403",7739,"ENSMUSG00000027466","Rbck1","chr2","-",152323171,152323332,152322159,152322271,152324266,152324364,7739,"95,119,133,133,158","2,0,0,1,0","54,97,78","2,4,4",-2,-1,0.00021790268934,0.00712565916211,"0.96,1.0,1.0,0.985,1.0","0.931,0.924,0.907",0.068,638,3,229,10
"4529",7950,"ENSMUSG00000017119","Nbr1","chr11","+",101577193,101577251,101576302,101576409,101577931,101578037,7950,"61,49,58,69,32","0,1,1,2,2","50,84,80","14,24,7",-2,-1,1.20003340598e-10,1.5992024126e-08,"1.0,0.961,0.967,0.945,0.889","0.641,0.636,0.851",0.243,269,6,214,45
"4620",8124,"ENSMUSG00000028693","Nasp","chr4","-",116610402,116611377,116605683,116605763,116611971,116612081,8124,"26,17,17,13,26","10,14,16,10,26","1,2,3","16,21,18",-2,-1,7.33912930428e-12,1.08398939824e-09,"0.565,0.378,0.347,0.394,0.333","0.03,0.045,0.077",0.353,99,76,6,55
"4674",8202,"ENSMUSG00000031078","Cttn","chr7","-",144452026,144452137,144449559,144449615,144452547,144452587,8202,"21,13,14,25,21","0,0,1,3,0","22,35,12","4,6,10",-2,-1,5.29667331217e-07,3.78541281391e-05,"1.0,1.0,0.875,0.806,1.0","0.733,0.745,0.375",0.319,94,4,69,20
"4720",8286,"ENSMUSG00000032228","Tcf12","chr9","-",72006700,72006762,72000415,72000518,72015637,72015711,8286,"5,8,4,4,15","29,18,33,24,36","1,2,0","6,25,11",-2,-1,0.000497167213469,0.0140988667064,"0.079,0.182,0.057,0.077,0.172","0.077,0.038,0.0",0.075,36,140,3,42
"4730",8304,"ENSMUSG00000040712","Camta2","chr11","-",70683278,70683365,70682893,70683047,70683889,70684025,8304,"7,5,3,3,2","1,0,0,2,0","18,40,16","5,8,0",-2,-1,0.000571743950501,0.0158585129557,"0.778,1.0,1.0,0.429,1.0","0.643,0.714,1.0",0.056,20,3,74,13
"4731",8305,"ENSMUSG00000040712","Camta2","chr11","-",70683278,70683417,70682893,70683047,70683889,70684025,8305,"7,5,3,3,2","1,0,0,2,0","17,41,17","5,8,0",-2,-1,0.000593589870993,0.0163875184945,"0.778,1.0,1.0,0.429,1.0","0.63,0.719,1.0",0.058,20,3,75,13
"4753",8360,"ENSMUSG00000020176","Grb10","chr11","-",11954743,11954908,11951502,11951659,11967531,11967685,8360,"13,6,12,16,10","0,0,0,0,1","16,51,32","4,4,1",-2,-1,4.43019428951e-05,0.00182606426947,"1.0,1.0,1.0,1.0,0.833","0.667,0.864,0.941",0.143,57,1,99,9
"4759",8368,"ENSMUSG00000051747","Ttn","chr2","-",76705669,76705972,76703979,76705329,76706439,76706593,8368,"4546,3664,2868,3901,2081","27,19,52,19,67","3694,4495,3120","1722,1701,1986",-2,-1,0,0,"0.988,0.99,0.965,0.99,0.94","0.518,0.569,0.44",0.466,17060,184,11309,5409
"4803",8418,"ENSMUSG00000051747","Ttn","chr2","-",76832100,76832184,76831787,76831874,76847387,76847471,8418,"49,68,67,40,35","66,64,43,52,48","0,0,11","9,5,27",-2,-1,5.04527115583e-05,0.00203695640014,"0.271,0.347,0.438,0.278,0.267","0.0,0.0,0.169",0.264,259,273,11,41
"4818",8439,"ENSMUSG00000051747","Ttn","chr2","-",76838811,76838895,76831787,76831874,76847387,76847471,8439,"98,100,107,72,44","66,64,43,52,48","0,0,16","9,5,27",-2,-1,1.12585783684e-05,0.000576725557808,"0.426,0.439,0.554,0.409,0.314","0.0,0.0,0.229",0.352,421,273,16,41
"4829",8450,"ENSMUSG00000051747","Ttn","chr2","-",76840232,76840313,76831787,76831874,76847387,76847471,8450,"676,800,580,580,414","66,64,43,52,48","0,0,26","9,5,27",-2,-1,1.11022302463e-15,2.23609010097e-13,"0.837,0.862,0.871,0.848,0.812","0.0,0.0,0.325",0.738,3050,273,26,41
"4836",8457,"ENSMUSG00000051747","Ttn","chr2","-",76841089,76841389,76831787,76831874,76847387,76847471,8457,"181,178,159,158,131","66,64,43,52,48","0,0,4","9,5,27",-2,-1,0,0,"0.578,0.582,0.649,0.603,0.577","0.0,0.0,0.069",0.575,807,273,4,41
"4853",8477,"ENSMUSG00000051747","Ttn","chr2","-",76843375,76843492,76831787,76831874,76847387,76847471,8477,"33,30,14,14,30","66,64,43,52,48","0,0,2","9,5,27",-2,-1,5.13707174576e-08,4.6217999808e-06,"0.2,0.19,0.14,0.119,0.238","0.0,0.0,0.036",0.165,121,273,2,41
"4864",8489,"ENSMUSG00000051747","Ttn","chr2","-",76844204,76844279,76831787,76831874,76847387,76847471,8489,"318,366,301,385,275","66,64,43,52,48","1,0,25","9,5,27",-2,-1,1.91006099826e-11,2.70831369065e-09,"0.707,0.741,0.778,0.787,0.741","0.053,0.0,0.316",0.628,1645,273,26,41
"4877",8503,"ENSMUSG00000051747","Ttn","chr2","-",76847112,76847196,76831787,76831874,76847387,76847471,8503,"704,706,732,533,430","66,64,43,52,48","0,0,40","9,5,27",-2,-1,8.67395044679e-12,1.2705545266e-09,"0.842,0.847,0.895,0.837,0.817","0.0,0.0,0.426",0.706,3105,273,40,41
"4886",8512,"ENSMUSG00000051747","Ttn","chr2","-",76848278,76848356,76847724,76847808,76850569,76850644,8512,"737,748,626,618,449","12,7,6,25,16","0,1,64","9,3,9",-2,-1,9.84077319632e-09,9.91010591657e-07,"0.968,0.982,0.981,0.925,0.933","0.0,0.143,0.78",0.65,3178,66,65,21
"4897",8523,"ENSMUSG00000051747","Ttn","chr2","-",76850305,76850380,76847724,76847808,76850569,76850644,8523,"607,597,564,520,412","12,7,6,25,16","1,0,79","9,3,9",-2,-1,1.50452878822e-07,1.23454945567e-05,"0.962,0.977,0.979,0.912,0.928","0.053,0.0,0.814",0.663,2700,66,80,21
"4915",8542,"ENSMUSG00000051747","Ttn","chr2","-",76857609,76857690,76852056,76852137,76857903,76857987,8542,"1155,1354,1294,1319,1413","5,3,0,0,3","5,5,108","9,5,0",-2,-1,4.02203427119e-07,2.97027230927e-05,"0.991,0.996,1.0,1.0,0.996","0.217,0.333,1.0",0.48,6535,11,118,14
"4925",8553,"ENSMUSG00000051747","Ttn","chr2","-",76903062,76903626,76881557,76881839,76906253,76906532,8553,"11,5,13,6,13","0,0,0,0,0","14,10,52","4,5,0",-2,-1,4.88449102876e-06,0.000275709296158,"1.0,1.0,1.0,1.0,1.0","0.636,0.5,1.0",0.288,48,0,76,9
"4928",8557,"ENSMUSG00000051747","Ttn","chr2","-",76965090,76965228,76954794,76955088,76967053,76967185,8557,"427,407,535,421,349","27,54,33,36,57","21,27,90","12,33,198",-2,-1,0,0,"0.888,0.79,0.89,0.854,0.754","0.467,0.29,0.185",0.521,2139,207,138,243
"4966",8605,"ENSMUSG00000068329","Htra2","chr6","-",83052697,83052726,83052472,83052542,83053037,83053070,8605,"11,11,16,13,17","0,3,0,0,2","10,9,4","2,4,2",-2,-1,0.000416704589327,0.0122568155128,"1.0,0.647,1.0,1.0,0.81","0.714,0.529,0.5",0.31,68,5,23,8
"5039",8709,"ENSMUSG00000020061","Mybpc1","chr10","-",88582006,88582048,88573415,88573529,88585659,88585695,8709,"84,66,28,81,46","0,0,0,0,0","327,1172,168","199,417,39",-2,-1,0,0,"1.0,1.0,1.0,1.0,1.0","0.451,0.584,0.683",0.427,305,0,1667,655
"5106",8818,"ENSMUSG00000030846","Tial1","chr7","-",128446730,128447107,128446194,128446270,128448120,128448208,8818,"25,15,11,13,11","11,16,10,21,10","7,7,1","20,28,17",-2,-1,2.92810942037e-06,0.000177732230708,"0.532,0.319,0.355,0.236,0.355","0.149,0.111,0.029",0.263,75,68,15,65
"5107",8819,"ENSMUSG00000030846","Tial1","chr7","-",128447038,128447107,128446194,128446270,128448120,128448208,8819,"11,2,4,2,6","11,16,10,21,10","1,1,0","20,28,17",-2,-1,1.37230471808e-06,9.00841808269e-05,"0.333,0.059,0.167,0.045,0.231","0.024,0.018,0.0",0.153,25,68,2,65
"5246",9052,"ENSMUSG00000036026","Tmem63b","chr17","-",45678962,45679001,45677925,45678016,45679236,45679316,9052,"7,5,10,10,6","9,12,9,11,6","8,11,2","27,68,20",-2,-1,1.52389549364e-05,0.000744064014581,"0.28,0.172,0.357,0.313,0.333","0.129,0.075,0.048",0.207,38,47,21,115
"5276",9117,"ENSMUSG00000030180","Kdm5a","chr6","+",120438443,120438525,120431812,120432223,120438986,120439711,9117,"40,53,56,53,57","35,37,40,48,63","2,6,2","8,11,12",-2,-1,5.80559895373e-05,0.00229684008607,"0.364,0.417,0.412,0.356,0.311","0.111,0.214,0.077",0.238,259,223,10,31
"5372",9284,"ENSMUSG00000022668","Gtpbp8","chr16","-",44745394,44745493,44743737,44743868,44745998,44746363,9284,"12,9,14,21,13","1,0,0,0,0","13,17,16","2,4,1",-2,-1,7.19571002439e-05,0.0027665241751,"0.857,1.0,1.0,1.0,1.0","0.765,0.68,0.889",0.193,69,1,46,7
"5543",9596,"ENSMUSG00000027763","Mbnl1","chr3","+",60622145,60622240,60615619,60615773,60625123,60625198,9596,"12,15,7,16,4","2,0,1,1,1","78,219,88","27,33,17",-2,-1,0.000464976173517,0.0134222112368,"0.75,1.0,0.778,0.889,0.667","0.591,0.768,0.721",0.123,54,5,385,77
"5590",9665,"ENSMUSG00000041476","Smpx","chrX","+",157751594,157751629,157720930,157721079,157752171,157752214,9665,"3405,3602,3188,3851,3486","191,199,166,207,182","1152,932,1180","131,104,172",-2,-1,0,0,"0.899,0.9,0.906,0.903,0.905","0.815,0.818,0.774",0.1,17532,945,3264,407
"5694",9831,"ENSMUSG00000069769","Msi2","chr11","-",88347052,88347125,88339381,88344660,88366784,88366847,9831,"6,6,4,12,6","13,20,26,26,19","2,4,1","18,48,16",-2,-1,0.000308562968825,0.00949473968655,"0.188,0.13,0.071,0.188,0.136","0.053,0.04,0.03",0.102,34,104,7,82
"5826",10046,"ENSMUSG00000038084","Opa1","chr16","+",29597585,29597696,29589680,29589748,29602211,29602265,10046,"2,5,3,10,3","0,1,0,0,3","30,103,23","6,36,7",-2,-1,0.000873082004352,0.0223297336871,"1.0,0.714,1.0,1.0,0.333","0.714,0.589,0.622",0.168,23,4,156,49
"6103",10523,"ENSMUSG00000019920","Lims1","chr10","+",58418647,58418835,58418398,58418474,58421453,58421664,10523,"9,25,14,25,25","14,5,9,14,13","4,8,6","11,29,16",-2,-1,2.22328053223e-06,0.000138264646152,"0.243,0.714,0.438,0.472,0.49","0.154,0.121,0.158",0.327,98,55,18,56
"6417",11042,"ENSMUSG00000021000","Mia2","chr12","+",59144698,59144770,59137697,59137786,59146335,59146362,11042,"4,6,10,10,5","5,3,3,7,6","7,10,2","21,36,19",-2,-1,1.80887338704e-05,0.000864163663393,"0.286,0.5,0.625,0.417,0.294","0.143,0.122,0.05",0.319,35,24,19,76
"6419",11044,"ENSMUSG00000021000","Mia2","chr12","+",59146335,59146362,59137697,59137786,59146846,59146872,11044,"7,4,3,6,6","0,0,1,0,1","24,52,23","7,7,5",-2,-1,3.697455914e-06,0.000219360735658,"1.0,1.0,0.6,1.0,0.75","0.632,0.788,0.697",0.164,26,2,99,19
"6568",11326,"ENSMUSG00000032479","Map4","chr9","+",110037287,110040467,110036741,110036855,110063016,110063123,11326,"140,156,156,147,204","10,12,12,16,11","112,296,107","18,36,25",-2,-1,0.000232310296886,0.00747271815246,"0.875,0.867,0.867,0.821,0.903","0.757,0.804,0.682",0.119,803,61,515,79
"6569",11327,"ENSMUSG00000032479","Map4","chr9","+",110064227,110064449,110062590,110063123,110067484,110067668,11327,"184,175,152,231,107","1,6,1,4,2","210,415,243","15,32,12",-2,-1,1.35420143987e-08,1.32606996245e-06,"0.989,0.936,0.987,0.967,0.964","0.875,0.866,0.91",0.085,849,14,868,59
"6640",11449,"ENSMUSG00000029629","Phf14","chr6","+",11933252,11934019,11926726,11926837,11941429,11941574,11449,"9,13,20,22,20","1,0,1,1,0","7,22,11","5,1,3",-2,-1,3.43195579822e-06,0.000204808028847,"0.818,1.0,0.909,0.917,1.0","0.412,0.917,0.647",0.27,84,3,40,9
"6731",11604,"ENSMUSG00000029920","Smarcad1","chr6","+",65043835,65044108,65043205,65043445,65052619,65052749,11604,"5,14,17,7,14","5,0,0,0,0","5,2,7","2,3,2",-2,-1,0.000210585349349,0.00692470265652,"0.333,1.0,1.0,1.0,1.0","0.556,0.25,0.636",0.386,57,5,14,7
"7010",12052,"ENSMUSG00000040139","9430038I01Rik","chr7","-",137376954,137377117,137376136,137376351,137387370,137387433,12052,"3,10,4,2,1","18,22,29,20,14","0,1,0","8,5,7",-2,-1,0.00102963415683,0.0260331466414,"0.077,0.185,0.065,0.048,0.034","0.0,0.091,0.0",0.051,20,103,1,20
"7127",12263,"ENSMUSG00000027077","Smtnl1","chr2","-",84815290,84815442,84811175,84811539,84815606,84815721,12263,"1984,2102,1725,2321,1529","2,1,0,0,2","95,74,154","5,0,8",-2,-1,1.62938549518e-05,0.000789049959469,"0.998,0.999,1.0,1.0,0.997","0.905,1.0,0.906",0.062,9661,5,323,13
"7148",12297,"ENSMUSG00000014426","Map3k4","chr17","-",12242649,12242805,12239969,12240070,12243499,12243596,12297,"23,25,15,19,9","1,5,6,11,4","8,13,16","18,22,13",-2,-1,3.81163702505e-05,0.00161620704861,"0.92,0.714,0.556,0.463,0.529","0.182,0.228,0.381",0.373,91,27,37,53
