"","ID","GeneID","geneSymbol","chr","strand","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"525",662,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76840232,76840313,76826994,76827078,76841089,76841153,662,"1166,1267,1226,996,847","1048,1070,866,1035,758","0,0,56","9,3,69",-2,-2,0.00502939173379,0.0235766464027,"0.527,0.542,0.586,0.49,0.528","0.0,0.0,0.448",0.385,5502,4777,56,81
"526",663,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76841089,76841389,76826994,76827078,76841533,76841605,663,"3026,3956,3717,3421,3327","873,895,709,885,634","0,0,52","9,3,66",-2,-2,1.84673547565e-07,2.06507347199e-06,"0.776,0.816,0.84,0.794,0.84","0.0,0.0,0.441",0.666,17447,3996,52,78
"528",665,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76841533,76841626,76826994,76827078,76841767,76841836,665,"4501,5643,5172,5034,4922","886,911,721,890,651","0,2,87","9,3,70",-2,-2,4.58134960057e-06,4.1855989755e-05,"0.836,0.861,0.878,0.85,0.883","0.0,0.4,0.554",0.544,25272,4059,89,82
"529",666,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76843375,76843492,76826994,76827078,76844204,76844279,666,"2320,2839,2549,2180,2022","867,893,707,879,628","1,1,103","10,3,67",-2,-2,0.00122431443867,0.00684532057246,"0.728,0.761,0.783,0.713,0.763","0.091,0.25,0.606",0.434,11910,3974,105,80
"585",725,"ENSMUSG00000051747","Ttn","chr2","-",76856264,76856366,76857396,76857474,76854386,76854467,76857609,76857690,725,"2191,2834,2598,2720,3287","885,961,1003,931,1082","22,4,119","8,4,137",-2,-2,0.0110370635416,0.0467932224025,"0.712,0.747,0.721,0.745,0.752","0.733,0.5,0.465",0.169,13630,4862,145,149
"656",817,"ENSMUSG00000034908","Sidt2","chr9","-",45947540,45947552,45947628,45947697,45946983,45947055,45947835,45947888,817,"2,2,0,5,1","2,3,2,1,5","2,4,0","22,41,8",-2,-2,0.0112735001791,0.0474592252638,"0.5,0.4,0.0,0.833,0.167","0.083,0.089,0.0",0.323,10,13,6,71
"733",908,"ENSMUSG00000061613","U2af1","chr17","-",31651645,31651712,31652501,31652568,31648844,31648894,31654978,31655066,908,"25,21,29,23,20","125,112,126,113,109","12,8,9","104,88,138",-2,-2,8.25998365118e-05,0.000595106875808,"0.167,0.158,0.187,0.169,0.155","0.103,0.083,0.061",0.085,118,585,29,330
"752",943,"ENSMUSG00000021000","Mia2","chr12","+",59144698,59144770,59146335,59146362,59137697,59137786,59146846,59146957,943,"4,2,8,9,0","7,4,3,6,6","4,5,1","24,52,23",-2,-2,0.000462800753703,0.00287177230694,"0.364,0.333,0.727,0.6,0.0","0.143,0.088,0.042",0.314,23,26,10,99
"889",1113,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142504249,142504264,1113,"122,95,109,141,91","967,801,1499,1068,1666","290,386,306","16390,22642,29651",-2,-2,0,0,"0.112,0.106,0.068,0.117,0.052","0.017,0.017,0.01",0.076,558,6001,982,68683
"890",1114,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142505287,142505299,1114,"122,95,109,141,92","2,1,32,1,45","291,386,308","1076,1177,1840",-2,-2,0,0,"0.984,0.99,0.773,0.993,0.672","0.213,0.247,0.143",0.681,559,81,985,4093
"891",1115,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504249,142504264,142501828,142501842,142505287,142505299,1115,"122,95,109,141,92","169,189,341,184,418","291,386,308","4851,4335,7074",-2,-2,0,0,"0.419,0.335,0.242,0.434,0.18","0.057,0.082,0.042",0.262,559,1301,985,16260
"892",1116,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142505515,142505530,1116,"123,95,109,141,91","426,287,420,313,296","294,385,305","2473,2553,2044",-2,-2,0,0,"0.224,0.249,0.206,0.311,0.235","0.106,0.131,0.13",0.123,559,1742,984,7070
"894",1118,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142505287,142505299,142501828,142501842,142505515,142505530,1118,"123,95,109,141,91","100,78,122,122,109","294,385,305","703,621,828",-2,-2,7.88575871269e-11,1.17574471918e-09,"0.552,0.549,0.472,0.536,0.455","0.295,0.383,0.269",0.197,559,531,984,2152
"895",1119,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142504047,142504065,142501828,142501842,142508334,142508353,1119,"125,100,109,142,92","11,3,28,3,75","297,391,315","565,758,1655",-2,-2,0,0,"0.919,0.971,0.796,0.979,0.551","0.345,0.34,0.16",0.562,568,120,1003,2978
"896",1120,"ENSMUSG00000061723","Tnnt3","chr7","+",142502739,142502757,142505287,142505299,142501828,142501842,142508334,142508353,1120,"125,100,109,142,92","33,41,215,36,399","297,391,315","4802,6142,7515",-2,-2,0,0,"0.791,0.709,0.336,0.798,0.187","0.058,0.06,0.04",0.512,568,724,1003,18459
"901",1125,"ENSMUSG00000061723","Tnnt3","chr7","+",142504047,142504065,142504249,142504264,142502739,142502757,142505287,142505299,1125,"324,238,320,292,259","169,189,341,184,418","1149,1522,998","4851,4336,7072",-2,-2,0,0,"0.657,0.557,0.484,0.613,0.383","0.192,0.26,0.124",0.347,1433,1301,3669,16259
"903",1127,"ENSMUSG00000061723","Tnnt3","chr7","+",142504047,142504065,142505287,142505299,142502739,142502757,142505515,142505530,1127,"2095,1638,2250,1986,1556","100,78,122,122,106","6455,8470,3892","703,622,830",-2,-2,3.18078896555e-13,5.68726792015e-12,"0.954,0.955,0.949,0.942,0.936","0.902,0.932,0.824",0.061,9525,528,18817,2155
"905",1129,"ENSMUSG00000061723","Tnnt3","chr7","+",142504047,142504065,142505287,142505299,142502739,142502757,142508334,142508353,1129,"367,262,355,331,293","33,41,215,36,400","848,1329,881","4803,6143,7518",-2,-2,0,0,"0.917,0.865,0.623,0.902,0.423","0.15,0.178,0.105",0.602,1608,725,3058,18464
"907",1131,"ENSMUSG00000061723","Tnnt3","chr7","+",142504249,142504264,142505287,142505299,142501828,142501842,142505515,142505530,1131,"454,374,535,586,369","100,78,122,122,109","94,93,184","703,621,828",-2,-2,0,0,"0.819,0.827,0.814,0.828,0.772","0.118,0.13,0.182",0.669,2318,531,371,2152
"908",1133,"ENSMUSG00000061723","Tnnt3","chr7","+",142504249,142504264,142505287,142505299,142502739,142502757,142505515,142505530,1133,"454,374,535,586,369","100,78,122,122,106","94,93,184","703,622,830",-2,-2,0,0,"0.819,0.827,0.814,0.828,0.777","0.118,0.13,0.181",0.67,2318,528,371,2155
"910",1137,"ENSMUSG00000061723","Tnnt3","chr7","+",142504249,142504264,142505287,142505299,142504047,142504065,142505515,142505530,1137,"3830,2991,4118,4380,3033","111,85,139,127,113","1458,2210,3273","874,783,943",-2,-2,0,0,"0.972,0.972,0.967,0.972,0.964","0.625,0.738,0.776",0.256,18352,575,6941,2600
"912",1139,"ENSMUSG00000061723","Tnnt3","chr7","+",142504249,142504264,142505287,142505299,142504047,142504065,142508334,142508353,1139,"238,167,261,240,208","34,46,233,36,413","816,1531,1775","5566,6776,8197",-2,-2,5.55111512313e-16,1.11385459527e-14,"0.875,0.784,0.528,0.87,0.335","0.128,0.184,0.178",0.515,1114,762,4122,20539
"984",1234,"ENSMUSG00000028756","Pink1","chr4","-",138319988,138320089,138320737,138321022,138317895,138318078,138325832,138326089,1234,"481,469,439,432,455","401,407,354,353,345","328,536,320","368,523,316",-2,-2,0.011344483541,0.0474920329085,"0.545,0.535,0.554,0.55,0.569","0.471,0.506,0.503",0.057,2276,1860,1184,1207
"1055",1323,"ENSMUSG00000039601","Rcan2","chr17","+",43836270,43836497,44017766,44017940,43801350,43801666,44020952,44021124,1323,"16,17,20,18,22","131,156,144,138,162","1,0,0","70,85,76",-2,-2,5.56843460231e-12,9.19648391628e-11,"0.109,0.098,0.122,0.115,0.12","0.014,0.0,0.0",0.108,93,731,1,231
"1091",1367,"ENSMUSG00000022255","Mtdh","chr15","+",34116310,34116376,34117879,34118110,34114023,34114108,34131163,34131288,1367,"3,2,3,6,10","22,13,26,23,28","2,0,0","54,46,41",-2,-2,5.27278235518e-08,6.28925762032e-07,"0.12,0.133,0.103,0.207,0.263","0.036,0.0,0.0",0.153,24,112,2,141
"1119",1396,"ENSMUSG00000034088","Hdlbp","chr1","-",93429377,93429485,93430097,93430304,93428147,93428252,93430954,93431170,1396,"53,23,33,38,30","36,25,14,28,25","105,241,92","115,292,96",-2,-2,0.0113333292452,0.0474920329085,"0.596,0.479,0.702,0.576,0.545","0.477,0.452,0.489",0.107,177,128,438,503
"1146",1426,"ENSMUSG00000021557","Agtpbp1","chr13","-",59528386,59528518,59531056,59531203,59525145,59525239,59532012,59532076,1426,"4,9,6,4,9","3,9,3,3,1","8,32,7","24,37,16",-2,-2,0.00424569473404,0.0206233180859,"0.571,0.5,0.667,0.571,0.9","0.25,0.464,0.304",0.302,32,19,47,77
"1221",1516,"ENSMUSG00000005583","Mef2c","chr13","+",83592777,83592981,83625469,83625607,83575534,83575730,83633054,83633241,1516,"1964,2341,1893,2104,2537","538,575,449,528,477","501,314,502","221,201,204",-2,-2,3.40213412997e-11,5.33166567668e-10,"0.785,0.803,0.808,0.799,0.842","0.694,0.61,0.711",0.136,10839,2567,1317,626
"1222",1517,"ENSMUSG00000005583","Mef2c","chr13","+",83625264,83625408,83625469,83625607,83575534,83575730,83633054,83633241,1517,"236,231,224,252,266","538,575,449,528,477","55,75,53","221,201,204",-2,-2,2.77383040689e-05,0.000214996891104,"0.305,0.287,0.333,0.323,0.358","0.199,0.272,0.206",0.096,1209,2567,183,626
"1269",1566,"ENSMUSG00000019787","Trdn","chr10","+",33433700,33433730,33437717,33437747,33399094,33399145,33438791,33438818,1566,"252,302,266,298,278","1254,1506,1341,1609,1648","68,70,72","569,585,564",-2,-2,2.26712435226e-05,0.000183679848464,"0.167,0.167,0.166,0.156,0.144","0.107,0.107,0.113",0.051,1396,7358,210,1718
"1270",1567,"ENSMUSG00000019787","Trdn","chr10","+",33433700,33433730,33438791,33438818,33399094,33399145,33439174,33439222,1567,"243,294,242,290,260","549,616,572,662,650","67,68,73","240,194,207",-2,-2,0.0078103835863,0.0346322031705,"0.307,0.323,0.297,0.305,0.286","0.218,0.26,0.261",0.057,1329,3049,208,641
"1274",1571,"ENSMUSG00000019787","Trdn","chr10","+",33437717,33437747,33439174,33439222,33433700,33433730,33442887,33442932,1571,"233,283,232,285,313","1394,1656,1506,1719,1657","64,98,76","779,937,710",-2,-2,7.32982722296e-08,8.59952953426e-07,"0.143,0.146,0.133,0.142,0.159","0.076,0.095,0.097",0.055,1346,7932,238,2426
"1290",1589,"ENSMUSG00000026950","Neb","chr2","-",52150536,52150629,52150966,52151059,52149589,52149697,52151363,52151456,1589,"1330,1144,803,1154,625","1931,1737,1351,1849,1219","547,669,521","1641,1753,1202",-2,-2,2.27261320873e-09,3.03062146531e-08,"0.408,0.397,0.373,0.384,0.339","0.25,0.276,0.302",0.104,5056,8087,1737,4596
"1291",1590,"ENSMUSG00000026950","Neb","chr2","-",52150536,52150629,52153055,52153148,52149589,52149697,52153682,52153775,1590,"904,775,612,821,479","1927,1737,1347,1844,1214","127,126,230","1385,1539,1088",-2,-2,0,0,"0.319,0.309,0.312,0.308,0.283","0.084,0.076,0.175",0.195,3591,8069,483,4012
"1293",1592,"ENSMUSG00000026950","Neb","chr2","-",52150536,52150629,52156354,52156447,52149589,52149697,52157290,52157383,1592,"780,687,495,665,418","1927,1735,1347,1845,1213","29,77,151","1385,1539,1088",-2,-2,0,0,"0.288,0.284,0.269,0.265,0.256","0.021,0.048,0.122",0.209,3045,8067,257,4012
"1294",1593,"ENSMUSG00000026950","Neb","chr2","-",52150536,52150629,52157290,52157383,52149589,52149697,52157831,52157912,1593,"659,596,436,598,323","1927,1740,1347,1844,1213","135,162,205","1413,1567,1113",-2,-2,0,0,"0.255,0.255,0.245,0.245,0.21","0.087,0.094,0.156",0.13,2612,8071,502,4093
"1306",1605,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52153055,52153148,52149589,52149697,52153682,52153775,1605,"904,775,612,821,479","6,4,2,6,1","127,126,230","49,43,17",-2,-2,0,0,"0.993,0.995,0.997,0.993,0.998","0.722,0.746,0.931",0.196,3591,19,483,109
"1307",1606,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52157290,52157383,52149589,52149697,52157831,52157912,1606,"659,596,436,598,323","5,4,1,5,1","135,162,205","51,43,17",-2,-2,0,0,"0.992,0.993,0.998,0.992,0.997","0.726,0.79,0.923",0.181,2612,16,502,111
"1308",1607,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52156354,52156447,52149589,52149697,52157831,52157924,1607,"8,6,7,5,8","5,4,1,5,1","5,6,1","51,43,17",-2,-2,2.60802490715e-12,4.37455427785e-11,"0.615,0.6,0.875,0.5,0.889","0.089,0.122,0.056",0.607,34,16,12,111
"1311",1610,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52157831,52157924,52149589,52149697,52159476,52159569,1610,"834,754,510,682,387","5,4,1,5,1","541,781,469","50,43,17",-2,-2,0,0,"0.994,0.995,0.998,0.993,0.997","0.915,0.948,0.965",0.053,3167,16,1791,110
"1313",1612,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52153055,52153148,52150536,52150629,52153682,52153775,1612,"904,775,612,821,478","1800,1537,1297,1627,1039","127,126,230","637,807,575",-2,-2,8.89152487193e-08,1.03750564674e-06,"0.334,0.335,0.321,0.335,0.315","0.166,0.135,0.286",0.132,3590,7300,483,2019
"1315",1614,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52154569,52154662,52150536,52150629,52156354,52156447,1614,"585,452,378,445,255","1799,1537,1296,1626,1039","14,44,60","637,807,575",-2,-2,0,0,"0.245,0.227,0.226,0.215,0.197","0.022,0.052,0.094",0.166,2115,7297,118,2019
"1316",1615,"ENSMUSG00000026950","Neb","chr2","-",52150966,52151059,52157290,52157383,52150536,52150629,52157831,52157912,1615,"659,596,436,599,323","1799,1537,1296,1626,1039","135,162,204","639,807,575",-2,-2,0.000707802062434,0.00417486546166,"0.268,0.279,0.252,0.269,0.237","0.174,0.167,0.262",0.06,2613,7297,501,2021
"1318",1617,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153055,52153148,52149589,52149697,52153682,52153775,1617,"904,775,612,821,479","4,2,6,6,20","127,126,230","1157,1073,748",-2,-2,0,0,"0.996,0.997,0.99,0.993,0.96","0.099,0.105,0.235",0.841,3591,38,483,2978
"1319",1618,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153055,52153148,52149589,52149697,52157290,52157383,1618,"3,7,6,18,5","4,2,6,6,20","41,60,24","1167,1089,755",-2,-2,1.70974345792e-14,3.24851257005e-13,"0.429,0.778,0.5,0.75,0.2","0.034,0.052,0.031",0.492,39,38,125,3011
"1320",1619,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52156354,52156447,52149589,52149697,52157290,52157383,1619,"780,687,495,665,418","4,2,6,6,20","29,77,151","1167,1089,755",-2,-2,0,0,"0.995,0.997,0.988,0.991,0.954","0.024,0.066,0.167",0.899,3045,38,257,3011
"1321",1620,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157290,52157383,52149589,52149697,52157831,52157912,1620,"659,596,436,598,323","6,7,11,19,20","135,162,205","1320,1283,828",-2,-2,0,0,"0.991,0.988,0.975,0.969,0.942","0.093,0.112,0.198",0.839,2612,63,502,3431
"1322",1621,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52156354,52156447,52149589,52149697,52157831,52157924,1621,"8,6,7,5,8","6,7,11,19,20","5,6,1","1320,1283,828",-2,-2,0,0,"0.571,0.462,0.389,0.208,0.286","0.004,0.005,0.001",0.38,34,63,12,3431
"1324",1623,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157831,52157924,52149589,52149697,52159476,52159569,1623,"834,754,510,682,387","4,4,13,7,31","541,781,469","2479,2280,1573",-2,-2,0,0,"0.995,0.995,0.975,0.99,0.926","0.179,0.255,0.23",0.755,3167,59,1791,6332
"1325",1624,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52159476,52159569,52149589,52149697,52160655,52160748,1624,"752,635,583,700,427","4,2,6,6,20","2732,3512,2879","1158,1075,748",-2,-2,0,0,"0.995,0.997,0.99,0.992,0.955","0.702,0.766,0.794",0.232,3097,38,9123,2981
"1328",1627,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52161370,52161475,52149589,52149697,52162067,52162172,1627,"955,793,688,794,639","4,2,6,6,21","1303,1527,979","1155,1074,767",-2,-2,0,0,"0.996,0.997,0.991,0.993,0.968","0.53,0.587,0.561",0.43,3869,39,3809,2996
"1329",1628,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153055,52153148,52150536,52150629,52153682,52153775,1628,"904,775,612,821,478","4,2,4,5,6","127,126,230","258,214,114",-2,-2,0,0,"0.996,0.997,0.994,0.994,0.988","0.33,0.371,0.669",0.537,3590,21,483,586
"1330",1629,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52154569,52154662,52150536,52150629,52156354,52156447,1629,"585,452,378,445,255","5,3,5,5,9","14,44,60","282,221,118",-2,-2,0,0,"0.992,0.993,0.987,0.989,0.966","0.047,0.166,0.337",0.802,2115,27,118,621
"1331",1630,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153055,52153148,52150536,52150629,52157290,52157383,1630,"3,7,6,18,4","4,2,4,5,6","41,60,24","268,230,121",-2,-2,2.99252623792e-08,3.62991741967e-07,"0.429,0.778,0.6,0.783,0.4","0.133,0.207,0.166",0.429,38,21,125,619
"1332",1631,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153682,52153775,52150536,52150629,52157290,52157383,1631,"6,9,11,7,9","4,2,4,5,6","39,18,20","268,230,121",-2,-2,0,0,"0.6,0.818,0.733,0.583,0.6","0.127,0.073,0.142",0.553,42,21,77,619
"1333",1632,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52156354,52156447,52150536,52150629,52157290,52157383,1632,"813,736,518,699,470","4,2,4,5,6","26,83,166","268,230,121",-2,-2,0,0,"0.995,0.997,0.992,0.993,0.987","0.088,0.265,0.578",0.682,3236,21,275,619
"1334",1633,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157290,52157383,52150536,52150629,52157831,52157912,1633,"659,596,436,599,323","6,7,9,18,6","135,162,204","421,424,194",-2,-2,0,0,"0.991,0.988,0.98,0.971,0.982","0.243,0.276,0.513",0.638,2613,46,501,1039
"1335",1634,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157831,52157924,52150536,52150629,52159476,52159569,1634,"834,759,510,682,387","4,4,11,6,17","563,797,487","1580,1421,939",-2,-2,0,0,"0.995,0.995,0.979,0.991,0.958","0.263,0.359,0.342",0.662,3172,42,1847,3940
"1336",1635,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52159476,52159569,52150536,52150629,52160655,52160748,1635,"752,635,573,700,415","4,2,4,5,6","2706,3228,2450","259,216,114",-2,-2,0,0,"0.995,0.997,0.993,0.993,0.986","0.913,0.937,0.956",0.057,3075,21,8384,589
"1337",1636,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52161370,52161475,52150536,52150629,52162067,52162172,1636,"955,793,688,794,639","4,2,4,5,7","1303,1526,978","256,215,133",-2,-2,0,0,"0.996,0.997,0.994,0.994,0.989","0.836,0.877,0.88",0.13,3869,22,3807,604
"1338",1637,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52153055,52153148,52150966,52151059,52153682,52153775,1637,"904,775,613,821,478","1521,1298,938,1309,762","127,129,230","570,700,551",-2,-2,3.5114910979e-11,5.46316767188e-10,"0.373,0.374,0.395,0.385,0.385","0.182,0.156,0.294",0.172,3591,5828,486,1821
"1341",1640,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52156354,52156447,52150966,52151059,52157290,52157383,1640,"779,687,493,666,415","1521,1298,938,1309,762","24,74,150","580,716,558",-2,-2,0,0,"0.339,0.346,0.345,0.337,0.353","0.04,0.094,0.212",0.229,3040,5828,248,1854
"1342",1641,"ENSMUSG00000026950","Neb","chr2","-",52151363,52151456,52157831,52157924,52150966,52151059,52159476,52159569,1641,"834,754,510,682,387","1521,1300,945,1310,773","537,769,462","1892,1907,1376",-2,-2,1.19263063869e-08,1.5332802283e-07,"0.354,0.367,0.351,0.342,0.334","0.221,0.287,0.251",0.097,3167,5849,1768,5175
"1344",1643,"ENSMUSG00000026950","Neb","chr2","-",52153055,52153148,52156354,52156447,52149589,52149697,52157290,52157383,1643,"780,687,495,665,418","3,7,6,18,5","29,77,151","41,60,24",-2,-2,0,0,"0.996,0.99,0.988,0.974,0.988","0.414,0.562,0.863",0.374,3045,39,257,125
"1345",1644,"ENSMUSG00000026950","Neb","chr2","-",52153055,52153148,52157290,52157383,52149589,52149697,52157831,52157912,1644,"659,596,436,598,323","4,4,1,5,4","135,162,205","64,47,33",-2,-2,0,0,"0.994,0.993,0.998,0.992,0.988","0.678,0.775,0.861",0.222,2612,18,502,144
"1346",1645,"ENSMUSG00000026950","Neb","chr2","-",52153055,52153148,52156354,52156447,52149589,52149697,52157831,52157924,1645,"8,6,7,5,8","4,4,1,5,4","5,6,1","64,47,33",-2,-2,1.68753899743e-14,3.23495198882e-13,"0.667,0.6,0.875,0.5,0.667","0.072,0.113,0.029",0.59,34,18,12,144
"1353",1652,"ENSMUSG00000026950","Neb","chr2","-",52153055,52153148,52156354,52156447,52150536,52150629,52157290,52157383,1652,"813,736,518,699,470","3,7,6,18,4","26,83,166","41,60,24",-2,-2,0,0,"0.996,0.991,0.989,0.975,0.992","0.388,0.58,0.874",0.375,3236,38,275,125
"1354",1653,"ENSMUSG00000026950","Neb","chr2","-",52153055,52153148,52157290,52157383,52150536,52150629,52157831,52157912,1653,"659,596,436,599,323","4,4,1,5,3","135,162,204","64,47,33",-2,-2,0,0,"0.994,0.993,0.998,0.992,0.991","0.678,0.775,0.861",0.222,2613,17,501,144
"1359",1658,"ENSMUSG00000026950","Neb","chr2","-",52153055,52153148,52156354,52156447,52150966,52151059,52157290,52157383,1658,"779,687,493,666,415","3,7,7,18,4","24,74,150","41,63,24",-2,-2,0,0,"0.996,0.99,0.986,0.974,0.99","0.369,0.54,0.862",0.397,3040,39,248,128
"1362",1661,"ENSMUSG00000026950","Neb","chr2","-",52153055,52153148,52153682,52153775,52151363,52151456,52154569,52154662,1661,"754,655,556,642,353","1116,939,708,938,529","46,69,147","339,398,365",-2,-2,2.38586927992e-13,4.3045893647e-12,"0.403,0.411,0.44,0.406,0.4","0.119,0.148,0.287",0.227,2960,4230,262,1102
