"","ID","GeneID","geneSymbol","chr","strand","X1stExonStart_0base","X1stExonEnd","X2ndExonStart_0base","X2ndExonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"424",498,"ENSMUSG00000028256","Odf2l","chr3","+",145126092,145126225,145127022,145127151,145124210,145124375,145127830,145127890,498,"2,2,3,3,8","0,2,1,1,0","12,8,14,17,7","12,5,19,13,6",-2,-2,1.10831336704e-05,0.000132907129484,"1.0,0.5,0.75,0.75,1.0","0.5,0.615,0.424,0.567,0.538",0.271,18,4,58,55
"476",553,"ENSMUSG00000022498","Txndc11","chr16","-",11104565,11104659,11116794,11116924,11091585,11091786,11122669,11122767,553,"9,2,6,5,8","2,0,2,1,0","5,10,28,11,8","1,2,13,2,1",-2,-2,0.00360435026179,0.0202477649506,"0.818,1.0,0.75,0.833,1.0","0.833,0.833,0.683,0.846,0.889",0.063,30,5,62,19
"478",555,"ENSMUSG00000024587","Nars","chr18","-",64509244,64509315,64510452,64510531,64507771,64507858,64511610,64511700,555,"73,134,86,85,88","23,37,30,18,16","120,97,137,128,81","80,79,123,66,55",-2,-2,6.26965146466e-12,3.47551622701e-10,"0.76,0.784,0.741,0.825,0.846","0.6,0.551,0.527,0.66,0.596",0.204,466,124,563,403
"479",557,"ENSMUSG00000024587","Nars","chr18","-",64510452,64510531,64511610,64511700,64509244,64509315,64511784,64511877,557,"150,164,138,161,139","54,67,47,72,36","129,104,129,121,96","119,110,146,134,92",-2,-2,0,0,"0.735,0.71,0.746,0.691,0.794","0.52,0.486,0.469,0.475,0.511",0.243,752,276,579,601
"504",585,"ENSMUSG00000078812","Eif5a","chr11","-",69919448,69919478,69920340,69920434,69919150,69919336,69921162,69921386,585,"21,30,23,21,20","0,0,0,0,0","24,48,25,31,31","0,4,4,1,5",-2,-2,9.42460924953e-05,0.000879031808734,"1.0,1.0,1.0,1.0,1.0","1.0,0.923,0.862,0.969,0.861",0.077,115,0,159,14
"621",731,"ENSMUSG00000026131","Dst","chr1","+",34184015,34184144,34185961,34186050,34174696,34174795,34186818,34186951,731,"27,41,40,38,51","2,2,1,3,0","28,7,47,21,22","21,16,44,24,10",-2,-2,0,0,"0.931,0.953,0.976,0.927,1.0","0.571,0.304,0.516,0.467,0.688",0.448,197,8,125,115
"635",746,"ENSMUSG00000042476","Abcb4","chr5","+",8896572,8896627,8905974,8906032,8893948,8894164,8907207,8907399,746,"11,6,4,16,6","4,1,6,1,0","8,9,16,11,7","18,7,18,8,9",-2,-2,0.000402735927105,0.00311378461535,"0.733,0.857,0.4,0.941,1.0","0.308,0.563,0.471,0.579,0.438",0.314,43,12,51,60
"739",871,"ENSMUSG00000022681","Ntan1","chr16","+",13829004,13829078,13831117,13831171,13827387,13827496,13831606,13831660,871,"31,40,33,40,45","27,18,29,33,26","15,25,35,33,16","29,28,44,31,15",-2,-2,0.0108655441885,0.048886629136,"0.534,0.69,0.532,0.548,0.634","0.341,0.472,0.443,0.516,0.516",0.13,189,133,124,147
"752",885,"ENSMUSG00000032411","Tfdp2","chr9","+",96223093,96223198,96232681,96232748,96202130,96202188,96247049,96247088,885,"2,3,4,1,1","0,0,1,0,0","12,26,20,15,7","4,0,0,7,3",-2,-2,3.59767142466e-06,5.15607738812e-05,"1.0,1.0,0.8,1.0,1.0","0.75,1.0,1.0,0.682,0.7",0.134,11,1,80,14
"754",887,"ENSMUSG00000032411","Tfdp2","chr9","+",96223093,96223198,96232681,96232748,96202130,96202188,96294964,96295127,887,"2,3,4,1,1","0,0,1,0,0","12,26,20,14,7","3,0,0,6,1",-2,-2,0.0032440950413,0.0185430957808,"1.0,1.0,0.8,1.0,1.0","0.8,1.0,1.0,0.7,0.875",0.085,11,1,79,10
"772",905,"ENSMUSG00000032228","Tcf12","chr9","-",72000415,72000518,72015637,72015711,71942444,71944018,72109675,72109748,905,"18,23,26,51,39","10,19,12,17,18","31,22,24,33,19","15,20,41,42,16",-2,-2,0.00480158152559,0.0253723858313,"0.643,0.548,0.684,0.75,0.684","0.674,0.524,0.369,0.44,0.543",0.152,157,76,129,134
"808",943,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76841533,76841626,76822450,76822564,76841767,76841836,943,"4501,5643,5172,5033,4923","19,22,16,15,27","173,9,29,38,82","5,5,3,6,4",-2,-2,7.79053607181e-08,1.7209469909e-06,"0.996,0.996,0.997,0.997,0.995","0.972,0.643,0.906,0.864,0.953",0.129,25272,99,331,23
"810",945,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76840232,76840313,76826994,76827078,76841089,76841153,945,"1166,1267,1226,996,847","1048,1070,866,1035,758","33,2,5,6,27","38,12,18,29,36",-2,-2,0.000120329171691,0.00109791026841,"0.527,0.542,0.586,0.49,0.528","0.465,0.143,0.217,0.171,0.429",0.25,5502,4777,73,133
"811",946,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76841089,76841389,76826994,76827078,76841533,76841605,946,"3026,3956,3717,3421,3327","873,895,709,885,634","114,17,16,15,34","37,9,17,29,35",-2,-2,7.03090064835e-07,1.20097593633e-05,"0.776,0.816,0.84,0.794,0.84","0.755,0.654,0.485,0.341,0.493",0.268,17447,3996,196,127
"813",948,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76841533,76841626,76826994,76827078,76841767,76841836,948,"4501,5643,5172,5034,4922","886,911,721,890,651","173,9,29,38,82","42,9,20,35,39",-2,-2,6.02179328624e-09,1.75168600742e-07,"0.836,0.861,0.878,0.85,0.883","0.805,0.5,0.592,0.521,0.678",0.242,25272,4059,331,145
"814",949,"ENSMUSG00000051747","Ttn","chr2","-",76831787,76831874,76843375,76843492,76826994,76827078,76844204,76844279,949,"2320,2839,2549,2180,2022","867,893,707,879,628","84,17,32,30,48","38,9,17,29,36",-2,-2,0.000140561821926,0.00123274815767,"0.728,0.761,0.783,0.713,0.763","0.689,0.654,0.653,0.508,0.571",0.135,11910,3974,211,129
"846",982,"ENSMUSG00000051747","Ttn","chr2","-",76841767,76841836,76847112,76847196,76831787,76831874,76847387,76847471,982,"704,706,732,533,430","12,13,10,6,20","28,9,12,14,17","4,0,3,6,4",-2,-2,6.60821696696e-07,1.13537669292e-05,"0.983,0.982,0.987,0.989,0.956","0.875,1.0,0.8,0.7,0.81",0.142,3105,61,80,17
"867",1004,"ENSMUSG00000051747","Ttn","chr2","-",76856264,76856366,76857396,76857474,76854386,76854467,76857609,76857690,1004,"2191,2834,2598,2720,3287","885,961,1003,931,1082","81,15,28,25,42","62,18,25,27,40",-2,-2,1.92601490312e-12,1.28605267849e-10,"0.712,0.747,0.721,0.745,0.752","0.566,0.455,0.528,0.481,0.512",0.227,13630,4862,191,172
"868",1005,"ENSMUSG00000051747","Ttn","chr2","-",76856802,76856904,76857154,76857229,76856264,76856366,76857396,76857474,1005,"2051,2274,2132,2270,2544","779,778,789,712,862","112,12,28,31,40","51,13,13,25,48",-2,-2,0.000179160269249,0.00153015369492,"0.725,0.745,0.73,0.761,0.747","0.687,0.48,0.683,0.554,0.455",0.17,11271,3920,223,150
"1071",1258,"ENSMUSG00000057531","Dtnbp1","chr13","-",44953171,44953194,44970045,44970178,44930995,44931151,44986034,44986095,1258,"2,0,2,7,3","14,11,16,8,13","1,0,0,0,0","13,18,13,18,9",-2,-2,1.28087924112e-06,2.02323828517e-05,"0.125,0.0,0.111,0.467,0.188","0.071,0.0,0.0,0.0,0.0",0.164,14,62,1,71
"1198",1411,"ENSMUSG00000000628","Hk2","chr6","-",82743267,82743367,82743944,82744040,82742802,82742986,82744861,82744981,1411,"59,72,89,90,98","183,157,205,206,203","63,57,84,34,80","242,158,445,155,446",-2,-2,2.79263606684e-08,6.95319047828e-07,"0.244,0.314,0.303,0.304,0.326","0.207,0.265,0.159,0.18,0.152",0.106,408,954,318,1446
"1199",1412,"ENSMUSG00000042211","Fbxo38","chr18","-",62530688,62530826,62533508,62533674,62529551,62529689,62533900,62534064,1412,"1,4,2,2,1","1,1,1,0,1","23,22,22,23,17","18,16,39,35,32",-2,-2,0.00013103997269,0.00116793686944,"0.5,0.8,0.667,1.0,0.5","0.561,0.579,0.361,0.397,0.347",0.244,10,4,107,140
"1229",1443,"ENSMUSG00000038546","Ranbp9","chr13","-",43430447,43430470,43434813,43434981,43425029,43425214,43436089,43436142,1443,"5,7,3,9,5","0,0,3,0,1","30,41,40,42,44","14,11,22,16,7",-2,-2,8.09434526894e-05,0.000772116441563,"1.0,1.0,0.5,1.0,0.833","0.682,0.788,0.645,0.724,0.863",0.126,29,4,197,70
"1428",1691,"ENSMUSG00000067081","Asb18","chr1","-",89968212,89968720,89992957,89993225,89954388,89954502,90014372,90014577,1691,"4,2,2,7,3","0,0,1,1,0","11,21,21,19,11","28,11,29,11,6",-2,-2,3.86069598513e-09,1.1574208984e-07,"1.0,1.0,0.667,0.875,1.0","0.282,0.656,0.42,0.633,0.647",0.381,18,2,83,85
"1519",1790,"ENSMUSG00000039601","Rcan2","chr17","+",43836270,43836497,44017766,44017940,43801350,43801666,44020952,44021124,1790,"16,17,20,18,22","131,156,144,138,162","3,1,4,3,3","216,354,335,205,197",-2,-2,0,0,"0.109,0.098,0.122,0.115,0.12","0.014,0.003,0.012,0.014,0.015",0.101,93,731,14,1307
"1529",1803,"ENSMUSG00000099083","Atf7","chr15","-",102557459,102557578,102563313,102563410,102553783,102553921,102593671,102593740,1803,"7,3,10,8,10","2,4,2,3,5","14,6,19,16,10","12,12,22,18,12",-2,-2,0.00394349852773,0.0216560722887,"0.778,0.429,0.833,0.727,0.667","0.538,0.333,0.463,0.471,0.455",0.235,38,16,65,76
"1568",1846,"ENSMUSG00000022255","Mtdh","chr15","+",34114798,34114975,34116310,34116376,34114023,34114108,34117879,34118110,1846,"351,419,419,412,439","41,42,36,42,75","142,97,162,127,98","50,26,45,26,23",-2,-2,7.17254033944e-11,3.05404688656e-09,"0.895,0.909,0.921,0.907,0.854","0.74,0.789,0.783,0.83,0.81",0.107,2040,236,626,170
"1700",1991,"ENSMUSG00000036112","Metap2","chr10","-",93862929,93863033,93868866,93868961,93862376,93862492,93870116,93870298,1991,"228,228,251,253,230","248,186,231,269,195","242,172,234,200,161","306,180,292,261,273",-2,-2,0.000492837636431,0.0036937677955,"0.479,0.551,0.521,0.485,0.541","0.442,0.489,0.445,0.434,0.371",0.079,1190,1129,1009,1312
"1743",2040,"ENSMUSG00000005583","Mef2c","chr13","+",83592777,83592981,83625264,83625408,83575534,83575730,83633054,83633241,2040,"1964,2341,1893,2104,2537","236,231,224,252,266","430,256,492,352,308","116,88,155,112,86",-2,-2,0,0,"0.893,0.91,0.894,0.893,0.905","0.788,0.744,0.76,0.759,0.782",0.132,10839,1209,1838,557
"1744",2041,"ENSMUSG00000005583","Mef2c","chr13","+",83592777,83592981,83625469,83625607,83575534,83575730,83633054,83633241,2041,"1964,2341,1893,2104,2537","538,575,449,528,477","430,256,492,352,308","183,105,231,160,110",-2,-2,4.33986180326e-13,3.54180943833e-11,"0.785,0.803,0.808,0.799,0.842","0.701,0.709,0.68,0.688,0.737",0.104,10839,2567,1838,789
"1791",2091,"ENSMUSG00000019787","Trdn","chr10","+",33399094,33399145,33437717,33437747,33398380,33398431,33438791,33438818,2091,"736,864,834,869,929","646,790,703,795,832","267,101,162,154,165","271,160,186,141,189",-2,-2,0.0107138159561,0.0483520603364,"0.533,0.522,0.543,0.522,0.528","0.496,0.387,0.466,0.522,0.466",0.062,4232,3766,849,947
"1907",2209,"ENSMUSG00000026950","Neb","chr2","-",52161370,52161475,52162067,52162172,52160655,52160748,52162904,52163009,2209,"983,801,779,873,699","859,766,578,750,459","1606,362,802,475,1071","1297,392,891,630,929",-2,-2,0.00940186614226,0.0437926814381,"0.534,0.511,0.574,0.538,0.604","0.553,0.48,0.474,0.43,0.535",0.058,4135,3412,4316,4139
"1908",2210,"ENSMUSG00000026950","Neb","chr2","-",52185270,52185375,52186011,52186116,52183731,52183836,52187410,52187515,2210,"189,128,91,188,89","38,38,37,56,22","1074,270,819,340,622","569,94,299,319,400",-2,-2,3.9212635805e-05,0.000402302152808,"0.833,0.771,0.711,0.77,0.802","0.654,0.742,0.733,0.516,0.609",0.127,685,191,3125,1681
"1922",2226,"ENSMUSG00000062866","Phactr2","chr10","-",13255309,13255321,13261765,13261924,13253341,13253879,13266972,13267053,2226,"3,2,5,1,7","0,1,0,0,0","16,12,23,25,14","4,9,7,1,0",-2,-2,2.89317194679e-06,4.22892496501e-05,"1.0,0.667,1.0,1.0,1.0","0.8,0.571,0.767,0.962,1.0",0.113,18,1,90,21
"1935",2240,"ENSMUSG00000031636","Pdlim3","chr8","+",45908468,45908656,45909018,45909086,45900474,45900559,45915128,45915259,2240,"48,23,47,32,30","173,125,117,139,149","54,33,74,57,38","556,280,438,371,340",-2,-2,6.46754814149e-07,1.11774449645e-05,"0.217,0.155,0.287,0.187,0.168","0.089,0.105,0.145,0.133,0.101",0.088,180,703,256,1985
"1942",2250,"ENSMUSG00000041769","Ppp2r2d","chr7","+",138868409,138868507,138870389,138870502,138846594,138846704,138872873,138873051,2250,"34,23,27,25,29","11,13,16,21,16","30,40,37,33,27","40,25,36,53,23",-2,-2,0.00563130399016,0.0288658610676,"0.756,0.639,0.628,0.543,0.644","0.429,0.615,0.507,0.384,0.54",0.147,138,77,167,177
"2038",2365,"ENSMUSG00000021870","Slmap","chr14","-",26442574,26442634,26459409,26459460,26438947,26439028,26459903,26459954,2365,"13,11,7,9,20","28,49,39,46,37","5,3,8,6,4","112,112,104,73,45",-2,-2,5.18650455916e-10,1.81404171367e-08,"0.317,0.183,0.152,0.164,0.351","0.043,0.026,0.071,0.076,0.082",0.174,60,199,26,446
"2059",2390,"ENSMUSG00000049550","Clip1","chr5","-",123635173,123635278,123638955,123638988,123630224,123631169,123640493,123640554,2390,"19,11,12,17,10","0,2,2,0,0","142,66,100,107,103","13,10,15,14,18",-2,-2,3.79251761317e-05,0.00039096199114,"1.0,0.846,0.857,1.0,1.0","0.916,0.868,0.87,0.884,0.851",0.063,69,4,518,70
"2114",2457,"ENSMUSG00000002546","Golga2","chr2","+",32293314,32293395,32296625,32296721,32292092,32292215,32296964,32297008,2457,"30,24,28,21,45","11,6,5,13,10","26,31,25,36,25","42,23,33,26,18",-2,-2,3.97737414881e-06,5.54076049717e-05,"0.732,0.8,0.848,0.618,0.818","0.382,0.574,0.431,0.581,0.581",0.253,148,45,143,142
"2256",2611,"ENSMUSG00000026767","Mindy3","chr2","-",12386608,12386679,12396178,12396258,12364446,12364519,12397492,12397566,2611,"3,8,7,13,7","0,0,0,2,0","23,21,18,28,9","0,4,0,2,4",-2,-2,0.00853702921947,0.0401951792417,"1.0,1.0,1.0,0.867,1.0","1.0,0.84,1.0,0.933,0.692",0.08,38,2,99,10
"2454",2824,"ENSMUSG00000039968","Rsbn1l","chr5","-",20902287,20902455,20905779,20905922,20895590,20896901,20908106,20908244,2824,"9,16,12,12,13","5,2,10,6,4","16,2,13,15,11","9,8,16,22,9",-2,-2,0.00654842891171,0.0323893672434,"0.643,0.889,0.545,0.667,0.765","0.64,0.2,0.448,0.405,0.55",0.253,62,27,57,64
"2455",2825,"ENSMUSG00000039968","Rsbn1l","chr5","-",20919524,20920162,20927619,20927730,20908106,20908244,20951256,20951822,2825,"53,63,74,72,71","6,18,4,11,13","20,17,31,20,11","10,6,21,11,8",-2,-2,3.81630829493e-07,6.89424971622e-06,"0.898,0.778,0.949,0.867,0.845","0.667,0.739,0.596,0.645,0.579",0.222,333,52,99,56
"2460",2831,"ENSMUSG00000035934","Pknox2","chr9","-",36936320,36936492,36954692,36954832,36922342,36923772,36968377,36968486,2831,"5,3,3,7,7","1,7,0,0,1","28,24,25,21,14","22,18,31,23,17",-2,-2,0.00130431158235,0.00833058136727,"0.833,0.3,1.0,1.0,0.875","0.56,0.571,0.446,0.477,0.452",0.3,25,9,112,111
"2501",2882,"ENSMUSG00000028207","Asph","chr4","-",9602468,9602501,9624359,9624401,9601306,9601363,9635900,9635969,2882,"184,182,174,179,189","2,3,3,1,0","236,179,237,191,120","22,16,14,19,2",-2,-2,8.31557045444e-14,7.40337757429e-12,"0.989,0.984,0.983,0.994,1.0","0.915,0.918,0.944,0.91,0.984",0.056,908,9,963,73
"2503",2884,"ENSMUSG00000028207","Asph","chr4","-",9607796,9607871,9624359,9624401,9604515,9604629,9635900,9635969,2884,"184,182,174,179,189","2,2,2,1,4","235,179,238,194,120","21,18,24,21,6",-2,-2,2.22044604925e-16,3.26183524635e-14,"0.989,0.989,0.989,0.994,0.979","0.918,0.909,0.908,0.902,0.952",0.07,908,11,966,90
"2539",2927,"ENSMUSG00000029507","Pus1","chr5","-",110776553,110776607,110777613,110777751,110775535,110775638,110779686,110779897,2927,"16,20,18,46,21","0,1,0,2,0","30,27,32,26,22","5,1,0,7,1",-2,-2,0.000329030630579,0.00264123495257,"1.0,0.952,1.0,0.958,1.0","0.857,0.964,1.0,0.788,0.957",0.069,121,3,137,14
"2574",2967,"ENSMUSG00000031586","Rbpms","chr8","-",33834303,33834454,33862985,33863048,33795081,33795150,33864332,33864371,2967,"16,11,15,16,18","1,2,0,2,2","13,7,19,22,10","1,9,2,4,3",-2,-2,0.00562232011536,0.0288658610676,"0.941,0.846,1.0,0.889,0.9","0.929,0.438,0.905,0.846,0.769",0.138,76,7,71,19
"2588",2982,"ENSMUSG00000043510","Hscb","chr5","-",110830935,110830983,110834654,110834799,110829079,110829211,110835974,110836069,2982,"6,1,1,3,4","15,26,29,35,27","0,0,0,0,1","10,11,32,15,14",-2,-2,1.82231911301e-05,0.000209959747217,"0.286,0.037,0.033,0.079,0.129","0.0,0.0,0.0,0.0,0.067",0.099,15,132,1,82
"2615",3011,"ENSMUSG00000020859","Spag9","chr11","+",94036599,94036670,94043571,94043666,94013622,94013743,94048407,94048558,3011,"9,13,14,7,16","5,1,1,6,2","50,47,96,59,41","85,69,103,58,52",-2,-2,1.3461782693e-06,2.1150116338e-05,"0.643,0.929,0.933,0.538,0.889","0.37,0.405,0.482,0.504,0.441",0.346,59,15,293,367
"2674",3076,"ENSMUSG00000055320","Tead1","chr7","+",112841887,112841950,112842039,112842102,112839415,112839480,112856052,112856064,3076,"3,2,8,3,1","2,5,0,1,0","18,17,39,31,20","39,41,88,44,37",-2,-2,0.00150752253784,0.00950450904758,"0.6,0.286,1.0,0.75,1.0","0.316,0.293,0.307,0.413,0.351",0.391,17,8,125,249
"2676",3078,"ENSMUSG00000055320","Tead1","chr7","+",112842039,112842102,112856052,112856064,112841887,112841950,112856797,112856932,3078,"2,1,1,1,3","4,0,0,0,0","24,19,47,29,20","15,3,13,13,8",-2,-2,0.000968703989539,0.00651270554065,"0.333,1.0,1.0,1.0,1.0","0.615,0.864,0.783,0.69,0.714",0.133,8,4,139,52
"2702",3113,"ENSMUSG00000064080","Fbln2","chr6","+",91263338,91263473,91264698,91264836,91257724,91257826,91265717,91265861,3113,"40,30,41,53,44","19,29,44,29,29","102,44,119,82,63","102,50,131,130,94",-2,-2,0.00171715464193,0.0106885600381,"0.678,0.508,0.482,0.646,0.603","0.5,0.468,0.476,0.387,0.401",0.137,208,150,410,507
"2758",3175,"ENSMUSG00000054237","Fra10ac1","chr19","-",38207262,38207308,38213360,38213445,38204542,38204809,38214373,38214457,3175,"33,37,30,37,26","8,19,13,14,12","23,19,12,16,27","22,15,13,14,18",-2,-2,0.000846241177332,0.0058090106986,"0.805,0.661,0.698,0.725,0.684","0.511,0.559,0.48,0.533,0.6",0.178,163,66,97,82
"2795",3219,"ENSMUSG00000032478","Nme6","chr9","+",109839607,109839710,109841475,109841515,109833195,109833295,109841926,109842087,3219,"3,4,3,7,8","17,16,7,12,14","0,1,4,1,1","15,16,13,12,9",-2,-2,0.000258516105417,0.00215772817533,"0.15,0.2,0.3,0.368,0.364","0.0,0.059,0.235,0.077,0.1",0.182,25,66,7,65
"2805",3230,"ENSMUSG00000032527","Pccb","chr9","-",101023135,101023249,101027079,101027136,101012704,101012815,101030174,101030243,3230,"62,77,86,77,79","33,55,64,52,52","52,53,63,39,45","52,42,86,37,36",-2,-2,0.00788728353577,0.0374656660008,"0.653,0.583,0.573,0.597,0.603","0.5,0.558,0.423,0.513,0.556",0.092,381,256,252,253
"2806",3231,"ENSMUSG00000032527","Pccb","chr9","-",101027079,101027136,101030174,101030243,101023135,101023249,101031855,101031975,3231,"130,142,165,156,164","31,42,37,54,50","80,87,96,56,65","60,36,61,33,30",-2,-2,8.1113395145e-07,1.36960433871e-05,"0.807,0.772,0.817,0.743,0.766","0.571,0.707,0.611,0.629,0.684",0.141,757,214,384,220
"2821",3246,"ENSMUSG00000037286","Stag1","chr9","+",100737977,100738142,100776755,100776832,100712437,100712540,100786491,100786696,3246,"7,4,13,11,6","2,1,1,1,0","13,18,20,24,6","10,9,39,22,18",-2,-2,1.82844739349e-09,5.96886493564e-08,"0.778,0.8,0.929,0.917,1.0","0.565,0.667,0.339,0.522,0.25",0.416,41,5,81,98
"2866",3299,"ENSMUSG00000061462","Obscn","chr11","-",59053573,59053837,59064186,59064450,59051527,59051794,59067065,59067329,3299,"8,4,1,12,3","2,0,0,0,0","114,60,165,101,71","12,9,24,21,14",-2,-2,6.44863380372e-06,8.20176888109e-05,"0.8,1.0,1.0,1.0,1.0","0.905,0.87,0.873,0.828,0.835",0.098,28,2,511,80
"2913",3349,"ENSMUSG00000040940","Arhgef1","chr7","+",24908310,24908424,24912056,24912155,24907853,24907934,24912309,24912352,3349,"27,27,30,29,19","16,17,13,14,17","28,15,51,52,22","47,26,47,60,39",-2,-2,7.01744382781e-05,0.000678199012043,"0.628,0.614,0.698,0.674,0.528","0.373,0.366,0.52,0.464,0.361",0.212,132,77,168,219
"2927",3366,"ENSMUSG00000051586","Mical3","chr6","-",120966053,120966116,120971750,120971840,120962754,120962865,120973402,120973647,3366,"14,3,12,16,15","0,1,2,7,2","11,1,12,14,5","12,6,7,4,6",-2,-2,0.000384690624024,0.00303008325304,"1.0,0.75,0.857,0.696,0.882","0.478,0.143,0.632,0.778,0.455",0.34,60,12,43,35
