"","ID","GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"1431",2875,"ENSMUSG00000004952","Rasa4","chr5","+",136103546,136104006,136103836,136104006,136103279,136103424,2875,"14,2,4,3,2","39,14,32,34,29","0,1,0","28,18,25",-2,-1,3.14936643212e-05,0.00303952782077,"0.152,0.067,0.059,0.042,0.033","0.0,0.027,0.0",0.062,25,148,1,71
"1498",3021,"ENSMUSG00000019487","Trip10","chr17","+",57262353,57262472,57262356,57262472,57261639,57261788,3021,"119,80,118,83,82","155,123,155,105,110","36,55,32","108,93,69",-2,-1,0.000589693369262,0.0225836622769,"0.277,0.245,0.276,0.283,0.272","0.143,0.228,0.188",0.084,482,648,123,270
"1653",3345,"ENSMUSG00000026826","Nr4a2","chr2","-",57108560,57108739,57108560,57108618,57109062,57109265,3345,"3,13,67,3,5","0,2,13,0,0","2,7,9","1,0,0",-2,-1,0.00125799748209,0.0371371340025,"1.0,0.765,0.72,1.0,1.0","0.5,1.0,1.0",0.064,91,15,18,1
"1841",3750,"ENSMUSG00000073139","Tmem185a","chrX","-",70467153,70467361,70467153,70467356,70470117,70470294,3750,"20,22,15,18,9","0,0,1,0,0","23,30,44","3,5,1",-2,-1,2.48043922523e-05,0.00263001184677,"1.0,1.0,0.882,1.0,1.0","0.793,0.75,0.957",0.143,84,1,97,9
"1847",3758,"ENSMUSG00000028108","Ecm1","chr3","-",95737807,95737942,95737807,95737888,95738011,95738116,3758,"17,1,7,6,2","27,65,59,74,28","0,0,1","13,9,11",-2,-1,0.000970293117767,0.0316070194914,"0.239,0.008,0.056,0.039,0.034","0.0,0.0,0.043",0.061,33,253,1,33
"1869",3796,"ENSMUSG00000036748","Cuedc2","chr19","-",46331545,46331673,46331545,46331619,46331756,46331818,3796,"91,103,122,102,74","25,23,26,34,21","56,27,19","29,22,17",-2,-1,1.31297387231e-05,0.00169134907006,"0.645,0.691,0.701,0.6,0.638","0.491,0.38,0.358",0.245,492,129,102,68
"1879",3812,"ENSMUSG00000020886","Dlg4","chr11","+",70030594,70030654,70030603,70030654,70030398,70030452,3812,"14,8,20,6,5","0,1,0,0,0","7,8,7","0,4,2",-2,-1,0.000264125358802,0.0126869706245,"1.0,0.8,1.0,1.0,1.0","1.0,0.5,0.636",0.248,53,1,22,6
"2005",4080,"ENSMUSG00000036570","Fxyd1","chr7","-",31051681,31051815,31051681,31051780,31051932,31051987,4080,"1510,1311,1337,1157,1018","71,89,92,111,91","851,581,556","95,69,88",-2,-1,3.26562249464e-07,0.000102830823887,"0.914,0.88,0.879,0.839,0.848","0.817,0.808,0.76",0.077,6333,454,1988,252
"2119",4314,"ENSMUSG00000025085","Ablim1","chr19","-",57046924,57047071,57046924,57047065,57049461,57049509,4314,"84,88,157,78,74","32,21,53,35,28","9,2,3","15,8,12",-2,-1,4.4985426495e-10,4.24962328956e-07,"0.568,0.677,0.597,0.527,0.569","0.231,0.111,0.111",0.437,481,169,14,35
"2173",4415,"ENSMUSG00000055531","Cpsf6","chr10","-",117355934,117356127,117355934,117356124,117358992,117359146,4415,"17,10,25,12,4","40,30,38,17,25","4,2,0","12,15,15",-2,-1,0.000964580900527,0.0316070194914,"0.175,0.143,0.248,0.261,0.074","0.143,0.063,0.0",0.112,68,150,6,42
"2182",4427,"ENSMUSG00000026790","Odf2","chr2","+",29912565,29912640,29912568,29912640,29903975,29904107,4427,"8,0,9,5,4","22,22,29,16,19","0,0,0","5,6,6",-2,-1,5.29119429367e-05,0.00428435560807,"0.154,0.0,0.134,0.135,0.095","0.0,0.0,0.0",0.104,26,108,0,17
"2261",4601,"ENSMUSG00000023150","Ivns1abp","chr1","+",151355166,151356236,151356128,151356236,151354633,151354759,4601,"56,28,93,32,59","158,140,202,120,104","7,8,3","80,110,104",-2,-1,7.77156117238e-16,1.10123021813e-12,"0.151,0.091,0.187,0.118,0.221","0.042,0.035,0.014",0.123,268,724,18,294
"2358",4842,"ENSMUSG00000026766","Mmadhc","chr2","-",50292808,50292913,50292808,50292898,50296251,50296309,4842,"8,12,21,10,6","3,5,2,7,3","4,5,10","4,10,13",-2,-1,0.00101243216517,0.0322385702932,"0.571,0.545,0.84,0.417,0.5","0.333,0.2,0.278",0.304,57,20,19,27
"2359",4843,"ENSMUSG00000026766","Mmadhc","chr2","-",50292808,50292953,50292808,50292898,50296251,50296309,4843,"107,157,181,124,87","3,5,2,7,3","74,120,127","4,10,13",-2,-1,0.000524377729147,0.0206400900611,"0.947,0.94,0.978,0.899,0.935","0.902,0.857,0.83",0.077,656,20,321,27
"2606",5366,"ENSMUSG00000023051","Tarbp2","chr15","+",102521120,102521213,102521137,102521213,102520474,102520577,5366,"65,53,58,37,48","3,0,4,1,9","32,24,11","5,8,8",-2,-1,0.000112388838489,0.00707799929506,"0.915,1.0,0.879,0.949,0.727","0.762,0.6,0.407",0.304,261,17,67,21
"2615",5383,"ENSMUSG00000032336","Nptn","chr9","+",58650496,58650518,58650508,58650518,58643528,58643802,5383,"54,56,112,90,34","38,21,42,43,18","18,23,15","51,55,42",-2,-1,0,0,"0.415,0.571,0.571,0.511,0.486","0.15,0.173,0.152",0.352,346,162,56,148
"2662",5500,"ENSMUSG00000001870","Ltbp1","chr17","+",75276395,75276623,75276554,75276623,75273866,75274034,5500,"4,4,21,24,11","4,4,18,6,4","0,0,1","2,1,0",-2,-1,0.000429253433427,0.0182649950876,"0.333,0.333,0.368,0.667,0.579","0.0,0.0,1.0",0.123,64,36,1,3
"2832",5790,"ENSMUSG00000022792","Yars2","chr16","+",16306462,16306618,16306497,16306618,16304535,16304703,5790,"30,48,35,45,40","5,2,2,5,5","32,16,20","6,8,7",-2,-1,0.00130383197143,0.0380934000725,"0.75,0.923,0.897,0.818,0.8","0.727,0.5,0.588",0.233,198,19,68,21
