"","ID","GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference","IJC_total_S1","SJC_total_S1","IJC_total_S2","SJC_total_S2"
"918",1806,"ENSMUSG00000029802","Abcg2","chr6","+",58689538,58689644,58689554,58689644,58685666,58685821,1806,"16,7,10,13,9","46,40,52,43,40","2,1,2,5,2","57,40,41,58,27",-2,-1,1.89453158717e-08,6.14249241262e-06,"0.148,0.08,0.088,0.131,0.101","0.017,0.012,0.024,0.041,0.036",0.084,55,221,12,223
"927",1826,"ENSMUSG00000040118","Cacna2d1","chr5","+",16326311,16326383,16326326,16326383,16320083,16320158,1826,"4,4,8,5,3","0,0,0,0,0","77,37,84,62,55","1,4,5,10,2",-2,-1,8.8492281769e-07,0.000143455821223,"1.0,1.0,1.0,1.0,1.0","0.975,0.822,0.894,0.756,0.932",0.124,24,0,315,22
"971",1941,"ENSMUSG00000040113","Mettl11b","chr1","-",163704002,163704252,163704002,163704163,163717082,163717258,1941,"6,9,3,6,7","0,0,0,1,0","10,10,45,22,26","0,0,1,7,7",-2,-1,2.62390104666e-06,0.000332893184963,"1.0,1.0,1.0,0.75,1.0","1.0,1.0,0.957,0.611,0.65",0.106,31,1,113,15
"1195",2399,"ENSMUSG00000024050","Wiz","chr17","-",32357456,32357984,32357456,32357981,32358942,32359494,2399,"13,13,9,7,8","0,0,0,0,3","34,11,31,20,25","3,0,5,5,0",-2,-1,0.000328117606515,0.0132978774418,"1.0,1.0,1.0,1.0,0.571","0.85,1.0,0.756,0.667,1.0",0.06,50,3,121,13
"1397",2800,"ENSMUSG00000041341","Atg2b","chr12","-",105636446,105636555,105636446,105636552,105637910,105638137,2800,"1,1,2,3,4","0,1,0,0,0","24,6,31,8,16","2,6,5,1,1",-2,-1,5.87877395253e-06,0.000579546966026,"1.0,0.333,1.0,1.0,1.0","0.857,0.333,0.756,0.8,0.889",0.14,11,1,85,15
"1401",2804,"ENSMUSG00000054263","Lifr","chr15","+",7185066,7185733,7185565,7185733,7184716,7184818,2804,"5,6,8,5,6","0,0,4,3,7","6,1,11,1,5","24,8,21,25,20",-2,-1,5.95833069938e-06,0.000579546966026,"1.0,1.0,0.5,0.455,0.3","0.111,0.059,0.208,0.02,0.111",0.549,30,14,24,98
"1422",2862,"ENSMUSG00000022827","Rabl3","chr16","+",37563615,37563766,37563668,37563766,37559994,37560109,2862,"2,2,4,1,6","0,0,0,1,0","11,18,17,13,11","1,0,4,5,1",-2,-1,7.00026389789e-05,0.0040052490302,"1.0,1.0,1.0,0.333,1.0","0.846,1.0,0.68,0.565,0.846",0.079,15,1,70,11
"1580",3184,"ENSMUSG00000028152","Tspan5","chr3","+",138896788,138896914,138896852,138896914,138894347,138894518,3184,"2,1,2,5,5","0,0,0,0,0","17,14,18,10,6","4,0,6,0,0",-2,-1,0.000164043375856,0.00784718968439,"1.0,1.0,1.0,1.0,1.0","0.68,1.0,0.6,1.0,1.0",0.144,15,0,65,10
"1595",3216,"ENSMUSG00000026608","Kctd3","chr1","-",188974065,188974204,188974065,188974198,188974286,188974471,3216,"13,13,6,9,8","1,1,0,0,0","21,13,15,16,9","3,3,1,3,0",-2,-1,0.000121136791283,0.00631209208864,"0.867,0.867,1.0,1.0,1.0","0.778,0.684,0.882,0.727,1.0",0.133,49,2,74,10
"1730",3486,"ENSMUSG00000039988","Ankrd13c","chr3","+",157972999,157975294,157975227,157975294,157972231,157972317,3486,"3,3,12,10,8","0,0,0,0,1","11,17,21,12,18","5,0,4,2,3",-2,-1,9.05854909972e-08,2.20273718942e-05,"1.0,1.0,1.0,1.0,0.8","0.524,1.0,0.724,0.75,0.75",0.21,36,1,79,14
"1928",3860,"ENSMUSG00000000131","Xpo6","chr7","-",126129547,126129640,126129547,126129637,126131025,126131134,3860,"36,24,23,16,18","1,2,1,2,0","41,10,54,19,20","9,2,3,6,2",-2,-1,0.000564069646024,0.0207563116007,"0.947,0.857,0.92,0.8,1.0","0.695,0.714,0.9,0.613,0.833",0.154,117,6,144,22
"1955",3926,"ENSMUSG00000002983","Relb","chr7","-",19611816,19611925,19611816,19611885,19612504,19612720,3926,"3,5,0,2,5","21,19,22,23,21","1,0,0,0,0","23,9,26,24,18",-2,-1,0.000216963304788,0.00931027828487,"0.067,0.116,0.0,0.042,0.106","0.021,0.0,0.0,0.0,0.0",0.062,15,106,1,100
"1959",3934,"ENSMUSG00000022098","Bmp1","chr14","-",70486146,70486930,70486146,70486272,70490019,70490200,3934,"22,32,39,46,30","5,8,10,7,6","20,16,40,27,12","15,4,33,29,21",-2,-1,5.51562638063e-06,0.000574807063524,"0.688,0.667,0.661,0.767,0.714","0.4,0.667,0.377,0.318,0.222",0.303,169,36,115,102
"2050",4112,"ENSMUSG00000014668","Chfr","chr5","+",110140353,110140453,110140375,110140453,110136050,110136194,4112,"9,2,5,2,4","0,0,0,0,0","3,19,17,13,7","0,2,1,9,1",-2,-1,6.58723692926e-07,0.000120134733497,"1.0,1.0,1.0,1.0,1.0","1.0,0.826,0.895,0.419,0.778",0.216,22,0,59,13
"2103",4228,"ENSMUSG00000023904","Hcfc1r1","chr17","+",23674534,23674675,23674546,23674675,23673968,23674068,4228,"246,119,127,251,1","1,175,178,2,449","90,0,0,63,0","149,399,227,108,209",-2,-1,1.41204451354e-07,3.16949683885e-05,"0.992,0.254,0.263,0.984,0.001","0.232,0.0,0.0,0.226,0.0",0.407,744,805,153,1092
"2136",4288,"ENSMUSG00000039242","B3galnt2","chr13","+",13991368,13991552,13991409,13991552,13990788,13990867,4288,"4,11,5,8,5","0,0,0,0,0","32,26,40,26,27","6,2,2,1,1",-2,-1,2.15197943784e-05,0.00166242370879,"1.0,1.0,1.0,1.0,1.0","0.727,0.867,0.909,0.929,0.931",0.127,33,0,151,12
"2195",4392,"ENSMUSG00000024283","Wac","chr18","+",7917552,7917675,7917561,7917675,7916051,7916297,4392,"13,12,13,11,7","0,0,0,0,0","56,43,57,55,46","1,1,1,8,5",-2,-1,4.87478396827e-06,0.000526837763682,"1.0,1.0,1.0,1.0,1.0","0.966,0.956,0.966,0.775,0.821",0.103,56,0,257,16
"2258",4501,"ENSMUSG00000008305","Tle1","chr4","-",72138491,72138688,72138491,72138685,72139688,72139833,4501,"2,10,6,9,1","0,0,0,0,0","27,15,37,21,23","3,6,4,3,1",-2,-1,7.57788454209e-09,3.15889529912e-06,"1.0,1.0,1.0,1.0,1.0","0.818,0.556,0.822,0.778,0.92",0.221,28,0,123,17
"2371",4755,"ENSMUSG00000023088","Abcc1","chr16","+",14458996,14459129,14459023,14459129,14457887,14457969,4755,"6,9,2,4,7","0,0,2,0,0","34,24,31,34,22","6,0,8,9,1",-2,-1,4.72284532017e-05,0.00313210514642,"1.0,1.0,0.333,1.0,1.0","0.739,1.0,0.66,0.654,0.917",0.073,28,2,145,24
"2393",4796,"ENSMUSG00000032633","Flcn","chr11","-",59795140,59795575,59795140,59795264,59795749,59795863,4796,"20,26,10,7,1","20,8,20,16,4","21,7,0,22,0","28,55,103,12,59",-2,-1,0.000734472915225,0.0254938983937,"0.333,0.619,0.2,0.179,0.111","0.273,0.06,0.0,0.478,0.0",0.126,64,68,50,257
"2448",4950,"ENSMUSG00000021156","Zmynd11","chr13","-",9695128,9695184,9695128,9695181,9695738,9695826,4950,"21,18,9,19,7","0,0,0,0,0","73,40,74,80,60","6,2,0,2,2",-2,-1,0.00148770825566,0.0443205150279,"1.0,1.0,1.0,1.0,1.0","0.859,0.909,1.0,0.952,0.938",0.068,74,0,327,12
"2516",5100,"ENSMUSG00000005506","Celf1","chr2","+",91006619,91006695,91006631,91006695,91004700,91004862,5100,"13,6,4,8,1","0,0,0,0,0","39,23,44,42,33","4,4,6,2,4",-2,-1,2.76110690978e-08,8.05690996274e-06,"1.0,1.0,1.0,1.0,1.0","0.83,0.742,0.786,0.913,0.805",0.185,32,0,181,20
"2649",5363,"ENSMUSG00000039239","Tgfb2","chr1","-",186630609,186630787,186630609,186630672,186632457,186632568,5363,"10,5,6,8,9","0,0,1,0,1","19,16,28,13,8","2,1,3,3,0",-2,-1,0.00108760832305,0.0341791664652,"1.0,1.0,0.75,1.0,0.818","0.826,0.889,0.824,0.684,1.0",0.069,38,2,84,9
"2678",5415,"ENSMUSG00000031626","Sorbs2","chr8","+",45823728,45823835,45823758,45823835,45819718,45819768,5415,"4,4,15,3,6","0,1,0,2,0","8,8,25,19,10","2,1,2,6,5",-2,-1,0.000142161338231,0.00703096245692,"1.0,0.667,1.0,0.429,1.0","0.667,0.8,0.862,0.613,0.5",0.131,32,3,70,16
"2707",5465,"ENSMUSG00000031826","Usp10","chr8","+",119941109,119942138,119941112,119942138,119936530,119936588,5465,"4,2,4,1,1","1,1,1,0,0","9,15,11,10,10","6,6,11,4,2",-2,-1,6.01424585418e-05,0.00365616029219,"0.667,0.5,0.667,1.0,1.0","0.429,0.556,0.333,0.556,0.714",0.249,12,3,55,29
"2863",5755,"ENSMUSG00000021111","Papola","chr12","+",105828280,105828381,105828283,105828381,105826943,105827086,5755,"8,6,6,11,12","0,0,0,1,0","20,29,43,23,24","3,4,0,4,3",-2,-1,7.45714484718e-07,0.000127999698024,"1.0,1.0,1.0,0.846,1.0","0.769,0.784,1.0,0.742,0.8",0.15,43,1,139,14
