ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
48	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100821118	100821206	100826451	100826518
49	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100821118	100821206	100828899	100829022
50	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100826451	100826518	100821118	100821206	100828899	100829022
51	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100826451	100826518	100824915	100825001	100828899	100829022
52	"ENSMUSG00000026147"	"Col9a1"	chr1	+	24232184	24232229	24231450	24231486	24233570	24233603
59	"ENSMUSG00000047714"	"Ppp1r2"	chr16	-	31258336	31258504	31251536	31254733	31260573	31260668
61	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121566274	121566346	121560385	121560462	121578457	121578747
62	"ENSMUSG00000022247"	"Brix1"	chr15	-	10478892	10478943	10478668	10478770	10479072	10479146
63	"ENSMUSG00000022247"	"Brix1"	chr15	-	10485354	10485416	10483294	10483362	10485734	10485887
66	"ENSMUSG00000018697"	"Aatf"	chr11	-	84511482	84511578	84510198	84510417	84512140	84512329
67	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518229	43518299	43514710	43516003	43518401	43518464
68	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43518464	43514710	43516003	43519226	43519297
69	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519002	43519078
70	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43518401	43518464	43519226	43519297
71	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43519002	43519078	43518401	43518464	43519226	43519297
83	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72306563	72306652	72304665	72304861	72308606	72308749
84	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72308606	72308924	72303326	72303462	72311955	72312081
85	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711843	120711895	120711702	120711756	120713692	120713738
92	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56701448	56701541	56701022	56701088	56702762	56702890
94	"ENSMUSG00000033707"	"Lrrc24"	chr15	-	76718221	76718500	76717922	76718091	76719795	76719924
95	"ENSMUSG00000033707"	"Lrrc24"	chr15	-	76718651	76718899	76718221	76718500	76719795	76719924
96	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36810471	36810608	36808014	36808160	36874627	36874811
97	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36824657	36824752	36810471	36810608	36874627	36874811
107	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144918650	144918794	144923905	144924031
109	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144918650	144918794	144923905	144924031
110	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144918650	144918794	144923905	144924031
111	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144919229	144919504	144923905	144924031
112	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144923905	144924031	144919840	144920079	144927134	144927639
117	"ENSMUSG00000057841"	"Rpl32"	chr6	-	115806985	115807167	115805504	115805688	115807801	115807902
119	"ENSMUSG00000035305"	"Ror1"	chr4	+	100302879	100302951	100095790	100096309	100333610	100333898
121	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38369483	38369592	38362208	38363147	38373818	38374194
122	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374236	38369483	38369592	38377654	38378216
123	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374377	38369425	38369592	38377654	38377763
124	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	139997971	139998100	139996781	139996945	139998768	139998912
125	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	140029826	140029986	140007886	140008094	140031010	140031187
128	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	26024374	26024466	26015943	26016155	26036588	26036682
129	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	26036588	26036682	26015943	26016155	26067581	26069235
130	"ENSMUSG00000057181"	"5730455P16Rik"	chr11	-	80375506	80375632	80374073	80374217	80376802	80376883
135	"ENSMUSG00000002416"	"Ndufb2"	chr6	+	39598265	39598361	39596450	39596595	39599391	39599422
136	"ENSMUSG00000002416"	"Ndufb2"	chr6	+	39598265	39598365	39596450	39596595	39599391	39599471
137	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64742954	64743098	64739674	64740974	64749694	64749823
138	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64749031	64749172	64739847	64743098	64749694	64749823
139	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64749694	64749823	64739674	64740974	64751728	64751830
140	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64749694	64749823	64749031	64749172	64751728	64751830
144	"ENSMUSG00000033209"	"Ttc28"	chr5	+	110892831	110893110	110879802	110879988	111085021	111085169
146	"ENSMUSG00000033209"	"Ttc28"	chr5	+	111281879	111281903	111280674	111280751	111282770	111282900
147	"ENSMUSG00000059743"	"Fdps"	chr3	-	89095353	89095476	89095013	89095102	89095598	89095679
148	"ENSMUSG00000059743"	"Fdps"	chr3	-	89099299	89099440	89095598	89095679	89100668	89100831
149	"ENSMUSG00000059743"	"Fdps"	chr3	-	89100920	89101136	89100668	89100831	89101861	89101888
151	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124873332	124873479	124870775	124870958	124874218	124874348
152	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124873332	124873509	124870775	124870958	124874218	124874348
153	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124883355	124883598	124880128	124880352	124884964	124885044
155	"ENSMUSG00000018166"	"Erbb3"	chr10	-	128583116	128583258	128581989	128582103	128583365	128583484
159	"ENSMUSG00000036879"	"Phkb"	chr8	+	85896668	85896757	85896429	85896537	85901876	85901957
160	"ENSMUSG00000036879"	"Phkb"	chr8	+	85922126	85922242	85901876	85901957	85935407	85935471
161	"ENSMUSG00000036879"	"Phkb"	chr8	+	85935407	85935471	85901876	85901957	85940840	85940936
162	"ENSMUSG00000036879"	"Phkb"	chr8	+	85935407	85935471	85901876	85901957	85946051	85946109
163	"ENSMUSG00000036879"	"Phkb"	chr8	+	86017391	86017496	86016858	86016942	86018468	86018551
164	"ENSMUSG00000036879"	"Phkb"	chr8	+	86019035	86019126	86018468	86018551	86021542	86021705
165	"ENSMUSG00000036879"	"Phkb"	chr8	+	86021384	86021446	86019035	86019126	86021542	86021705
166	"ENSMUSG00000036879"	"Phkb"	chr8	+	86049689	86049819	86043709	86043844	86056447	86056555
167	"ENSMUSG00000023143"	"Nagpa"	chr16	-	5197554	5197618	5195386	5195971	5197711	5197765
168	"ENSMUSG00000023143"	"Nagpa"	chr16	-	5199615	5199744	5198730	5198936	5199942	5200051
169	"ENSMUSG00000023143"	"Nagpa"	chr16	-	5199942	5200051	5199615	5199744	5201373	5201513
171	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100591411	100591565	100590886	100591051	100596165	100596240
172	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100592854	100592973	100591411	100591565	100596165	100596240
174	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100598614	100598728	100596165	100596240	100599184	100599309
180	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50143718	50143784	50110382	50110454	50145773	50145892
181	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50145773	50145892	50110277	50110464	50158681	50158834
182	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50145773	50145892	50110382	50110454	50158681	50158834
183	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50151938	50152023	50145773	50145892	50158681	50158834
184	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50158681	50158834	50110240	50110464	50162585	50162735
186	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50194525	50194728	50183709	50183871	50196513	50196558
189	"ENSMUSG00000021277"	"Traf3"	chr12	+	111239028	111239080	111237561	111237820	111242442	111242547
193	"ENSMUSG00000065999"	"Zfp985"	chr4	+	147562914	147562958	147562441	147562521	147577071	147577129
196	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428544	89428133	89428229	89428713	89428827
197	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428578	89428133	89428229	89428713	89428827
199	"ENSMUSG00000029484"	"Anxa3"	chr5	+	96811049	96811137	96797400	96797453	96812841	96812936
200	"ENSMUSG00000056342"	"Usp34"	chr11	+	23333438	23333859	23320660	23320748	23343319	23343370
201	"ENSMUSG00000056342"	"Usp34"	chr11	+	23362576	23362612	23361586	23361716	23363057	23363188
202	"ENSMUSG00000056342"	"Usp34"	chr11	+	23382553	23382667	23381224	23381379	23384400	23384500
203	"ENSMUSG00000056342"	"Usp34"	chr11	+	23420039	23420144	23418978	23419131	23421097	23421153
204	"ENSMUSG00000056342"	"Usp34"	chr11	+	23421097	23421153	23420039	23420144	23421245	23421366
206	"ENSMUSG00000056342"	"Usp34"	chr11	+	23474265	23474389	23473169	23473294	23484101	23484181
207	"ENSMUSG00000056342"	"Usp34"	chr11	+	23486817	23486958	23484101	23484181	23487078	23487222
208	"ENSMUSG00000033938"	"Ndufb7"	chr8	+	83570829	83570998	83566670	83566930	83571432	83571626
210	"ENSMUSG00000027843"	"Ptpn22"	chr3	+	103902113	103902191	103890255	103890283	103903369	103903385
211	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119341824	119341918	119341293	119341685	119342722	119342752
212	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119344508	119344172	119344252	119346469	119346568
217	"ENSMUSG00000027665"	"Pik3ca"	chr3	+	32443578	32443731	32442725	32442831	32443814	32443949
218	"ENSMUSG00000027665"	"Pik3ca"	chr3	+	32456092	32456171	32454378	32454500	32459861	32460032
219	"ENSMUSG00000027665"	"Pik3ca"	chr3	+	32461479	32461597	32459861	32460032	32461696	32461848
223	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98099982	98100109	98098419	98098494	98101700	98101796
224	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98109493	98109562	98101700	98101796	98110934	98111029
230	"ENSMUSG00000021113"	"Snapc1"	chr12	+	73969526	73969631	73968238	73968379	73970180	73970339
231	"ENSMUSG00000021113"	"Snapc1"	chr12	+	73975010	73975161	73972536	73972599	73982477	73982579
249	"ENSMUSG00000048490"	"Nrip1"	chr16	-	76352471	76352549	76294726	76295015	76372871	76373040
250	"ENSMUSG00000038914"	"Dido1"	chr2	-	180672282	180672418	180671391	180671914	180673230	180673335
251	"ENSMUSG00000038914"	"Dido1"	chr2	-	180674690	180674850	180673474	180673591	180674967	180675427
255	"ENSMUSG00000022195"	"6030458C11Rik"	chr15	-	12811932	12812072	12808176	12810844	12814190	12814257
259	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70220016	70220046	70217864	70218277	70224309	70224407
260	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70220016	70220046	70217864	70218277	70235139	70235208
262	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70235139	70235208	70224966	70225048	70236477	70236603
263	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70247573	70247719	70245852	70245992	70266629	70266754
264	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70247573	70247719	70266629	70266754
265	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70256359	70256471	70247573	70247719	70267308	70267506
266	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70266629	70266754	70247573	70247719	70267308	70267506
267	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70266629	70266754	70256359	70256471	70267308	70267506
268	"ENSMUSG00000020841"	"Cpd"	chr11	-	76786270	76786402	76785018	76785204	76790826	76790891
270	"ENSMUSG00000070564"	"Ntn5"	chr7	+	45692340	45692421	45691883	45691937	45693995	45694553
273	"ENSMUSG00000066537"	"Vmn2r57"	chr7	-	41410854	41410978	41395944	41400663	41424977	41425101
274	"ENSMUSG00000090145"	"Ugt1a6b"	chr1	+	88215794	88215882	88215043	88215175	88216137	88216357
275	"ENSMUSG00000034187"	"Nsf"	chr11	-	103913315	103913391	103909425	103910598	103913800	103913908
280	"ENSMUSG00000026839"	"Upp2"	chr2	+	58617633	58617728	58567386	58567528	58624592	58624605
284	"ENSMUSG00000030347"	"D6Wsu163e"	chr6	+	126966879	126967082	126961965	126962040	126973555	126973613
285	"ENSMUSG00000030347"	"D6Wsu163e"	chr6	+	126973555	126973613	126966879	126967082	126974486	126974554
292	"ENSMUSG00000000399"	"Ndufa9"	chr6	-	126827539	126827635	126824935	126825002	126832471	126832548
293	"ENSMUSG00000000399"	"Ndufa9"	chr6	-	126834428	126834496	126832471	126832548	126840497	126840639
294	"ENSMUSG00000000399"	"Ndufa9"	chr6	-	126836218	126836321	126834428	126834496	126840497	126840639
298	"ENSMUSG00000057469"	"E2f6"	chr12	+	16824569	16824717	16822092	16822207	16825364	16826429
304	"ENSMUSG00000027610"	"Gss"	chr2	-	155566802	155566884	155564759	155564949	155567692	155567887
307	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23110723	23109984	23110343	23111502	23111558
308	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110233	23110343	23111502	23111592
309	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111263	23110579	23110723	23111502	23111558
310	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111502	23111592	23110579	23111263	23111816	23111896
311	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23112350	23112457	23111816	23111896	23113166	23113184
320	"ENSMUSG00000041890"	"Git2"	chr5	-	114764586	114764673	114764346	114764477	114766451	114766523
321	"ENSMUSG00000041890"	"Git2"	chr5	-	114767095	114767208	114765674	114766557	114773313	114773434
322	"ENSMUSG00000041890"	"Git2"	chr5	-	114769616	114769750	114767095	114767208	114773313	114773434
324	"ENSMUSG00000024789"	"Jak2"	chr19	+	29275001	29275119	29271350	29271474	29276749	29276895
325	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29287900	29288087	29291166	29291301
326	"ENSMUSG00000024789"	"Jak2"	chr19	+	29288673	29288801	29287900	29288087	29294855	29294943
327	"ENSMUSG00000024789"	"Jak2"	chr19	+	29291166	29291301	29287900	29288087	29294855	29294943
328	"ENSMUSG00000024789"	"Jak2"	chr19	+	29291166	29291301	29288673	29288801	29294855	29294943
329	"ENSMUSG00000024789"	"Jak2"	chr19	+	29294855	29294943	29287900	29288087	29295641	29295691
331	"ENSMUSG00000041187"	"Prkd2"	chr7	+	16848724	16848879	16847600	16847732	16848980	16849206
332	"ENSMUSG00000041187"	"Prkd2"	chr7	+	16863940	16864039	16858378	16858540	16869487	16869573
333	"ENSMUSG00000041187"	"Prkd2"	chr7	+	16865686	16865954	16863346	16864039	16869487	16869573
335	"ENSMUSG00000026495"	"Efcab2"	chr1	+	178455815	178455888	178437401	178437486	178474881	178474961
336	"ENSMUSG00000026495"	"Efcab2"	chr1	+	178474881	178474961	178455815	178455888	178475684	178475727
341	"ENSMUSG00000116048"	"Sept2"	chr1	+	93501506	93501652	93500457	93500559	93503434	93503518
342	"ENSMUSG00000002688"	"Prkd1"	chr12	-	50366301	50366463	50365613	50365712	50383399	50383506
343	"ENSMUSG00000002688"	"Prkd1"	chr12	-	50419852	50419876	50394829	50395040	50425438	50425599
347	"ENSMUSG00000032883"	"Acsl3"	chr1	+	78696080	78696204	78694195	78694346	78696428	78696500
348	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44161809	44161953	44160976	44161037	44163876	44164084
349	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44163876	44164084	44161809	44161953	44166808	44166998
350	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44174161	44174375	44173337	44174031	44175838	44175983
352	"ENSMUSG00000112505"	"Gm48610"	chr12	-	4573149	4573229	4572400	4572620	4576657	4576756
353	"ENSMUSG00000038543"	"BC028528"	chr3	-	95884969	95885068	95883957	95884237	95888140	95888296
354	"ENSMUSG00000038543"	"BC028528"	chr3	-	95884969	95885071	95883953	95884237	95888140	95888296
358	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103814824	103815321	103818803	103818907
359	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103817759	103817843	103814824	103815321	103820253	103820461
360	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103818803	103818907	103814824	103815321	103820253	103820461
361	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103818803	103818907	103817759	103817843	103820253	103820461
362	"ENSMUSG00000030711"	"Sult1a1"	chr7	-	126675227	126675353	126675048	126675146	126675443	126675583
365	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83729056	83729134	83728280	83728440	83729256	83729303
367	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83730110	83730257	83729381	83729525	83734008	83734125
369	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83733413	83733566	83729381	83729525	83734008	83734125
370	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83733413	83733566	83730110	83730257	83734008	83734125
371	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734008	83734125	83729381	83729525	83734295	83734352
372	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734008	83734125	83730110	83730257	83741106	83741169
373	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734295	83734352	83734008	83734125	83741106	83741169
374	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734295	83734410	83734008	83734125	83741106	83741183
375	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734301	83734352	83734008	83734125	83741106	83741326
378	"ENSMUSG00000116378"	"Gcat"	chr15	+	79034959	79035061	79033930	79034061	79035256	79035403
380	"ENSMUSG00000009035"	"Tmem184b"	chr15	-	79365786	79365956	79365284	79365479	79366586	79366678
381	"ENSMUSG00000024352"	"Spata24"	chr18	-	35660791	35660857	35660443	35660574	35662011	35662122
383	"ENSMUSG00000109061"	"Gm49320"	chr8	+	4240687	4240735	4238864	4239033	4243303	4243445
384	"ENSMUSG00000109061"	"Gm49320"	chr8	+	4244860	4245003	4244694	4244775	4245542	4245588
386	"ENSMUSG00000034216"	"Vps18"	chr2	+	119290120	119290294	119288786	119289130	119292697	119292789
387	"ENSMUSG00000034216"	"Vps18"	chr2	+	119290152	119290294	119288739	119289130	119292697	119292789
388	"ENSMUSG00000052395"	"Rft1"	chr14	+	30658308	30658394	30654359	30654475	30660196	30660313
390	"ENSMUSG00000052395"	"Rft1"	chr14	+	30666678	30666816	30663077	30663179	30674169	30674248
393	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107750007	107750092	107749707	107749799	107751718	107751791
394	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107750462	107750548	107749707	107749799	107751718	107751791
395	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107750462	107750548	107750007	107750092	107751718	107751791
398	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107760321	107760391	107756908	107756992	107765494	107765646
399	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107767542	107767708	107765090	107765650	107769560	107769626
401	"ENSMUSG00000027637"	"Rab5if"	chr2	+	156872337	156872467	156865256	156865360	156873042	156873398
402	"ENSMUSG00000028800"	"Hdac1"	chr4	-	129522362	129522504	129521417	129521510	129522962	129523101
405	"ENSMUSG00000011877"	"Git1"	chr11	+	77500646	77500741	77500347	77500565	77501071	77501114
406	"ENSMUSG00000011877"	"Git1"	chr11	+	77502828	77502855	77500987	77501114	77503017	77503066
408	"ENSMUSG00000022965"	"Ifngr2"	chr16	+	91557884	91558078	91554947	91555080	91559976	91560125
409	"ENSMUSG00000022965"	"Ifngr2"	chr16	+	91560544	91560704	91559976	91560125	91561619	91561777
417	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26376154	26376233	26375607	26375689	26376599	26376725
419	"ENSMUSG00000025129"	"Ppp1r27"	chr11	-	120550611	120550762	120549978	120550329	120550863	120551132
420	"ENSMUSG00000070034"	"Sp110"	chr1	-	85579056	85579199	85576898	85577345	85579643	85579745
424	"ENSMUSG00000086247"	"Gm15787"	chr5	-	110170262	110170347	110167507	110168484	110176316	110176504
425	"ENSMUSG00000086247"	"Gm15787"	chr5	-	110173279	110173424	110168194	110168484	110176316	110176466
426	"ENSMUSG00000041303"	"Gtf3c3"	chr1	-	54404979	54405170	54403510	54403635	54405836	54406074
427	"ENSMUSG00000001604"	"Tcea3"	chr4	+	136257923	136257986	136255149	136255288	136264446	136264484
428	"ENSMUSG00000001604"	"Tcea3"	chr4	+	136273643	136273715	136271232	136271379	136274779	136274898
429	"ENSMUSG00000030562"	"Nox4"	chr7	+	87323932	87323995	87323632	87323797	87338956	87339017
431	"ENSMUSG00000030562"	"Nox4"	chr7	+	87331695	87331742	87327130	87327200	87338956	87339017
432	"ENSMUSG00000020650"	"Bcap29"	chr12	-	31624114	31624250	31617074	31617180	31626725	31626876
435	"ENSMUSG00000020349"	"Ppp2ca"	chr11	+	52113119	52113329	52098680	52099150	52117986	52118160
436	"ENSMUSG00000020349"	"Ppp2ca"	chr11	+	52113119	52113329	52098680	52099150	52120932	52121051
438	"ENSMUSG00000059486"	"Kbtbd2"	chr6	-	56789218	56789700	56781800	56781966	56797482	56797813
461	"ENSMUSG00000042082"	"Arsb"	chr13	+	93862086	93862330	93807495	93807703	93880487	93880558
462	"ENSMUSG00000042082"	"Arsb"	chr13	+	93880487	93880558	93807495	93807703	93939226	93939349
463	"ENSMUSG00000056738"	"A730036I17Rik"	chr2	+	129231808	129233785	129225720	129225895	129234944	129235604
465	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25463328	25463900	25471797	25472073
468	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25471797	25472073	25464848	25466437	25476343	25476703
469	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25473797	25474052	25471375	25472073	25474519	25474804
477	"ENSMUSG00000026648"	"Dclre1c"	chr2	+	3436437	3436493	3433746	3433806	3437001	3437090
482	"ENSMUSG00000097572"	"Gm26797"	chr9	-	122307403	122307444	122304827	122304893	122307956	122307999
486	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519917	109519993	109519584	109519648	109520467	109520597
487	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109520467	109520642	109519584	109519993	109521600	109521766
499	"ENSMUSG00000069385"	"Gm10267"	chr18	-	44158303	44158341	44157226	44157339	44159242	44159325
500	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89295132	89295312	89294402	89294504	89295394	89295576
501	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89295951	89296029	89295394	89295576	89299482	89299620
502	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89303809	89303959	89303472	89303541	89304684	89304797
504	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89308484	89308570	89308021	89308159	89315061	89315255
507	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98119392	98119470	98118181	98118255	98120790	98120906
508	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98122218	98122263	98121196	98121362	98122629	98122738
509	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98125549	98125613	98125025	98125090	98126303	98126453
510	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98126303	98126453	98125549	98125613	98126852	98126923
511	"ENSMUSG00000033065"	"Pfkm"	chr15	+	98131418	98131518	98129721	98129833	98131601	98131707
514	"ENSMUSG00000027206"	"Cops2"	chr2	-	125836141	125836239	125834753	125834836	125839148	125839201
515	"ENSMUSG00000027206"	"Cops2"	chr2	-	125842621	125842711	125842432	125842510	125844809	125844935
516	"ENSMUSG00000027206"	"Cops2"	chr2	-	125842621	125842732	125842432	125842510	125844809	125844935
524	"ENSMUSG00000021504"	"B4galt7"	chr13	+	55604019	55604382	55599895	55600192	55607196	55607422
525	"ENSMUSG00000021504"	"B4galt7"	chr13	+	55604119	55604382	55600064	55600192	55607196	55607422
526	"ENSMUSG00000021504"	"B4galt7"	chr13	+	55608341	55608425	55607196	55607422	55608697	55608802
529	"ENSMUSG00000109473"	"B930025P03Rik"	chr8	-	10876196	10876279	10874362	10874450	10879002	10879087
534	"ENSMUSG00000037519"	"Ppfia1"	chr7	-	144515985	144516120	144514440	144514524	144517599	144517746
535	"ENSMUSG00000022020"	"Naa16"	chr14	-	79344894	79345108	79343125	79343319	79351372	79351501
537	"ENSMUSG00000022020"	"Naa16"	chr14	-	79359455	79359528	79356366	79356536	79369077	79369184
538	"ENSMUSG00000024644"	"Cndp2"	chr18	-	84678707	84678870	84677318	84677407	84680934	84681078
541	"ENSMUSG00000066568"	"Lsm14a"	chr7	-	34365614	34365737	34357433	34357496	34371054	34371140
542	"ENSMUSG00000040740"	"Slc25a34"	chr4	-	141621377	141621512	141618823	141620594	141622203	141622356
545	"ENSMUSG00000022685"	"Parn"	chr16	-	13664820	13664888	13664655	13664737	13665901	13665981
551	"ENSMUSG00000020882"	"Cacnb1"	chr11	-	98010295	98010376	98009857	98009916	98011342	98011497
558	"ENSMUSG00000022964"	"Tmem50b"	chr16	-	91577973	91578031	91574502	91576158	91580201	91580294
559	"ENSMUSG00000022964"	"Tmem50b"	chr16	-	91581694	91581762	91580201	91580294	91586941	91587081
560	"ENSMUSG00000022964"	"Tmem50b"	chr16	-	91583275	91583388	91581694	91581762	91586941	91587081
563	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101896398	101896578	101894910	101895144	101898426	101898561
565	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101981378	101981589	101968868	101968992	102009788	102009887
