ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
965	"ENSMUSG00000002395"	"Use1"	chr8	+	71368849	71369303	71368849	71368877	71369131	71369303
971	"ENSMUSG00000024193"	"Phf1"	chr17	+	26934193	26934535	26934193	26934368	26934431	26934535
972	"ENSMUSG00000024193"	"Phf1"	chr17	+	26934193	26934535	26934193	26934368	26934453	26934535
980	"ENSMUSG00000024588"	"Fech"	chr18	-	64457264	64458714	64457264	64458217	64458654	64458714
987	"ENSMUSG00000005580"	"Adcy9"	chr16	-	4417852	4419588	4417852	4418972	4419195	4419588
988	"ENSMUSG00000019738"	"Polr2i"	chr7	+	30232331	30232536	30232331	30232404	30232481	30232536
993	"ENSMUSG00000007610"	"Gtpbp3"	chr8	+	71490334	71491590	71490334	71490537	71491424	71491590
999	"ENSMUSG00000029860"	"Zyx"	chr6	+	42357851	42358392	42357851	42357985	42358168	42358392
1003	"ENSMUSG00000055024"	"Ep300"	chr15	+	81639740	81640141	81639740	81639891	81639994	81640141
1019	"ENSMUSG00000028017"	"Egf"	chr3	-	129754816	129755316	129754816	129754855	129754999	129755316
1046	"ENSMUSG00000001962"	"Fam50a"	chrX	+	74318814	74319098	74318814	74318869	74319049	74319098
1049	"ENSMUSG00000039456"	"Morc3"	chr16	+	93862413	93862715	93862413	93862503	93862640	93862715
1050	"ENSMUSG00000039456"	"Morc3"	chr16	+	93862413	93862715	93862413	93862536	93862640	93862715
1054	"ENSMUSG00000038975"	"Rabggtb"	chr3	-	153910260	153910888	153910260	153910326	153910690	153910888
1055	"ENSMUSG00000038975"	"Rabggtb"	chr3	-	153910260	153910888	153910260	153910366	153910690	153910888
1082	"ENSMUSG00000034771"	"Tle2"	chr10	+	81580256	81580667	81580256	81580298	81580483	81580667
1083	"ENSMUSG00000034771"	"Tle2"	chr10	+	81580256	81580667	81580256	81580331	81580483	81580667
1088	"ENSMUSG00000026791"	"Slc2a8"	chr2	-	32974837	32976280	32974837	32974983	32976136	32976280
1089	"ENSMUSG00000026791"	"Slc2a8"	chr2	-	32981360	32981883	32981360	32981567	32981720	32981883
1096	"ENSMUSG00000032878"	"Ccdc85a"	chr11	-	28576390	28577345	28576390	28576989	28577073	28577345
1106	"ENSMUSG00000048856"	"Slc25a47"	chr12	+	108855293	108856815	108855293	108855618	108855938	108856815
1124	"ENSMUSG00000049643"	"2310022A10Rik"	chr7	+	27580336	27582099	27580336	27580691	27581350	27582099
1127	"ENSMUSG00000039263"	"Npepl1"	chr2	+	174120543	174121124	174120543	174120667	174120947	174121124
1129	"ENSMUSG00000027465"	"Tbc1d20"	chr2	+	152307988	152308431	152307988	152308175	152308329	152308431
1141	"ENSMUSG00000020184"	"Mdm2"	chr10	-	117694904	117696439	117694904	117695068	117696380	117696439
1142	"ENSMUSG00000033105"	"Lss"	chr10	+	76535558	76536365	76535558	76535667	76536243	76536365
1151	"ENSMUSG00000021661"	"Ankra2"	chr13	+	98272771	98273918	98272771	98272852	98273377	98273918
1152	"ENSMUSG00000021661"	"Ankra2"	chr13	+	98272771	98273918	98272771	98272852	98273806	98273918
1153	"ENSMUSG00000053453"	"Thoc7"	chr14	-	13953410	13954656	13953410	13953538	13954538	13954656
1154	"ENSMUSG00000053453"	"Thoc7"	chr14	-	13953410	13954656	13953410	13953538	13954565	13954656
1199	"ENSMUSG00000072591"	"Fzd10os"	chr5	-	128585271	128585406	128585271	128585350	128585354	128585406
1210	"ENSMUSG00000025237"	"Parp6"	chr9	+	59641023	59641810	59641023	59641096	59641740	59641810
1230	"ENSMUSG00000028737"	"Aldh4a1"	chr4	+	139640612	139642273	139640612	139640686	139642076	139642273
1240	"ENSMUSG00000006301"	"Tmbim1"	chr1	-	74291430	74291734	74291430	74291468	74291694	74291734
1241	"ENSMUSG00000006301"	"Tmbim1"	chr1	-	74291694	74292888	74291694	74291734	74292834	74292888
1258	"ENSMUSG00000030763"	"Lcmt1"	chr7	+	123421537	123422798	123421537	123421639	123422706	123422798
1262	"ENSMUSG00000021235"	"Coq6"	chr12	+	84370255	84371031	84370255	84370354	84370923	84371031
1263	"ENSMUSG00000021235"	"Coq6"	chr12	+	84370255	84371031	84370255	84370386	84370923	84371031
1264	"ENSMUSG00000021235"	"Coq6"	chr12	+	84370255	84371558	84370255	84371031	84371450	84371558
1272	"ENSMUSG00000001909"	"Trmt1"	chr8	+	84695427	84696975	84695427	84695540	84696826	84696975
1292	"ENSMUSG00000031835"	"Mbtps1"	chr8	-	119538843	119541694	119538843	119538960	119541584	119541694
1300	"ENSMUSG00000034908"	"Sidt2"	chr9	-	45945143	45945359	45945143	45945210	45945285	45945359
1301	"ENSMUSG00000004394"	"Tmed4"	chr11	-	6274397	6274870	6274397	6274498	6274673	6274870
1306	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25353152	25354293	25353152	25353217	25354232	25354293
1313	"ENSMUSG00000021493"	"Pdlim7"	chr13	-	55507329	55507624	55507329	55507366	55507487	55507624
1323	"ENSMUSG00000033436"	"Armcx2"	chrX	-	134807453	134807725	134807453	134807513	134807620	134807725
1344	"ENSMUSG00000017747"	"Ghdc"	chr11	-	100768013	100768289	100768013	100768147	100768217	100768289
1349	"ENSMUSG00000031532"	"Saraf"	chr8	+	34167718	34168611	34167718	34167857	34168456	34168611
1372	"ENSMUSG00000031878"	"Nae1"	chr8	-	104527377	104530116	104527377	104527449	104530055	104530116
1374	"ENSMUSG00000051113"	"Fam71e1"	chr7	+	44500149	44501133	44500149	44500438	44500967	44501133
1379	"ENSMUSG00000054021"	"Sirt5"	chr13	+	43385497	43387656	43385497	43385613	43387049	43387656
1401	"ENSMUSG00000039637"	"Coro7"	chr16	-	4634298	4634907	4634298	4634430	4634588	4634907
1402	"ENSMUSG00000039637"	"Coro7"	chr16	-	4634298	4634907	4634298	4634430	4634761	4634907
1410	"ENSMUSG00000026672"	"Optn"	chr2	-	5020641	5021481	5020641	5021228	5021322	5021481
1424	"ENSMUSG00000030057"	"Cnbp"	chr6	-	87845121	87845557	87845121	87845320	87845464	87845557
1425	"ENSMUSG00000030057"	"Cnbp"	chr6	-	87845121	87845557	87845121	87845323	87845464	87845557
1441	"ENSMUSG00000074578"	"Zfas1"	chr2	+	167065158	167065480	167065158	167065217	167065312	167065480
1442	"ENSMUSG00000074578"	"Zfas1"	chr2	+	167065158	167065480	167065158	167065217	167065433	167065480
1443	"ENSMUSG00000074578"	"Zfas1"	chr2	+	167065433	167065862	167065433	167065480	167065686	167065862
1450	"ENSMUSG00000025579"	"Gaa"	chr11	+	119273974	119274311	119273974	119274140	119274214	119274311
1458	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92916710	92917746	92916710	92916946	92917146	92917746
1459	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92916710	92917746	92916710	92916946	92917633	92917746
1460	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92917146	92917746	92917146	92917260	92917633	92917746
1461	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92918017	92919103	92918017	92918126	92918872	92919103
1462	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92918017	92919103	92918017	92918126	92918905	92919103
1463	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92918017	92919103	92918017	92918126	92918937	92919103
1494	"ENSMUSG00000003575"	"Crtc1"	chr8	-	70391860	70392163	70391860	70391911	70392019	70392163
1499	"ENSMUSG00000035629"	"Rubcn"	chr16	-	32842997	32843531	32842997	32843188	32843230	32843531
1511	"ENSMUSG00000023764"	"Sfi1"	chr11	-	3134625	3135542	3134625	3134730	3135282	3135542
1524	"ENSMUSG00000024160"	"Spsb3"	chr17	+	24890832	24891136	24890832	24890935	24891010	24891136
1531	"ENSMUSG00000022556"	"Hsf1"	chr15	+	76500130	76500336	76500130	76500196	76500266	76500336
1539	"ENSMUSG00000002831"	"Plin4"	chr17	-	56103416	56107374	56103416	56105501	56106095	56107374
1540	"ENSMUSG00000002831"	"Plin4"	chr17	-	56103416	56107374	56103416	56105522	56106116	56107374
1578	"ENSMUSG00000024911"	"Fibp"	chr19	+	5463786	5464215	5463786	5463850	5464128	5464215
1589	"ENSMUSG00000022614"	"Lmf2"	chr15	-	89354426	89354817	89354426	89354455	89354563	89354817
1592	"ENSMUSG00000026869"	"Psmd5"	chr2	-	34865526	34866095	34865526	34865655	34865981	34866095
1605	"ENSMUSG00000027284"	"Cdan1"	chr2	-	120729688	120730099	120729688	120729802	120729929	120730099
1618	"ENSMUSG00000032913"	"Lrig2"	chr3	-	104465486	104467363	104465486	104465768	104467042	104467363
1666	"ENSMUSG00000017418"	"Arl5b"	chr2	+	15076255	15082452	15076255	15076295	15081901	15082452
1671	"ENSMUSG00000060073"	"Psma3"	chr12	+	70984492	70984745	70984492	70984594	70984671	70984745
1714	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8748654	8748888	8748654	8748711	8748806	8748888
1721	"ENSMUSG00000026199"	"Ankzf1"	chr1	+	75194840	75195712	75194840	75194943	75195062	75195712
1726	"ENSMUSG00000026199"	"Ankzf1"	chr1	+	75197643	75198376	75197643	75198124	75198264	75198376
1730	"ENSMUSG00000040532"	"Abhd11"	chr5	+	135010886	135011380	135010886	135011060	135011209	135011380
1731	"ENSMUSG00000040532"	"Abhd11"	chr5	+	135010886	135011380	135010886	135011060	135011240	135011380
1732	"ENSMUSG00000040532"	"Abhd11"	chr5	+	135011483	135012170	135011483	135011665	135011886	135012170
1746	"ENSMUSG00000025006"	"Sorbs1"	chr19	-	40376644	40377016	40376644	40376803	40376983	40377016
1749	"ENSMUSG00000029661"	"Col1a2"	chr6	+	4508939	4509639	4508939	4508954	4509603	4509639
1754	"ENSMUSG00000071866"	"Ppia"	chr11	+	6418100	6418314	6418100	6418131	6418225	6418314
1768	"ENSMUSG00000041361"	"Myzap"	chr9	-	71552238	71555737	71552238	71552364	71555584	71555737
1769	"ENSMUSG00000029617"	"Ccz1"	chr5	-	143998162	143998605	143998162	143998274	143998543	143998605
1800	"ENSMUSG00000034006"	"Pqlc1"	chr18	+	80256306	80257118	80256306	80256403	80256781	80257118
1819	"ENSMUSG00000029071"	"Dvl1"	chr4	+	155854565	155854800	155854565	155854659	155854730	155854800
1820	"ENSMUSG00000029071"	"Dvl1"	chr4	+	155854565	155855025	155854565	155854800	155854885	155855025
1829	"ENSMUSG00000009687"	"Fxyd5"	chr7	-	31032729	31033018	31032729	31032880	31032972	31033018
1831	"ENSMUSG00000046671"	"Mtfr1l"	chr4	-	134530274	134530789	134530274	134530486	134530679	134530789
1834	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34026032	34026470	34026032	34026225	34026395	34026470
1835	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34026850	34027101	34026850	34026935	34027015	34027101
1836	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34027405	34027840	34027405	34027522	34027622	34027840
1837	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34027405	34028046	34027405	34027840	34028008	34028046
1879	"ENSMUSG00000023153"	"Tmem52"	chr4	+	155469302	155469503	155469302	155469346	155469443	155469503
1880	"ENSMUSG00000023153"	"Tmem52"	chr4	+	155469302	155469503	155469302	155469346	155469461	155469503
1890	"ENSMUSG00000034485"	"Uaca"	chr9	+	60869574	60872283	60869574	60870030	60870540	60872283
1900	"ENSMUSG00000004642"	"Slbp"	chr5	-	33645499	33646069	33645499	33645637	33646009	33646069
1902	"ENSMUSG00000040048"	"Ndufb10"	chr17	-	24722059	24722520	24722059	24722220	24722380	24722520
1909	"ENSMUSG00000028898"	"Trnau1ap"	chr4	-	132325207	132326045	132325207	132325260	132325945	132326045
1910	"ENSMUSG00000030409"	"Dmpk"	chr7	+	19088000	19088264	19088000	19088100	19088187	19088264
1911	"ENSMUSG00000030409"	"Dmpk"	chr7	+	19088000	19088264	19088000	19088109	19088187	19088264
1912	"ENSMUSG00000030409"	"Dmpk"	chr7	+	19091938	19092254	19091938	19092036	19092207	19092254
1919	"ENSMUSG00000030802"	"Bckdk"	chr7	+	127905221	127905480	127905221	127905290	127905369	127905480
1927	"ENSMUSG00000025571"	"Tnrc6c"	chr11	+	117749576	117753144	117749576	117749817	117752976	117753144
1930	"ENSMUSG00000005150"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079707	85079788	85080225
1931	"ENSMUSG00000005150"	"Wdr83"	chr8	-	85079788	85080225	85079788	85079837	85080053	85080225
1932	"ENSMUSG00000005150"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079691	85080060	85080225
1933	"ENSMUSG00000005150"	"Wdr83"	chr8	-	85079788	85080225	85079788	85079837	85080119	85080225
1941	"ENSMUSG00000030232"	"Aebp2"	chr6	+	140650755	140652826	140650755	140650782	140651315	140652826
1944	"ENSMUSG00000021832"	"Psmc6"	chr14	+	45330829	45331026	45330829	45330909	45330986	45331026
1945	"ENSMUSG00000039660"	"Spout1"	chr2	-	30175186	30175812	30175186	30175289	30175713	30175812
1951	"ENSMUSG00000062906"	"Hdac10"	chr15	-	89124174	89124588	89124174	89124253	89124531	89124588
1952	"ENSMUSG00000062906"	"Hdac10"	chr15	-	89124174	89124588	89124174	89124428	89124531	89124588
1955	"ENSMUSG00000028959"	"Fastk"	chr5	-	24441527	24441823	24441527	24441663	24441731	24441823
1958	"ENSMUSG00000040370"	"Etfrf1"	chr6	+	145214521	145215271	145214521	145214545	145214764	145215271
1959	"ENSMUSG00000040370"	"Etfrf1"	chr6	+	145214521	145215271	145214521	145214784	145215183	145215271
1960	"ENSMUSG00000053332"	"Gas5"	chr1	+	161035751	161036014	161035751	161035804	161035982	161036014
1961	"ENSMUSG00000053332"	"Gas5"	chr1	+	161035982	161036244	161035982	161036014	161036207	161036244
1962	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036207	161036579	161036207	161036244	161036548	161036579
1965	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036819	161037164	161036819	161036852	161037123	161037164
1966	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036819	161037315	161036819	161036852	161037287	161037315
1967	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036819	161037315	161036819	161037164	161037287	161037315
1968	"ENSMUSG00000053332"	"Gas5"	chr1	+	161037287	161037547	161037287	161037315	161037504	161037547
2007	"ENSMUSG00000037318"	"Traf3ip3"	chr1	-	193194519	193194849	193194519	193194549	193194824	193194849
2029	"ENSMUSG00000031634"	"Ufsp2"	chr8	+	45980314	45980639	45980314	45980467	45980572	45980639
2030	"ENSMUSG00000031634"	"Ufsp2"	chr8	+	45980314	45980639	45980314	45980492	45980572	45980639
2053	"ENSMUSG00000057335"	"Cep170"	chr1	-	176769232	176769870	176769232	176769526	176769712	176769870
2079	"ENSMUSG00000073468"	"Sft2d1"	chr17	+	8321799	8323335	8321799	8321835	8323276	8323335
2080	"ENSMUSG00000073468"	"Sft2d1"	chr17	+	8321799	8323335	8321799	8322140	8323276	8323335
2149	"ENSMUSG00000026207"	"Speg"	chr1	+	75426763	75427211	75426763	75426880	75427043	75427211
2158	"ENSMUSG00000029545"	"Acads"	chr5	-	115111856	115112391	115111856	115112027	115112239	115112391
2167	"ENSMUSG00000032579"	"Hemk1"	chr9	-	107336571	107337378	107336571	107336663	107337000	107337378
2168	"ENSMUSG00000040888"	"Gfer"	chr17	-	24693189	24694442	24693189	24693612	24694167	24694442
2177	"ENSMUSG00000056211"	"R3hdm1"	chr1	+	128181985	128184654	128181985	128182212	128184399	128184654
2232	"ENSMUSG00000033819"	"Ppp1r16a"	chr15	+	76692836	76693138	76692836	76692940	76693013	76693138
2243	"ENSMUSG00000021488"	"Nsd1"	chr13	+	55213203	55214150	55213203	55213317	55214060	55214150
2248	"ENSMUSG00000031508"	"Ankrd10"	chr8	-	11611582	11615910	11611582	11612947	11615814	11615910
2297	"ENSMUSG00000025262"	"Fam120c"	chrX	+	151467299	151467856	151467299	151467438	151467798	151467856
2327	"ENSMUSG00000024666"	"Tmem138"	chr19	-	10570479	10571604	10570479	10571268	10571528	10571604
2332	"ENSMUSG00000027247"	"Arhgap1"	chr2	+	91669384	91669729	91669384	91669461	91669651	91669729
2339	"ENSMUSG00000068245"	"Phf11d"	chr14	-	59352650	59353381	59352650	59352782	59353317	59353381
2340	"ENSMUSG00000068245"	"Phf11d"	chr14	-	59355139	59356450	59355139	59355189	59356316	59356450
2356	"ENSMUSG00000043243"	"Fam129c"	chr8	+	71604927	71605718	71604927	71605035	71605606	71605718
2363	"ENSMUSG00000022503"	"Nubp1"	chr16	+	10419652	10421128	10419652	10419685	10420973	10421128
2370	"ENSMUSG00000036820"	"Amdhd2"	chr17	-	24157739	24158062	24157739	24157847	24157917	24158062
2391	"ENSMUSG00000029290"	"Zfp326"	chr5	+	105886316	105888839	105886316	105886428	105888433	105888839
2392	"ENSMUSG00000029290"	"Zfp326"	chr5	+	105886316	105888839	105886316	105886428	105888700	105888839
2410	"ENSMUSG00000022106"	"Rcbtb2"	chr14	+	73154314	73154894	73154314	73154408	73154830	73154894
2411	"ENSMUSG00000022106"	"Rcbtb2"	chr14	+	73154314	73154894	73154314	73154410	73154830	73154894
2417	"ENSMUSG00000006638"	"Abhd1"	chr5	+	30954090	30954265	30954090	30954154	30954155	30954265
2420	"ENSMUSG00000007029"	"Vars"	chr17	+	35013121	35013390	35013121	35013192	35013264	35013390
2426	"ENSMUSG00000008373"	"Prpf31"	chr7	+	3634692	3636358	3634692	3634862	3636200	3636358
2444	"ENSMUSG00000031708"	"Tecr"	chr8	-	83572840	83573323	83572840	83572946	83573027	83573323
2445	"ENSMUSG00000031708"	"Tecr"	chr8	-	83572840	83573323	83572840	83572946	83573219	83573323
2446	"ENSMUSG00000031708"	"Tecr"	chr8	-	83573027	83573323	83573027	83573143	83573219	83573323
2459	"ENSMUSG00000006215"	"Zbtb17"	chr4	+	141464236	141464702	141464236	141464471	141464559	141464702
2460	"ENSMUSG00000006215"	"Zbtb17"	chr4	+	141464236	141464702	141464236	141464478	141464559	141464702
