ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
25	"ENSMUSG00000022617"	"Chkb"	chr15	-	89427323	89427427	89427323	89427399	89427560	89427669
26	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428133	89428229	89428133	89428193	89428410	89428544
27	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428410	89428578	89428410	89428544	89428713	89428827
28	"ENSMUSG00000027843"	"Ptpn22"	chr3	+	103903369	103903485	103903377	103903485	103902113	103902191
29	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119344465	119346568	119346469	119346568	119344172	119344252
30	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119348580	119348771	119348585	119348771	119347729	119347810
31	"ENSMUSG00000021113"	"Snapc1"	chr12	+	73972536	73972599	73972538	73972599	73971893	73972173
32	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589955	87590055	87590008	87590055	87589655	87589818
33	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370600	89370675	89370603	89370675	89370394	89370488
34	"ENSMUSG00000073684"	"Faap20"	chr4	+	155250505	155250650	155250506	155250650	155249965	155250062
35	"ENSMUSG00000036955"	"Kif1bp"	chr10	-	62563235	62563508	62563235	62563351	62566036	62566121
36	"ENSMUSG00000053161"	"Daw1"	chr1	+	83180344	83180489	83180364	83180489	83179292	83179365
37	"ENSMUSG00000053161"	"Daw1"	chr1	+	83210154	83210574	83210158	83210574	83209205	83209368
38	"ENSMUSG00000022195"	"6030458C11Rik"	chr15	-	12817857	12818284	12817857	12818127	12821403	12821553
39	"ENSMUSG00000066537"	"Vmn2r57"	chr7	-	41427432	41428239	41427432	41428176	41428531	41428823
40	"ENSMUSG00000015966"	"Il17rb"	chr14	-	30002362	30003046	30002362	30002414	30003560	30003687
41	"ENSMUSG00000085795"	"Zfp703"	chr8	+	26978234	26978395	26978261	26978395	26977324	26977611
42	"ENSMUSG00000027835"	"Pdcd10"	chr3	-	75533540	75533594	75533540	75533590	75541159	75541378
43	"ENSMUSG00000022534"	"Mefv"	chr16	-	3707685	3708097	3707685	3708032	3708544	3708837
44	"ENSMUSG00000000399"	"Ndufa9"	chr6	-	126844790	126845029	126844790	126844961	126849063	126849125
45	"ENSMUSG00000022679"	"Mpv17l"	chr16	+	13946528	13946587	13946557	13946587	13944665	13944736
46	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108584	23108633	23108587	23108633	23107758	23107820
47	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108584	23108633	23108587	23108633	23107770	23107880
48	"ENSMUSG00000041890"	"Git2"	chr5	-	114752278	114752330	114752278	114752327	114753147	114753153
49	"ENSMUSG00000041890"	"Git2"	chr5	-	114752278	114752330	114752278	114752327	114753278	114753324
50	"ENSMUSG00000116048"	"Sept2"	chr1	+	93489123	93489154	93489127	93489154	93478992	93479068
51	"ENSMUSG00000038543"	"BC028528"	chr3	-	95884969	95885071	95884969	95885068	95888140	95888296
52	"ENSMUSG00000063445"	"Nmral1"	chr16	-	4711316	4711680	4711316	4711603	4713639	4713830
53	"ENSMUSG00000075277"	"Haglr"	chr2	-	74749863	74750643	74749863	74750576	74751528	74751642
54	"ENSMUSG00000024352"	"Spata24"	chr18	-	35660282	35660353	35660282	35660344	35660443	35660574
55	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107749707	107749799	107749707	107749796	107750007	107750092
56	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107756908	107760391	107756908	107756992	107765494	107765650
57	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107765494	107765650	107765494	107765646	107767542	107767708
58	"ENSMUSG00000029370"	"Rassf6"	chr5	-	90608798	90608992	90608798	90608953	90609714	90609812
59	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26374491	26374564	26374491	26374560	26374642	26374747
60	"ENSMUSG00000078762"	"Haus5"	chr7	-	30656948	30657078	30656948	30657017	30657161	30657273
61	"ENSMUSG00000030562"	"Nox4"	chr7	+	87295783	87295894	87295787	87295894	87247487	87247583
62	"ENSMUSG00000074415"	"Mir100hg"	chr9	+	41393377	41393417	41393380	41393417	41393193	41393299
63	"ENSMUSG00000004393"	"Ddx56"	chr11	-	6266810	6266971	6266810	6266917	6267417	6267579
64	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25464848	25464880	25471797	25472073
65	"ENSMUSG00000028741"	"Mrto4"	chr4	-	139349613	139349847	139349613	139349717	139350435	139350494
66	"ENSMUSG00000006288"	"Ttc5"	chr14	-	50775290	50775450	50775290	50775382	50777261	50777412
67	"ENSMUSG00000026648"	"Dclre1c"	chr2	+	3436988	3437090	3437001	3437090	3436437	3436493
68	"ENSMUSG00000026648"	"Dclre1c"	chr2	+	3436988	3437090	3437029	3437090	3436437	3436493
69	"ENSMUSG00000026648"	"Dclre1c"	chr2	+	3437001	3437090	3437029	3437090	3436437	3436493
70	"ENSMUSG00000029462"	"Vps29"	chr5	+	122360012	122360204	122360028	122360204	122354421	122354476
71	"ENSMUSG00000000632"	"Sez6"	chr11	+	77973746	77973977	77973782	77973977	77973093	77973260
72	"ENSMUSG00000000632"	"Sez6"	chr11	+	77973746	77973977	77973837	77973977	77973093	77973260
73	"ENSMUSG00000000632"	"Sez6"	chr11	+	77973782	77973977	77973837	77973977	77973093	77973260
74	"ENSMUSG00000017978"	"Cadps2"	chr6	-	23344206	23344372	23344206	23344363	23355823	23355927
75	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89293435	89293666	89293435	89293630	89293738	89293869
76	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89302604	89302777	89302604	89302727	89302876	89303145
77	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89305343	89305472	89305343	89305468	89305543	89305657
78	"ENSMUSG00000036990"	"Otud4"	chr8	+	79661037	79661135	79661040	79661135	79659397	79659462
79	"ENSMUSG00000027206"	"Cops2"	chr2	-	125842621	125842732	125842621	125842711	125844809	125844935
80	"ENSMUSG00000021504"	"B4galt7"	chr13	+	55604019	55604382	55604119	55604382	55600064	55600192
81	"ENSMUSG00000109473"	"B930025P03Rik"	chr8	-	10879002	10879090	10879002	10879087	10879781	10879985
82	"ENSMUSG00000037519"	"Ppfia1"	chr7	-	144520624	144520838	144520624	144520789	144520959	144521061
83	"ENSMUSG00000023992"	"Trem2"	chr17	+	48351690	48351930	48351745	48351930	48351100	48351191
84	"ENSMUSG00000040054"	"Baz2a"	chr10	+	128096379	128096523	128096438	128096523	128091634	128091776
85	"ENSMUSG00000040054"	"Baz2a"	chr10	+	128113459	128113681	128113462	128113681	128112581	128112767
86	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101886960	101887070	101886960	101887067	101888086	101888316
87	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101923855	101924103	101923855	101924087	101926423	101926536
88	"ENSMUSG00000036151"	"Tm6sf2"	chr8	+	70077880	70077982	70077886	70077982	70077389	70077514
89	"ENSMUSG00000026782"	"Abi2"	chr1	+	60450070	60450253	60450169	60450253	60448077	60448202
90	"ENSMUSG00000026782"	"Abi2"	chr1	+	60470665	60470839	60470671	60470839	60464528	60464615
91	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32515283	32517139	32517028	32517139	32514383	32514454
92	"ENSMUSG00000054302"	"Eapp"	chr12	-	54691999	54692095	54691999	54692083	54692774	54692956
93	"ENSMUSG00000026879"	"Gsn"	chr2	+	35282650	35282721	35282659	35282721	35266819	35266903
94	"ENSMUSG00000040987"	"Mill2"	chr7	+	18856311	18856681	18856405	18856681	18855939	18856203
95	"ENSMUSG00000039220"	"Ppp1r10"	chr17	+	35924012	35924123	35924036	35924123	35923307	35923425
96	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82883180	82883361	82883243	82883361	82882227	82882437
97	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82894475	82894567	82894481	82894567	82893423	82893582
98	"ENSMUSG00000031388"	"Naa10"	chrX	-	73916872	73917195	73916872	73917190	73917842	73917927
99	"ENSMUSG00000031388"	"Naa10"	chrX	-	73919501	73919546	73919501	73919540	73919753	73919869
100	"ENSMUSG00000063268"	"Parp10"	chr15	-	76240286	76240981	76240286	76240931	76241155	76241228
101	"ENSMUSG00000020740"	"Gga3"	chr11	-	115586315	115586485	115586315	115586420	115586995	115587201
102	"ENSMUSG00000020740"	"Gga3"	chr11	-	115586995	115587201	115586995	115587008	115587405	115587716
103	"ENSMUSG00000040557"	"Mettl27"	chr5	+	134932621	134932847	134932720	134932847	134932372	134932410
104	"ENSMUSG00000024989"	"Cep55"	chr19	+	38073297	38074421	38073300	38074421	38071764	38071890
105	"ENSMUSG00000095056"	"Gm3159"	chr14	+	4405203	4406347	4406022	4406347	4400367	4400551
106	"ENSMUSG00000042015"	"Wdr41"	chr13	+	94978469	94978585	94978473	94978585	94976437	94976589
107	"ENSMUSG00000042015"	"Wdr41"	chr13	+	95012932	95014477	95012986	95014477	95010284	95010395
108	"ENSMUSG00000031979"	"Cog2"	chr8	+	124528975	124529056	124528977	124529056	124527099	124527165
109	"ENSMUSG00000070733"	"Fryl"	chr5	-	73068723	73068914	73068723	73068911	73069882	73070004
110	"ENSMUSG00000070733"	"Fryl"	chr5	-	73071104	73071309	73071104	73071306	73072735	73072921
111	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67022592	67024565	67022592	67023441	67031028	67031098
112	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186171	89186819	89186171	89186261	89186955	89187243
113	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187050	89186955	89186998	89187147	89187243
114	"ENSMUSG00000079179"	"Rab10os"	chr12	+	3238028	3238112	3238063	3238112	3237590	3237660
115	"ENSMUSG00000007207"	"Stx1a"	chr5	+	135048910	135049104	135048993	135049104	135045596	135045734
116	"ENSMUSG00000056508"	"1700001K19Rik"	chr12	-	110670718	110670886	110670718	110670850	110672182	110672240
117	"ENSMUSG00000026843"	"Fubp3"	chr2	+	31592462	31592496	31592465	31592496	31583154	31583260
118	"ENSMUSG00000026843"	"Fubp3"	chr2	+	31594842	31594892	31594847	31594892	31592462	31592496
119	"ENSMUSG00000033365"	"Ipo13"	chr4	-	117894743	117894925	117894743	117894845	117895211	117895301
120	"ENSMUSG00000059495"	"Arhgef12"	chr9	-	43008015	43008111	43008015	43008108	43010178	43010253
121	"ENSMUSG00000022515"	"Anks3"	chr16	-	4942210	4942294	4942210	4942265	4942692	4942778
122	"ENSMUSG00000037440"	"Vnn1"	chr10	+	23898407	23898600	23898429	23898600	23897292	23897423
123	"ENSMUSG00000053877"	"Srcap"	chr7	+	127529134	127529224	127529137	127529224	127528395	127528489
124	"ENSMUSG00000058626"	"Capn11"	chr17	-	45643753	45643872	45643753	45643799	45653182	45653252
125	"ENSMUSG00000036825"	"Ssx2ip"	chr3	+	146432972	146433146	146432975	146433146	146432480	146432617
126	"ENSMUSG00000055491"	"Pprc1"	chr19	+	46062140	46062290	46062143	46062290	46061402	46061576
127	"ENSMUSG00000055491"	"Pprc1"	chr19	+	46068017	46068088	46068020	46068088	46067228	46067286
128	"ENSMUSG00000066269"	"Olfr575"	chr7	-	102956913	102956967	102956913	102956955	102958726	102958775
129	"ENSMUSG00000033060"	"Lmo7"	chr14	+	101913158	101913346	101913239	101913346	101911998	101912160
130	"ENSMUSG00000019854"	"Reps1"	chr10	+	18107667	18107748	18107670	18107748	18104153	18104275
131	"ENSMUSG00000026567"	"Adcy10"	chr1	+	165506535	165506715	165506571	165506715	165506333	165506372
132	"ENSMUSG00000026567"	"Adcy10"	chr1	+	165539781	165539974	165539839	165539974	165538377	165538534
133	"ENSMUSG00000031362"	"Xlr4c"	chrX	-	73242067	73242195	73242067	73242182	73242577	73242660
134	"ENSMUSG00000031362"	"Xlr4c"	chrX	-	73242067	73242195	73242067	73242182	73242613	73242660
135	"ENSMUSG00000020171"	"Yeats4"	chr10	-	117220332	117220455	117220332	117220427	117220531	117220598
136	"ENSMUSG00000059022"	"Kcp"	chr6	-	29489032	29489153	29489032	29489150	29490065	29490148
137	"ENSMUSG00000059022"	"Kcp"	chr6	-	29501201	29501309	29501201	29501290	29502289	29502383
138	"ENSMUSG00000059022"	"Kcp"	chr6	-	29502777	29502975	29502777	29502874	29504232	29504309
139	"ENSMUSG00000021944"	"Gata4"	chr14	-	63204588	63204758	63204588	63204755	63240535	63241645
140	"ENSMUSG00000029505"	"Ep400"	chr5	-	110668549	110668745	110668549	110668724	110670874	110671096
141	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181353976	181354175	181354075	181354175	181352752	181352848
142	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355309	181355552	181355327	181355552	181354352	181354442
143	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355309	181355552	181355327	181355552	181355008	181355125
144	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355309	181355552	181355416	181355552	181355008	181355125
145	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355327	181355552	181355416	181355552	181355008	181355125
146	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181356345	181356616	181356357	181356616	181356157	181356258
147	"ENSMUSG00000057203"	"Vmn1r234"	chr17	+	21227714	21235467	21229520	21235467	21226086	21226512
148	"ENSMUSG00000021816"	"Ppp3cb"	chr14	-	20509415	20509500	20509415	20509497	20515522	20515600
149	"ENSMUSG00000020622"	"Nt5c1b"	chr12	+	10381305	10381490	10381364	10381490	10380798	10380921
150	"ENSMUSG00000020622"	"Nt5c1b"	chr12	+	10381305	10381490	10381404	10381490	10380798	10380921
151	"ENSMUSG00000020622"	"Nt5c1b"	chr12	+	10381364	10381490	10381404	10381490	10380798	10380921
152	"ENSMUSG00000034664"	"Itga2b"	chr11	-	102456229	102456346	102456229	102456344	102456964	102457084
153	"ENSMUSG00000021792"	"Prxl2a"	chr14	-	41004040	41004220	41004040	41004203	41013625	41013771
154	"ENSMUSG00000027655"	"Dhx35"	chr2	+	158806397	158806490	158806402	158806490	158801374	158801508
155	"ENSMUSG00000027655"	"Dhx35"	chr2	+	158815409	158815534	158815429	158815534	158806922	158807000
156	"ENSMUSG00000024006"	"Stk38"	chr17	-	28977539	28977601	28977539	28977593	28979202	28979305
157	"ENSMUSG00000024006"	"Stk38"	chr17	-	29000008	29000144	29000008	29000141	29007710	29007995
158	"ENSMUSG00000058291"	"Zfp68"	chr5	-	138616469	138616565	138616469	138616559	138617054	138617167
159	"ENSMUSG00000058291"	"Zfp68"	chr5	-	138616469	138616614	138616469	138616559	138617054	138617167
160	"ENSMUSG00000058291"	"Zfp68"	chr5	-	138616469	138616614	138616469	138616565	138617054	138617167
161	"ENSMUSG00000035310"	"Lin54"	chr5	-	100475688	100475831	100475688	100475827	100480197	100480321
162	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831345	16831580	16831464	16831580	16831024	16831138
163	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831345	16831580	16831485	16831580	16831024	16831138
164	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831464	16831580	16831485	16831580	16831024	16831138
165	"ENSMUSG00000030374"	"Strn4"	chr7	+	16832925	16833101	16832941	16833101	16831345	16831580
166	"ENSMUSG00000016150"	"Tenm1"	chrX	-	42849028	42849178	42849028	42849175	42899687	42899926
167	"ENSMUSG00000023826"	"Prkn"	chr17	+	11303589	11303711	11303592	11303711	11237461	11237702
168	"ENSMUSG00000023826"	"Prkn"	chr17	+	11556647	11557234	11556914	11557234	11492678	11492794
169	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148612381	148617705	148612381	148617635	148618664	148618791
170	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617737	148617565	148617635	148618664	148618791
171	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617635	148618664	148618791
172	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617737	148617565	148617705	148618664	148618791
173	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617705	148618664	148618791
174	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617737	148618664	148618791
175	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617705	148617565	148617635	148618673	148618791
176	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617635	148618673	148618791
177	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617705	148618673	148618791
178	"ENSMUSG00000037916"	"Ndufv1"	chr19	-	4007769	4007939	4007769	4007915	4008047	4008129
179	"ENSMUSG00000037916"	"Ndufv1"	chr19	-	4009825	4010019	4009825	4010009	4011101	4011272
180	"ENSMUSG00000062372"	"Otof"	chr5	-	30380102	30380229	30380102	30380173	30380523	30380686
181	"ENSMUSG00000062372"	"Otof"	chr5	-	30380102	30380233	30380102	30380173	30380523	30380686
182	"ENSMUSG00000062372"	"Otof"	chr5	-	30380102	30380233	30380102	30380229	30380523	30380686
183	"ENSMUSG00000020100"	"Slc29a3"	chr10	-	60730569	60730675	60730569	60730652	60750385	60750684
184	"ENSMUSG00000022538"	"Lsg1"	chr16	-	30582055	30582160	30582055	30582142	30582530	30582651
185	"ENSMUSG00000032816"	"Igdcc4"	chr9	+	65124611	65125422	65125284	65125422	65123775	65124189
186	"ENSMUSG00000032816"	"Igdcc4"	chr9	+	65126754	65126928	65126757	65126928	65125284	65125422
187	"ENSMUSG00000020721"	"Helz"	chr11	+	107627349	107627454	107627352	107627454	107626534	107626714
188	"ENSMUSG00000041540"	"Sox5"	chr6	-	143960796	143960920	143960796	143960917	144023168	144023237
189	"ENSMUSG00000002881"	"Nab1"	chr1	-	52464784	52464947	52464784	52464944	52466889	52466979
190	"ENSMUSG00000000384"	"Tbrg4"	chr11	-	6618996	6619110	6618996	6619063	6619555	6619713
191	"ENSMUSG00000034973"	"Dop1a"	chr9	+	86501873	86501983	86501900	86501983	86500795	86500895
192	"ENSMUSG00000034973"	"Dop1a"	chr9	+	86506383	86506519	86506404	86506519	86506194	86506314
193	"ENSMUSG00000034973"	"Dop1a"	chr9	+	86512557	86513179	86512560	86513179	86507503	86507737
194	"ENSMUSG00000025730"	"Rab40c"	chr17	-	25884579	25884802	25884579	25884745	25885074	25885152
195	"ENSMUSG00000074291"	"Vmn1r168"	chr7	+	23540860	23547448	23541734	23547448	23539731	23539847
196	"ENSMUSG00000040410"	"Fbxl4"	chr4	+	22390676	22390921	22390713	22390921	22385906	22386252
197	"ENSMUSG00000022960"	"Donson"	chr16	-	91681156	91681369	91681156	91681224	91682094	91682293
198	"ENSMUSG00000022960"	"Donson"	chr16	-	91686166	91686370	91686166	91686249	91687794	91687875
199	"ENSMUSG00000020400"	"Tnip1"	chr11	-	54910786	54911571	54910786	54911497	54915496	54915587
200	"ENSMUSG00000022351"	"Sqle"	chr15	+	59322835	59322932	59322866	59322932	59321313	59321494
201	"ENSMUSG00000025494"	"Sigirr"	chr7	-	141092585	141092729	141092585	141092695	141092977	141093118
202	"ENSMUSG00000025494"	"Sigirr"	chr7	-	141094781	141094945	141094781	141094901	141096054	141096123
203	"ENSMUSG00000075610"	"Tmem92"	chr11	-	94778916	94779115	94778916	94779059	94779255	94779339
204	"ENSMUSG00000031783"	"Polr2c"	chr8	+	94862520	94862884	94862809	94862884	94862181	94862233
205	"ENSMUSG00000093781"	"Vmn1r-ps47"	chr7	-	10278483	10282301	10278483	10280571	10284467	10284521
206	"ENSMUSG00000006724"	"Cyp27b1"	chr10	+	127049038	127049255	127049064	127049255	127048249	127048475
207	"ENSMUSG00000032292"	"Nr2e3"	chr9	-	59948602	59948824	59948602	59948816	59948924	59949028
208	"ENSMUSG00000068922"	"Msto1"	chr3	-	88912857	88912927	88912857	88912923	88913566	88913702
209	"ENSMUSG00000038677"	"Scube3"	chr17	+	28156761	28156887	28156764	28156887	28155891	28156026
210	"ENSMUSG00000047368"	"Abhd17b"	chr19	+	21680867	21681047	21680989	21681047	21678352	21678822
211	"ENSMUSG00000079557"	"March2"	chr17	-	33691514	33692203	33691514	33692153	33696036	33696246
212	"ENSMUSG00000079557"	"March2"	chr17	-	33691514	33692203	33691514	33692153	33703012	33703208
213	"ENSMUSG00000024107"	"Lhcgr"	chr17	-	88753743	88753929	88753743	88753904	88755550	88755625
214	"ENSMUSG00000025004"	"Cyp2c40"	chr19	-	39803769	39803930	39803769	39803859	39807165	39807315
215	"ENSMUSG00000026049"	"Tex30"	chr1	-	44099847	44100001	44099847	44099935	44101899	44101957
216	"ENSMUSG00000038473"	"Nos1ap"	chr1	-	170375247	170375321	170375247	170375306	170390730	170390823
217	"ENSMUSG00000052949"	"Rnf157"	chr11	-	116347855	116347967	116347855	116347918	116349333	116349442
218	"ENSMUSG00000052013"	"Btla"	chr16	+	45244152	45244311	45244155	45244311	45242705	45242741
219	"ENSMUSG00000032363"	"Adamts7"	chr9	+	90192898	90194269	90193024	90194269	90192380	90192594
220	"ENSMUSG00000025461"	"Cd163l1"	chr7	+	140228981	140229058	140229034	140229058	140228503	140228818
221	"ENSMUSG00000025461"	"Cd163l1"	chr7	+	140229714	140229882	140229744	140229882	140228503	140228818
222	"ENSMUSG00000030123"	"Plxnd1"	chr6	-	115967748	115967888	115967748	115967786	115967970	115968070
223	"ENSMUSG00000009733"	"Tfcp2"	chr15	-	100513080	100513171	100513080	100513165	100514028	100514122
224	"ENSMUSG00000030894"	"Tpp1"	chr7	-	105750179	105751729	105750179	105750330	105751981	105752053
225	"ENSMUSG00000092111"	"Vmn2r113"	chr17	+	22955348	22956067	22955943	22956067	22947949	22948177
226	"ENSMUSG00000033857"	"Engase"	chr11	+	118479085	118479287	118479089	118479287	118478882	118478953
227	"ENSMUSG00000033857"	"Engase"	chr11	+	118486444	118486553	118486447	118486553	118485756	118485905
228	"ENSMUSG00000033857"	"Engase"	chr11	+	118486705	118486936	118486821	118486936	118486447	118486553
229	"ENSMUSG00000093884"	"Olfr239"	chr17	+	33199050	33202506	33199133	33202506	33191301	33191618
230	"ENSMUSG00000090626"	"Tex9"	chr9	-	72480596	72480775	72480596	72480747	72482446	72482529
231	"ENSMUSG00000090626"	"Tex9"	chr9	-	72482446	72482529	72482446	72482523	72484068	72484114
232	"ENSMUSG00000021368"	"Tbc1d7"	chr13	-	43165278	43165466	43165278	43165431	43168773	43168854
233	"ENSMUSG00000091568"	"Gm8206"	chr14	-	6016758	6017902	6016758	6017084	6020476	6020659
234	"ENSMUSG00000026553"	"Copa"	chr1	+	172110649	172110815	172110676	172110815	172110488	172110574
235	"ENSMUSG00000021224"	"Numb"	chr12	-	83799507	83799657	83799507	83799523	83801012	83801306
236	"ENSMUSG00000021224"	"Numb"	chr12	-	83811285	83811360	83811285	83811305	83831921	83831996
237	"ENSMUSG00000026749"	"Nek6"	chr2	+	38557815	38557956	38557855	38557956	38550552	38550671
238	"ENSMUSG00000024659"	"Anxa1"	chr19	-	20384474	20384583	20384474	20384579	20384692	20384772
239	"ENSMUSG00000032563"	"Mrpl3"	chr9	+	105054424	105054605	105054444	105054605	105053269	105053512
240	"ENSMUSG00000024043"	"Arhgap28"	chr17	-	67858153	67858351	67858153	67858250	67861272	67861355
241	"ENSMUSG00000024043"	"Arhgap28"	chr17	-	67864462	67864625	67864462	67864622	67868950	67869028
242	"ENSMUSG00000026848"	"Tor1b"	chr2	+	30955767	30955953	30955777	30955953	30953751	30954017
243	"ENSMUSG00000024871"	"Doc2g"	chr19	+	4006060	4006267	4006109	4006267	4004762	4004816
244	"ENSMUSG00000042354"	"Gnl3"	chr14	-	31013166	31013324	31013166	31013255	31013428	31013565
245	"ENSMUSG00000042354"	"Gnl3"	chr14	-	31016321	31016454	31016321	31016392	31016812	31016907
246	"ENSMUSG00000029207"	"Apbb2"	chr5	-	66310999	66311083	66310999	66311080	66312158	66312246
247	"ENSMUSG00000029207"	"Apbb2"	chr5	-	66399621	66400284	66399621	66400281	66451467	66452283
248	"ENSMUSG00000000339"	"Rtca"	chr3	-	116504344	116504468	116504344	116504446	116506834	116506978
249	"ENSMUSG00000000339"	"Rtca"	chr3	-	116506834	116506993	116506834	116506978	116507750	116507851
250	"ENSMUSG00000067522"	"Olfr76"	chr19	-	12117995	12120648	12117995	12120610	12122079	12122254
251	"ENSMUSG00000067522"	"Olfr76"	chr19	-	12117995	12120707	12117995	12120610	12122079	12122254
252	"ENSMUSG00000067522"	"Olfr76"	chr19	-	12117995	12120707	12117995	12120648	12122079	12122254
253	"ENSMUSG00000022214"	"Dcaf11"	chr14	+	55562891	55563019	55562946	55563019	55561066	55561442
254	"ENSMUSG00000044465"	"Fam160a2"	chr7	-	105388778	105388937	105388778	105388924	105389253	105389892
255	"ENSMUSG00000027981"	"Rnpc3"	chr3	-	113608339	113608411	113608339	113608408	113609037	113609170
256	"ENSMUSG00000022000"	"Zc3h13"	chr14	+	75335921	75336074	75335924	75336074	75331705	75332218
